Gregorian-Lunar Calendar Conversion Table of 2091 (Xin-hai  -  year of the Pig)
Gregorian date    Lunar date              Day-of-week    Solar terms
2091/1/1          12                      Monday                             
2091/1/2          13                      Tuesday                            
2091/1/3          14                      Wednesday                          
2091/1/4          15                      Thursday                           
2091/1/5          16                      Friday         Moderate Cold       
2091/1/6          17                      Saturday                           
2091/1/7          18                      Sunday                             
2091/1/8          19                      Monday                             
2091/1/9          20                      Tuesday                            
2091/1/10         21                      Wednesday                          
2091/1/11         22                      Thursday                           
2091/1/12         23                      Friday                             
2091/1/13         24                      Saturday                           
2091/1/14         25                      Sunday                             
2091/1/15         26                      Monday                             
2091/1/16         27                      Tuesday                            
2091/1/17         28                      Wednesday                          
2091/1/18         29                      Thursday                           
2091/1/19         30                      Friday                             
2091/1/20         12th Lunar Month        Saturday       Severe Cold         
2091/1/21         2                       Sunday                             
2091/1/22         3                       Monday                             
2091/1/23         4                       Tuesday                            
2091/1/24         5                       Wednesday                          
2091/1/25         6                       Thursday                           
2091/1/26         7                       Friday                             
2091/1/27         8                       Saturday                           
2091/1/28         9                       Sunday                             
2091/1/29         10                      Monday                             
2091/1/30         11                      Tuesday                            
2091/1/31         12                      Wednesday                          
2091/2/1          13                      Thursday                           
2091/2/2          14                      Friday                             
2091/2/3          15                      Saturday       Spring Commences    
2091/2/4          16                      Sunday                             
2091/2/5          17                      Monday                             
2091/2/6          18                      Tuesday                            
2091/2/7          19                      Wednesday                          
2091/2/8          20                      Thursday                           
2091/2/9          21                      Friday                             
2091/2/10         22                      Saturday                           
2091/2/11         23                      Sunday                             
2091/2/12         24                      Monday                             
2091/2/13         25                      Tuesday                            
2091/2/14         26                      Wednesday                          
2091/2/15         27                      Thursday                           
2091/2/16         28                      Friday                             
2091/2/17         29                      Saturday                           
2091/2/18         1st Lunar Month         Sunday         Spring Showers      
2091/2/19         2                       Monday                             
2091/2/20         3                       Tuesday                            
2091/2/21         4                       Wednesday                          
2091/2/22         5                       Thursday                           
2091/2/23         6                       Friday                             
2091/2/24         7                       Saturday                           
2091/2/25         8                       Sunday                             
2091/2/26         9                       Monday                             
2091/2/27         10                      Tuesday                            
2091/2/28         11                      Wednesday                          
