Gregorian-Lunar Calendar Conversion Table of 2095 (Yi-mao  -  year of the Rabbit)
Gregorian date    Lunar date              Day-of-week    Solar terms
2095/1/1          25                      Saturday                           
2095/1/2          26                      Sunday                             
2095/1/3          27                      Monday                             
2095/1/4          28                      Tuesday                            
2095/1/5          29                      Wednesday      Moderate Cold       
2095/1/6          12th Lunar Month        Thursday                           
2095/1/7          2                       Friday                             
2095/1/8          3                       Saturday                           
2095/1/9          4                       Sunday                             
2095/1/10         5                       Monday                             
2095/1/11         6                       Tuesday                            
2095/1/12         7                       Wednesday                          
2095/1/13         8                       Thursday                           
2095/1/14         9                       Friday                             
2095/1/15         10                      Saturday                           
2095/1/16         11                      Sunday                             
2095/1/17         12                      Monday                             
2095/1/18         13                      Tuesday                            
2095/1/19         14                      Wednesday                          
2095/1/20         15                      Thursday       Severe Cold         
2095/1/21         16                      Friday                             
2095/1/22         17                      Saturday                           
2095/1/23         18                      Sunday                             
2095/1/24         19                      Monday                             
2095/1/25         20                      Tuesday                            
2095/1/26         21                      Wednesday                          
2095/1/27         22                      Thursday                           
2095/1/28         23                      Friday                             
2095/1/29         24                      Saturday                           
2095/1/30         25                      Sunday                             
2095/1/31         26                      Monday                             
2095/2/1          27                      Tuesday                            
2095/2/2          28                      Wednesday                          
2095/2/3          29                      Thursday       Spring Commences    
2095/2/4          30                      Friday                             
2095/2/5          1st Lunar Month         Saturday                           
2095/2/6          2                       Sunday                             
2095/2/7          3                       Monday                             
2095/2/8          4                       Tuesday                            
2095/2/9          5                       Wednesday                          
2095/2/10         6                       Thursday                           
2095/2/11         7                       Friday                             
2095/2/12         8                       Saturday                           
2095/2/13         9                       Sunday                             
2095/2/14         10                      Monday                             
2095/2/15         11                      Tuesday                            
2095/2/16         12                      Wednesday                          
2095/2/17         13                      Thursday                           
2095/2/18         14                      Friday         Spring Showers      
2095/2/19         15                      Saturday                           
2095/2/20         16                      Sunday                             
2095/2/21         17                      Monday                             
2095/2/22         18                      Tuesday                            
2095/2/23         19                      Wednesday                          
2095/2/24         20                      Thursday                           
2095/2/25         21                      Friday                             
2095/2/26         22                      Saturday                           
2095/2/27         23                      Sunday                             
2095/2/28         24                      Monday                             
2095/3/1          25                      Tuesday                            
2095/3/2          26                      Wednesday                          
2095/3/3          27                      Thursday                           
2095/3/4          28                      Friday                             
2095/3/5          29                      Saturday       Insects Waken       
2095/3/6          2nd Lunar Month         Sunday                             
2095/3/7          2                       Monday                             
2095/3/8          3                       Tuesday                            
2095/3/9          4                       Wednesday                          
2095/3/10         5                       Thursday                           
2095/3/11         6                       Friday                             
2095/3/12         7                       Saturday                           
2095/3/13         8                       Sunday                             
2095/3/14         9                       Monday                             
2095/3/15         10                      Tuesday                            
2095/3/16         11                      Wednesday                          
2095/3/17         12                      Thursday                           
2095/3/18         13                      Friday                             
2095/3/19         14                      Saturday                           
2095/3/20         15                      Sunday         Vernal Equinox      
2095/3/21         16                      Monday                             
2095/3/22         17                      Tuesday                            
2095/3/23         18                      Wednesday                          
2095/3/24         19                      Thursday                           
2095/3/25         20                      Friday                             
2095/3/26         21                      Saturday                           
2095/3/27         22                      Sunday                             
2095/3/28         23                      Monday                             
2095/3/29         24                      Tuesday                            
2095/3/30         25                      Wednesday                          
2095/3/31         26                      Thursday                           
2095/4/1          27                      Friday                             
2095/4/2          28                      Saturday                           
2095/4/3          29                      Sunday                             
2095/4/4          30                      Monday         Bright & Clear      
2095/4/5          3rd Lunar Month         Tuesday                            
2095/4/6          2                       Wednesday                          
