Gregorian-Lunar Calendar Conversion Table of 2096 (Bing-chen  -  year of the Dragon)
Gregorian date    Lunar date              Day-of-week    Solar terms
2096/1/1          6                       Sunday                             
2096/1/2          7                       Monday                             
2096/1/3          8                       Tuesday                            
2096/1/4          9                       Wednesday                          
2096/1/5          10                      Thursday       Moderate Cold       
2096/1/6          11                      Friday                             
2096/1/7          12                      Saturday                           
2096/1/8          13                      Sunday                             
2096/1/9          14                      Monday                             
2096/1/10         15                      Tuesday                            
2096/1/11         16                      Wednesday                          
2096/1/12         17                      Thursday                           
2096/1/13         18                      Friday                             
2096/1/14         19                      Saturday                           
2096/1/15         20                      Sunday                             
2096/1/16         21                      Monday                             
2096/1/17         22                      Tuesday                            
2096/1/18         23                      Wednesday                          
2096/1/19         24                      Thursday                           
2096/1/20         25                      Friday         Severe Cold         
2096/1/21         26                      Saturday                           
2096/1/22         27                      Sunday                             
2096/1/23         28                      Monday                             
2096/1/24         29                      Tuesday                            
2096/1/25         1st Lunar Month         Wednesday                          
2096/1/26         2                       Thursday                           
2096/1/27         3                       Friday                             
2096/1/28         4                       Saturday                           
2096/1/29         5                       Sunday                             
2096/1/30         6                       Monday                             
2096/1/31         7                       Tuesday                            
2096/2/1          8                       Wednesday                          
2096/2/2          9                       Thursday                           
2096/2/3          10                      Friday                             
2096/2/4          11                      Saturday       Spring Commences    
2096/2/5          12                      Sunday                             
2096/2/6          13                      Monday                             
2096/2/7          14                      Tuesday                            
2096/2/8          15                      Wednesday                          
2096/2/9          16                      Thursday                           
2096/2/10         17                      Friday                             
2096/2/11         18                      Saturday                           
2096/2/12         19                      Sunday                             
2096/2/13         20                      Monday                             
2096/2/14         21                      Tuesday                            
2096/2/15         22                      Wednesday                          
2096/2/16         23                      Thursday                           
2096/2/17         24                      Friday                             
2096/2/18         25                      Saturday       Spring Showers      
2096/2/19         26                      Sunday                             
2096/2/20         27                      Monday                             
2096/2/21         28                      Tuesday                            
2096/2/22         29                      Wednesday                          
2096/2/23         30                      Thursday                           
2096/2/24         2nd Lunar Month         Friday                             
