Gregorian-Lunar Calendar Conversion Table of 2097 (Ding-si  -  year of the Snake)
Gregorian date    Lunar date              Day-of-week    Solar terms
2097/1/1          18                      Tuesday                            
2097/1/2          19                      Wednesday                          
2097/1/3          20                      Thursday                           
2097/1/4          21                      Friday         Moderate Cold       
2097/1/5          22                      Saturday                           
2097/1/6          23                      Sunday                             
2097/1/7          24                      Monday                             
2097/1/8          25                      Tuesday                            
2097/1/9          26                      Wednesday                          
2097/1/10         27                      Thursday                           
2097/1/11         28                      Friday                             
2097/1/12         29                      Saturday                           
2097/1/13         12th Lunar Month        Sunday                             
2097/1/14         2                       Monday                             
2097/1/15         3                       Tuesday                            
2097/1/16         4                       Wednesday                          
2097/1/17         5                       Thursday                           
2097/1/18         6                       Friday                             
2097/1/19         7                       Saturday       Severe Cold         
2097/1/20         8                       Sunday                             
2097/1/21         9                       Monday                             
2097/1/22         10                      Tuesday                            
2097/1/23         11                      Wednesday                          
2097/1/24         12                      Thursday                           
2097/1/25         13                      Friday                             
2097/1/26         14                      Saturday                           
2097/1/27         15                      Sunday                             
2097/1/28         16                      Monday                             
2097/1/29         17                      Tuesday                            
2097/1/30         18                      Wednesday                          
2097/1/31         19                      Thursday                           
2097/2/1          20                      Friday                             
2097/2/2          21                      Saturday                           
2097/2/3          22                      Sunday         Spring Commences    
2097/2/4          23                      Monday                             
2097/2/5          24                      Tuesday                            
2097/2/6          25                      Wednesday                          
2097/2/7          26                      Thursday                           
2097/2/8          27                      Friday                             
2097/2/9          28                      Saturday                           
2097/2/10         29                      Sunday                             
2097/2/11         30                      Monday                             
2097/2/12         1st Lunar Month         Tuesday                            
2097/2/13         2                       Wednesday                          
2097/2/14         3                       Thursday                           
2097/2/15         4                       Friday                             
2097/2/16         5                       Saturday                           
2097/2/17         6                       Sunday                             
2097/2/18         7                       Monday         Spring Showers      
2097/2/19         8                       Tuesday                            
2097/2/20         9                       Wednesday                          
2097/2/21         10                      Thursday                           
2097/2/22         11                      Friday                             
2097/2/23         12                      Saturday                           
2097/2/24         13                      Sunday                             
2097/2/25         14                      Monday                             
2097/2/26         15                      Tuesday                            
2097/2/27         16                      Wednesday                          
2097/2/28         17                      Thursday                           
2097/3/1          18                      Friday                             
2097/3/2          19                      Saturday                           
2097/3/3          20                      Sunday                             
2097/3/4          21                      Monday                             
2097/3/5          22                      Tuesday        Insects Waken       
2097/3/6          23                      Wednesday                          
2097/3/7          24                      Thursday                           
2097/3/8          25                      Friday                             
2097/3/9          26                      Saturday                           
2097/3/10         27                      Sunday                             
2097/3/11         28                      Monday                             
2097/3/12         29                      Tuesday                            
2097/3/13         30                      Wednesday                          
2097/3/14         2nd Lunar Month         Thursday                           
