Gregorian-Lunar Calendar Conversion Table of 2100 (Geng-shen  -  year of the Monkey)
Gregorian date    Lunar date              Day-of-week    Solar terms
2100/1/1          21                      Friday                             
2100/1/2          22                      Saturday                           
2100/1/3          23                      Sunday                             
2100/1/4          24                      Monday                             
2100/1/5          25                      Tuesday        Moderate Cold       
2100/1/6          26                      Wednesday                          
2100/1/7          27                      Thursday                           
2100/1/8          28                      Friday                             
2100/1/9          29                      Saturday                           
2100/1/10         12th Lunar Month        Sunday                             
2100/1/11         2                       Monday                             
2100/1/12         3                       Tuesday                            
2100/1/13         4                       Wednesday                          
2100/1/14         5                       Thursday                           
2100/1/15         6                       Friday                             
2100/1/16         7                       Saturday                           
2100/1/17         8                       Sunday                             
2100/1/18         9                       Monday                             
2100/1/19         10                      Tuesday                            
2100/1/20         11                      Wednesday      Severe Cold         
2100/1/21         12                      Thursday                           
2100/1/22         13                      Friday                             
2100/1/23         14                      Saturday                           
2100/1/24         15                      Sunday                             
2100/1/25         16                      Monday                             
2100/1/26         17                      Tuesday                            
2100/1/27         18                      Wednesday                          
2100/1/28         19                      Thursday                           
2100/1/29         20                      Friday                             
2100/1/30         21                      Saturday                           
2100/1/31         22                      Sunday                             
2100/2/1          23                      Monday                             
2100/2/2          24                      Tuesday                            
2100/2/3          25                      Wednesday                          
2100/2/4          26                      Thursday       Spring Commences    
2100/2/5          27                      Friday                             
2100/2/6          28                      Saturday                           
2100/2/7          29                      Sunday                             
2100/2/8          30                      Monday                             
2100/2/9          1st Lunar Month         Tuesday                            
2100/2/10         2                       Wednesday                          
2100/2/11         3                       Thursday                           
2100/2/12         4                       Friday                             
2100/2/13         5                       Saturday                           
2100/2/14         6                       Sunday                             
2100/2/15         7                       Monday                             
2100/2/16         8                       Tuesday                            
2100/2/17         9                       Wednesday                          
2100/2/18         10                      Thursday       Spring Showers      
2100/2/19         11                      Friday                             
2100/2/20         12                      Saturday                           
2100/2/21         13                      Sunday                             
2100/2/22         14                      Monday                             
2100/2/23         15                      Tuesday                            
2100/2/24         16                      Wednesday                          
2100/2/25         17                      Thursday                           
2100/2/26         18                      Friday                             
2100/2/27         19                      Saturday                           
2100/2/28         20                      Sunday                             
2100/3/1          21                      Monday                             
2100/3/2          22                      Tuesday                            
2100/3/3          23                      Wednesday                          
2100/3/4          24                      Thursday                           
2100/3/5          25                      Friday         Insects Waken       
2100/3/6          26                      Saturday                           
2100/3/7          27                      Sunday                             
2100/3/8          28                      Monday                             
2100/3/9          29                      Tuesday                            
2100/3/10         30                      Wednesday                          
2100/3/11         2nd Lunar Month         Thursday                           
2100/3/12         2                       Friday                             
2100/3/13         3                       Saturday                           
2100/3/14         4                       Sunday                             
2100/3/15         5                       Monday                             
2100/3/16         6                       Tuesday                            
2100/3/17         7                       Wednesday                          
2100/3/18         8                       Thursday                           
2100/3/19         9                       Friday                             
2100/3/20         10                      Saturday       Vernal Equinox      
2100/3/21         11                      Sunday                             
2100/3/22         12                      Monday                             
2100/3/23         13                      Tuesday                            
2100/3/24         14                      Wednesday                          
2100/3/25         15                      Thursday                           
2100/3/26         16                      Friday                             
2100/3/27         17                      Saturday                           
2100/3/28         18                      Sunday                             
2100/3/29         19                      Monday                             
2100/3/30         20                      Tuesday                            
2100/3/31         21                      Wednesday                          
2100/4/1          22                      Thursday                           
2100/4/2          23                      Friday                             
2100/4/3          24                      Saturday                           
2100/4/4          25                      Sunday                             
2100/4/5          26                      Monday         Bright & Clear      
2100/4/6          27                      Tuesday                            
2100/4/7          28                      Wednesday                          
2100/4/8          29                      Thursday                           
2100/4/9          30                      Friday                             
2100/4/10         3rd Lunar Month         Saturday                           
2100/4/11         2                       Sunday                             
2100/4/12         3                       Monday                             
2100/4/13         4                       Tuesday                            
2100/4/14         5                       Wednesday                          
2100/4/15         6                       Thursday                           
2100/4/16         7                       Friday                             
2100/4/17         8                       Saturday                           
2100/4/18         9                       Sunday                             
2100/4/19         10                      Monday                             
2100/4/20         11                      Tuesday        Corn Rain           
2100/4/21         12                      Wednesday                          
2100/4/22         13                      Thursday                           
2100/4/23         14                      Friday                             
2100/4/24         15                      Saturday                           
2100/4/25         16                      Sunday                             
2100/4/26         17                      Monday                             
2100/4/27         18                      Tuesday                            
2100/4/28         19                      Wednesday                          
2100/4/29         20                      Thursday                           
2100/4/30         21                      Friday                             
2100/5/1          22                      Saturday                           
2100/5/2          23                      Sunday                             
2100/5/3          24                      Monday                             
2100/5/4          25                      Tuesday                            
2100/5/5          26                      Wednesday      Summer Commences    
2100/5/6          27                      Thursday                           
2100/5/7          28                      Friday                             
2100/5/8          29                      Saturday                           
2100/5/9          4th Lunar Month         Sunday                             
2100/5/10         2                       Monday                             
2100/5/11         3                       Tuesday                            
2100/5/12         4                       Wednesday                          
2100/5/13         5                       Thursday                           
2100/5/14         6                       Friday                             
2100/5/15         7                       Saturday                           
2100/5/16         8                       Sunday                             
2100/5/17         9                       Monday                             
2100/5/18         10                      Tuesday                            
2100/5/19         11                      Wednesday                          
2100/5/20         12                      Thursday                           
2100/5/21         13                      Friday         Corn Forms          
2100/5/22         14                      Saturday                           
2100/5/23         15                      Sunday                             
2100/5/24         16                      Monday                             
2100/5/25         17                      Tuesday                            
2100/5/26         18                      Wednesday                          
2100/5/27         19                      Thursday                           
2100/5/28         20                      Friday                             
2100/5/29         21                      Saturday                           
