Gregorian-Lunar Calendar Conversion Table of 1902 (Ren-yin ¡V year of the Tiger)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1902/01/01     22                  Wednesday                          
1902/01/02     23                  Thursday                           
1902/01/03     24                  Friday                             
1902/01/04     25                  Saturday                           
1902/01/05     26                  Sunday                             
1902/01/06     27                  Monday         Moderate Cold       
1902/01/07     28                  Tuesday                            
1902/01/08     29                  Wednesday                          
1902/01/09     30                  Thursday                           
1902/01/10     12th Lunar month    Friday                             
1902/01/11     2                   Saturday                           
1902/01/12     3                   Sunday                             
1902/01/13     4                   Monday                             
1902/01/14     5                   Tuesday                            
1902/01/15     6                   Wednesday                          
1902/01/16     7                   Thursday                           
1902/01/17     8                   Friday                             
1902/01/18     9                   Saturday                           
1902/01/19     10                  Sunday                             
1902/01/20     11                  Monday                             
1902/01/21     12                  Tuesday        Severe Cold         
1902/01/22     13                  Wednesday                          
1902/01/23     14                  Thursday                           
1902/01/24     15                  Friday                             
1902/01/25     16                  Saturday                           
1902/01/26     17                  Sunday                             
1902/01/27     18                  Monday                             
1902/01/28     19                  Tuesday                            
1902/01/29     20                  Wednesday                          
1902/01/30     21                  Thursday                           
1902/01/31     22                  Friday                             
1902/02/01     23                  Saturday                           
1902/02/02     24                  Sunday                             
1902/02/03     25                  Monday                             
1902/02/04     26                  Tuesday                            
1902/02/05     27                  Wednesday      Spring Commences    
1902/02/06     28                  Thursday                           
1902/02/07     29                  Friday                             
1902/02/08     1st Lunar month     Saturday                           
1902/02/09     2                   Sunday                             
1902/02/10     3                   Monday                             
1902/02/11     4                   Tuesday                            
1902/02/12     5                   Wednesday                          
1902/02/13     6                   Thursday                           
1902/02/14     7                   Friday                             
1902/02/15     8                   Saturday                           
1902/02/16     9                   Sunday                             
1902/02/17     10                  Monday                             
1902/02/18     11                  Tuesday                            
1902/02/19     12                  Wednesday      Spring Showers      
1902/02/20     13                  Thursday                           
1902/02/21     14                  Friday                             
1902/02/22     15                  Saturday                           
1902/02/23     16                  Sunday                          
1902/02/24     17                  Monday                             
1902/02/25     18                  Tuesday                            
1902/02/26     19                  Wednesday                          
