Gregorian-Lunar Calendar Conversion Table of 1909 (Ji-you ¡V year of the Rooster)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1909/01/01     10                  Friday                             
1909/01/02     11                  Saturday                           
1909/01/03     12                  Sunday                             
1909/01/04     13                  Monday                             
1909/01/05     14                  Tuesday                            
1909/01/06     15                  Wednesday      Moderate Cold       
1909/01/07     16                  Thursday                           
1909/01/08     17                  Friday                             
1909/01/09     18                  Saturday                           
1909/01/10     19                  Sunday                             
1909/01/11     20                  Monday                             
1909/01/12     21                  Tuesday                            
1909/01/13     22                  Wednesday                          
1909/01/14     23                  Thursday                           
1909/01/15     24                  Friday                             
1909/01/16     25                  Saturday                           
1909/01/17     26                  Sunday                             
1909/01/18     27                  Monday                             
1909/01/19     28                  Tuesday                            
1909/01/20     29                  Wednesday                          
1909/01/21     30                  Thursday       Severe Cold         
1909/01/22     1st Lunar month     Friday                             
1909/01/23     2                   Saturday                           
1909/01/24     3                   Sunday                             
1909/01/25     4                   Monday                             
1909/01/26     5                   Tuesday                            
1909/01/27     6                   Wednesday                          
1909/01/28     7                   Thursday                           
1909/01/29     8                   Friday                             
1909/01/30     9                   Saturday                           
1909/01/31     10                  Sunday                             
1909/02/01     11                  Monday                             
1909/02/02     12                  Tuesday                            
1909/02/03     13                  Wednesday                          
1909/02/04     14                  Thursday       Spring Commences    
1909/02/05     15                  Friday                             
1909/02/06     16                  Saturday                           
1909/02/07     17                  Sunday                             
1909/02/08     18                  Monday                             
1909/02/09     19                  Tuesday                            
1909/02/10     20                  Wednesday                          
1909/02/11     21                  Thursday                           
1909/02/12     22                  Friday                             
1909/02/13     23                  Saturday                           
1909/02/14     24                  Sunday                             
1909/02/15     25                  Monday                             
1909/02/16     26                  Tuesday                            
1909/02/17     27                  Wednesday                          
1909/02/18     28                  Thursday                           
1909/02/19     29                  Friday         Spring Showers      
1909/02/20     2nd Lunar month     Saturday                           
1909/02/21     2                   Sunday                             
1909/02/22     3                   Monday                             
1909/02/23     4                   Tuesday                            
1909/02/24     5                   Wednesday                          
1909/02/25     6                   Thursday                           
1909/02/26     7                   Friday                             
1909/02/27     8                   Saturday                           
1909/02/28     9                   Sunday                             
1909/03/01     10                  Monday                             
1909/03/02     11                  Tuesday                            
1909/03/03     12                  Wednesday                          
1909/03/04     13                  Thursday                           
1909/03/05     14                  Friday                             
1909/03/06     15                  Saturday       Insects Waken       
1909/03/07     16                  Sunday                             
1909/03/08     17                  Monday                             
1909/03/09     18                  Tuesday                            
1909/03/10     19                  Wednesday                          
1909/03/11     20                  Thursday                           
1909/03/12     21                  Friday                             
1909/03/13     22                  Saturday                           
1909/03/14     23                  Sunday                             
1909/03/15     24                  Monday                             
1909/03/16     25                  Tuesday                            
1909/03/17     26                  Wednesday                          
1909/03/18     27                  Thursday                           
1909/03/19     28                  Friday                             
1909/03/20     29                  Saturday                           
1909/03/21     30                  Sunday         Vernal Equinox      
1909/03/22     2nd Lunar month     Monday                             
1909/03/23     2                   Tuesday                            
1909/03/24     3                   Wednesday                          
1909/03/25     4                   Thursday                           
1909/03/26     5                   Friday                             
1909/03/27     6                   Saturday                           
