Gregorian-Lunar Calendar Conversion Table of 1910 (Geng-xu ¡V year of the Dog)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1910/01/01     20                  Saturday                           
1910/01/02     21                  Sunday                             
1910/01/03     22                  Monday                             
1910/01/04     23                  Tuesday                            
1910/01/05     24                  Wednesday                          
1910/01/06     25                  Thursday       Moderate Cold       
1910/01/07     26                  Friday                             
1910/01/08     27                  Saturday                           
1910/01/09     28                  Sunday                             
1910/01/10     29                  Monday                             
1910/01/11     12th Lunar month    Tuesday                            
1910/01/12     2                   Wednesday                          
1910/01/13     3                   Thursday                           
1910/01/14     4                   Friday                             
1910/01/15     5                   Saturday                           
1910/01/16     6                   Sunday                             
1910/01/17     7                   Monday                             
1910/01/18     8                   Tuesday                            
1910/01/19     9                   Wednesday                          
1910/01/20     10                  Thursday                           
1910/01/21     11                  Friday         Severe Cold         
1910/01/22     12                  Saturday                           
1910/01/23     13                  Sunday                             
1910/01/24     14                  Monday                             
1910/01/25     15                  Tuesday                            
1910/01/26     16                  Wednesday                          
1910/01/27     17                  Thursday                           
1910/01/28     18                  Friday                             
1910/01/29     19                  Saturday                           
1910/01/30     20                  Sunday                             
1910/01/31     21                  Monday                             
1910/02/01     22                  Tuesday                            
1910/02/02     23                  Wednesday                          
1910/02/03     24                  Thursday                           
1910/02/04     25                  Friday                             
1910/02/05     26                  Saturday       Spring Commences    
1910/02/06     27                  Sunday                             
1910/02/07     28                  Monday                             
1910/02/08     29                  Tuesday                            
1910/02/09     30                  Wednesday                          
1910/02/10     1st Lunar month     Thursday                           
1910/02/11     2                   Friday                             
1910/02/12     3                   Saturday                           
1910/02/13     4                   Sunday                             
1910/02/14     5                   Monday                             
1910/02/15     6                   Tuesday                            
1910/02/16     7                   Wednesday                          
1910/02/17     8                   Thursday                           
1910/02/18     9                   Friday                             
1910/02/19     10                  Saturday       Spring Showers      
1910/02/20     11                  Sunday                             
1910/02/21     12                  Monday                             
1910/02/22     13                  Tuesday                            
1910/02/23     14                  Wednesday                          
1910/02/24     15                  Thursday                           
1910/02/25     16                  Friday                             
1910/02/26     17                  Saturday                           
1910/02/27     18                  Sunday                             
1910/02/28     19                  Monday                             
1910/03/01     20                  Tuesday                            
1910/03/02     21                  Wednesday                          
1910/03/03     22                  Thursday                           
1910/03/04     23                  Friday                             
1910/03/05     24                  Saturday                           
1910/03/06     25                  Sunday         Insects Waken       
1910/03/07     26                  Monday                             
1910/03/08     27                  Tuesday                            
1910/03/09     28                  Wednesday                          
1910/03/10     29                  Thursday                           
1910/03/11     2nd Lunar month     Friday                             
1910/03/12     2                   Saturday                           
1910/03/13     3                   Sunday                             
1910/03/14     4                   Monday                             
1910/03/15     5                   Tuesday                            
1910/03/16     6                   Wednesday                          
1910/03/17     7                   Thursday                           
1910/03/18     8                   Friday                             
1910/03/19     9                   Saturday                           
1910/03/20     10                  Sunday                             
1910/03/21     11                  Monday         Vernal Equinox      
1910/03/22     12                  Tuesday                            
1910/03/23     13                  Wednesday                          
1910/03/24     14                  Thursday                           
1910/03/25     15                  Friday                             
1910/03/26     16                  Saturday                           
1910/03/27     17                  Sunday                             
1910/03/28     18                  Monday                             
1910/03/29     19                  Tuesday                            
1910/03/30     20                  Wednesday                          
1910/03/31     21                  Thursday                           
1910/04/01     22                  Friday                             
1910/04/02     23                  Saturday                           
1910/04/03     24                  Sunday                             
1910/04/04     25                  Monday                             
1910/04/05     26                  Tuesday                            
1910/04/06     27                  Wednesday      Bright & Clear      
1910/04/07     28                  Thursday                           
1910/04/08     29                  Friday                             
1910/04/09     30                  Saturday                           
1910/04/10     3rd Lunar month     Sunday                             
1910/04/11     2                   Monday                             
1910/04/12     3                   Tuesday                            
1910/04/13     4                   Wednesday                          
1910/04/14     5                   Thursday                           
1910/04/15     6                   Friday                             
1910/04/16     7                   Saturday                           
1910/04/17     8                   Sunday                             
1910/04/18     9                   Monday                             
1910/04/19     10                  Tuesday                            
1910/04/20     11                  Wednesday                          
1910/04/21     12                  Thursday       Corn Rain           
1910/04/22     13                  Friday                             
1910/04/23     14                  Saturday                           
1910/04/24     15                  Sunday                             
1910/04/25     16                  Monday                             
1910/04/26     17                  Tuesday                            
1910/04/27     18                  Wednesday                          
1910/04/28     19                  Thursday                           
1910/04/29     20                  Friday                             
1910/04/30     21                  Saturday                           
1910/05/01     22                  Sunday                             
1910/05/02     23                  Monday                             
1910/05/03     24                  Tuesday                            
