Gregorian-Lunar Calendar Conversion Table of 1918 (Wu-wu ¡V year of the Horse)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1918/01/01     19                  Tuesday                            
1918/01/02     20                  Wednesday                          
1918/01/03     21                  Thursday                           
1918/01/04     22                  Friday                             
1918/01/05     23                  Saturday                           
1918/01/06     24                  Sunday         Moderate Cold       
1918/01/07     25                  Monday                             
1918/01/08     26                  Tuesday                            
1918/01/09     27                  Wednesday                          
1918/01/10     28                  Thursday                           
1918/01/11     29                  Friday                             
1918/01/12     30                  Saturday                           
1918/01/13     12th Lunar month    Sunday                             
1918/01/14     2                   Monday                             
1918/01/15     3                   Tuesday                            
1918/01/16     4                   Wednesday                          
1918/01/17     5                   Thursday                           
1918/01/18     6                   Friday                             
1918/01/19     7                   Saturday                           
1918/01/20     8                   Sunday                             
1918/01/21     9                   Monday         Severe Cold         
1918/01/22     10                  Tuesday                            
1918/01/23     11                  Wednesday                          
1918/01/24     12                  Thursday                           
1918/01/25     13                  Friday                             
1918/01/26     14                  Saturday                           
1918/01/27     15                  Sunday                             
1918/01/28     16                  Monday                             
1918/01/29     17                  Tuesday                            
1918/01/30     18                  Wednesday                          
1918/01/31     19                  Thursday                           
1918/02/01     20                  Friday                             
1918/02/02     21                  Saturday                           
1918/02/03     22                  Sunday                             
1918/02/04     23                  Monday         Spring Commences    
1918/02/05     24                  Tuesday                            
1918/02/06     25                  Wednesday                          
1918/02/07     26                  Thursday                           
1918/02/08     27                  Friday                             
1918/02/09     28                  Saturday                           
1918/02/10     29                  Sunday                             
1918/02/11     1st Lunar month     Monday                             
1918/02/12     2                   Tuesday                            
1918/02/13     3                   Wednesday                          
1918/02/14     4                   Thursday                           
1918/02/15     5                   Friday                             
1918/02/16     6                   Saturday                           
1918/02/17     7                   Sunday                             
1918/02/18     8                   Monday                             
1918/02/19     9                   Tuesday        Spring Showers      
1918/02/20     10                  Wednesday                          
1918/02/21     11                  Thursday                           
1918/02/22     12                  Friday                             
1918/02/23     13                  Saturday                           
1918/02/24     14                  Sunday                             
1918/02/25     15                  Monday                             
1918/02/26     16                  Tuesday                            
1918/02/27     17                  Wednesday                          
1918/02/28     18                  Thursday                           
1918/03/01     19                  Friday                             
