Gregorian-Lunar Calendar Conversion Table of 1921 (Xin-you ¡V year of the Rooster)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1921/01/01     23                  Saturday                           
1921/01/02     24                  Sunday                             
1921/01/03     25                  Monday                             
1921/01/04     26                  Tuesday                            
1921/01/05     27                  Wednesday                          
1921/01/06     28                  Thursday       Moderate Cold       
1921/01/07     29                  Friday                             
1921/01/08     30                  Saturday                           
1921/01/09     12th Lunar month    Sunday                             
1921/01/10     2                   Monday                             
1921/01/11     3                   Tuesday                            
1921/01/12     4                   Wednesday                          
1921/01/13     5                   Thursday                           
1921/01/14     6                   Friday                             
1921/01/15     7                   Saturday                           
1921/01/16     8                   Sunday                             
1921/01/17     9                   Monday                             
1921/01/18     10                  Tuesday                            
1921/01/19     11                  Wednesday                          
1921/01/20     12                  Thursday       Severe Cold         
1921/01/21     13                  Friday                             
1921/01/22     14                  Saturday                           
1921/01/23     15                  Sunday                             
1921/01/24     16                  Monday                             
1921/01/25     17                  Tuesday                            
1921/01/26     18                  Wednesday                          
1921/01/27     19                  Thursday                           
1921/01/28     20                  Friday                             
1921/01/29     21                  Saturday                           
1921/01/30     22                  Sunday                             
1921/01/31     23                  Monday                             
1921/02/01     24                  Tuesday                            
1921/02/02     25                  Wednesday                          
1921/02/03     26                  Thursday                           
1921/02/04     27                  Friday         Spring Commences    
1921/02/05     28                  Saturday                           
1921/02/06     29                  Sunday                             
1921/02/07     30                  Monday                             
1921/02/08     1st Lunar month     Tuesday                            
1921/02/09     2                   Wednesday                          
1921/02/10     3                   Thursday                           
1921/02/11     4                   Friday                             
1921/02/12     5                   Saturday                           
1921/02/13     6                   Sunday                             
1921/02/14     7                   Monday                             
1921/02/15     8                   Tuesday                            
1921/02/16     9                   Wednesday                          
1921/02/17     10                  Thursday                           
1921/02/18     11                  Friday                             
1921/02/19     12                  Saturday       Spring Showers      
1921/02/20     13                  Sunday                             
1921/02/21     14                  Monday                             
1921/02/22     15                  Tuesday                            
1921/02/23     16                  Wednesday                          
1921/02/24     17                  Thursday                           
1921/02/25     18                  Friday                             
1921/02/26     19                  Saturday                           
1921/02/27     20                  Sunday                             
1921/02/28     21                  Monday                             
1921/03/01     22                  Tuesday                            
1921/03/02     23                  Wednesday                          
1921/03/03     24                  Thursday                           
1921/03/04     25                  Friday                             
1921/03/05     26                  Saturday                           
1921/03/06     27                  Sunday         Insects Waken       
1921/03/07     28                  Monday                             
1921/03/08     29                  Tuesday                            
1921/03/09     30                  Wednesday                          
1921/03/10     2nd Lunar month     Thursday                           
1921/03/11     2                   Friday                             
1921/03/12     3                   Saturday                           
1921/03/13     4                   Sunday                             
1921/03/14     5                   Monday                             
1921/03/15     6                   Tuesday                            
1921/03/16     7                   Wednesday                          
1921/03/17     8                   Thursday                           
1921/03/18     9                   Friday                             
1921/03/19     10                  Saturday                           
1921/03/20     11                  Sunday                             
1921/03/21     12                  Monday         Vernal Equinox      
1921/03/22     13                  Tuesday                            
1921/03/23     14                  Wednesday                          
1921/03/24     15                  Thursday                           
