Gregorian-Lunar Calendar Conversion Table of 1924 (Jia-zi ¡V year of the Mouse)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1924/01/01     25                  Tuesday                            
1924/01/02     26                  Wednesday                          
1924/01/03     27                  Thursday                           
1924/01/04     28                  Friday                             
1924/01/05     29                  Saturday                           
1924/01/06     12th Lunar month    Sunday         Moderate Cold       
1924/01/07     2                   Monday                             
1924/01/08     3                   Tuesday                            
1924/01/09     4                   Wednesday                          
1924/01/10     5                   Thursday                           
1924/01/11     6                   Friday                             
1924/01/12     7                   Saturday                           
1924/01/13     8                   Sunday                             
1924/01/14     9                   Monday                             
1924/01/15     10                  Tuesday                            
1924/01/16     11                  Wednesday                          
1924/01/17     12                  Thursday                           
1924/01/18     13                  Friday                             
1924/01/19     14                  Saturday                           
1924/01/20     15                  Sunday                             
1924/01/21     16                  Monday         Severe Cold         
1924/01/22     17                  Tuesday                            
1924/01/23     18                  Wednesday                          
1924/01/24     19                  Thursday                           
1924/01/25     20                  Friday                             
1924/01/26     21                  Saturday                           
1924/01/27     22                  Sunday                             
1924/01/28     23                  Monday                             
1924/01/29     24                  Tuesday                            
1924/01/30     25                  Wednesday                          
1924/01/31     26                  Thursday                           
1924/02/01     27                  Friday                             
1924/02/02     28                  Saturday                           
1924/02/03     29                  Sunday                             
1924/02/04     30                  Monday                             
1924/02/05     1st Lunar month     Tuesday        Spring Commences    
1924/02/06     2                   Wednesday                          
1924/02/07     3                   Thursday                           
1924/02/08     4                   Friday                             
1924/02/09     5                   Saturday                           
1924/02/10     6                   Sunday                             
1924/02/11     7                   Monday                             
1924/02/12     8                   Tuesday                            
1924/02/13     9                   Wednesday                          
1924/02/14     10                  Thursday                           
1924/02/15     11                  Friday                             
1924/02/16     12                  Saturday                           
1924/02/17     13                  Sunday                             
1924/02/18     14                  Monday                             
1924/02/19     15                  Tuesday                            
1924/02/20     16                  Wednesday      Spring Showers      
1924/02/21     17                  Thursday                           
1924/02/22     18                  Friday                             
1924/02/23     19                  Saturday                           
1924/02/24     20                  Sunday                             
1924/02/25     21                  Monday                             
1924/02/26     22                  Tuesday                            
1924/02/27     23                  Wednesday                          
1924/02/28     24                  Thursday                           
1924/02/29     25                  Friday                             
1924/03/01     26                  Saturday                           
1924/03/02     27                  Sunday                             
1924/03/03     28                  Monday                             
1924/03/04     29                  Tuesday                            
1924/03/05     2nd Lunar month     Wednesday                          
1924/03/06     2                   Thursday       Insects Waken       
1924/03/07     3                   Friday                             
1924/03/08     4                   Saturday                           
1924/03/09     5                   Sunday                             
1924/03/10     6                   Monday                             
1924/03/11     7                   Tuesday                            
1924/03/12     8                   Wednesday                          
1924/03/13     9                   Thursday                           
1924/03/14     10                  Friday                             
1924/03/15     11                  Saturday                           
1924/03/16     12                  Sunday                             
1924/03/17     13                  Monday                             
1924/03/18     14                  Tuesday                            
1924/03/19     15                  Wednesday                          
1924/03/20     16                  Thursday                           
1924/03/21     17                  Friday         Vernal Equinox      
1924/03/22     18                  Saturday                           
1924/03/23     19                  Sunday                             
1924/03/24     20                  Monday                             
1924/03/25     21                  Tuesday                            
1924/03/26     22                  Wednesday                          
1924/03/27     23                  Thursday                           
1924/03/28     24                  Friday                             
1924/03/29     25                  Saturday                           
1924/03/30     26                  Sunday                             
1924/03/31     27                  Monday                             
1924/04/01     28                  Tuesday                            
1924/04/02     29                  Wednesday                          
1924/04/03     30                  Thursday                           
1924/04/04     3rd Lunar month     Friday                             
1924/04/05     2                   Saturday       Bright & Clear      
1924/04/06     3                   Sunday                             
1924/04/07     4                   Monday                             
1924/04/08     5                   Tuesday                            
1924/04/09     6                   Wednesday                          
1924/04/10     7                   Thursday                           
1924/04/11     8                   Friday                             
1924/04/12     9                   Saturday                           
1924/04/13     10                  Sunday                             
1924/04/14     11                  Monday                             
1924/04/15     12                  Tuesday                            
1924/04/16     13                  Wednesday                          
1924/04/17     14                  Thursday                           
1924/04/18     15                  Friday                             
1924/04/19     16                  Saturday                           
1924/04/20     17                  Sunday         Corn Rain           
1924/04/21     18                  Monday                             
1924/04/22     19                  Tuesday                            
1924/04/23     20                  Wednesday                          
1924/04/24     21                  Thursday                           
1924/04/25     22                  Friday                             
1924/04/26     23                  Saturday                           
1924/04/27     24                  Sunday                             
1924/04/28     25                  Monday                             
1924/04/29     26                  Tuesday                            
1924/04/30     27                  Wednesday                          
1924/05/01     28                  Thursday                           
1924/05/02     29                  Friday                             
1924/05/03     30                  Saturday                           
1924/05/04     4th Lunar month     Sunday                             
1924/05/05     2                   Monday                             
1924/05/06     3                   Tuesday        Summer Commences    
1924/05/07     4                   Wednesday                          
1924/05/08     5                   Thursday                           
1924/05/09     6                   Friday                             
1924/05/10     7                   Saturday                           
1924/05/11     8                   Sunday                             
1924/05/12     9                   Monday                             
1924/05/13     10                  Tuesday                            
1924/05/14     11                  Wednesday                          
1924/05/15     12                  Thursday                           
1924/05/16     13                  Friday                             
1924/05/17     14                  Saturday                           
1924/05/18     15                  Sunday                             
1924/05/19     16                  Monday                             
1924/05/20     17                  Tuesday                            
1924/05/21     18                  Wednesday      Corn Forms          
1924/05/22     19                  Thursday                           
1924/05/23     20                  Friday                             
1924/05/24     21                  Saturday                           
1924/05/25     22                  Sunday                             
1924/05/26     23                  Monday                             
1924/05/27     24                  Tuesday                            
1924/05/28     25                  Wednesday                          
1924/05/29     26                  Thursday                           
1924/05/30     27                  Friday                             
1924/05/31     28                  Saturday                           
1924/06/01     29                  Sunday                             
1924/06/02     5th Lunar month     Monday                             
1924/06/03     2                   Tuesday                            
1924/06/04     3                   Wednesday                          
1924/06/05     4                   Thursday                           
1924/06/06     5                   Friday         Corn on Ear         
1924/06/07     6                   Saturday                           
1924/06/08     7                   Sunday                             
1924/06/09     8                   Monday                             
1924/06/10     9                   Tuesday                            
1924/06/11     10                  Wednesday                          
1924/06/12     11                  Thursday                           
