Gregorian-Lunar Calendar Conversion Table of 1934 (Jia-xu ¡V year of the Dog)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1934/01/01     16                  Monday                             
1934/01/02     17                  Tuesday                            
1934/01/03     18                  Wednesday                          
1934/01/04     19                  Thursday                           
1934/01/05     20                  Friday                             
1934/01/06     21                  Saturday       Moderate Cold       
1934/01/07     22                  Sunday                             
1934/01/08     23                  Monday                             
1934/01/09     24                  Tuesday                            
1934/01/10     25                  Wednesday                          
1934/01/11     26                  Thursday                           
1934/01/12     27                  Friday                             
1934/01/13     28                  Saturday                           
1934/01/14     29                  Sunday                             
1934/01/15     12th Lunar month    Monday                             
1934/01/16     2                   Tuesday                            
1934/01/17     3                   Wednesday                          
1934/01/18     4                   Thursday                           
1934/01/19     5                   Friday                             
1934/01/20     6                   Saturday                           
1934/01/21     7                   Sunday         Severe Cold         
1934/01/22     8                   Monday                             
1934/01/23     9                   Tuesday                            
1934/01/24     10                  Wednesday                          
1934/01/25     11                  Thursday                           
1934/01/26     12                  Friday                             
1934/01/27     13                  Saturday                           
1934/01/28     14                  Sunday                             
1934/01/29     15                  Monday                             
1934/01/30     16                  Tuesday                            
1934/01/31     17                  Wednesday                          
1934/02/01     18                  Thursday                           
1934/02/02     19                  Friday                             
1934/02/03     20                  Saturday                           
1934/02/04     21                  Sunday         Spring Commences    
1934/02/05     22                  Monday                             
1934/02/06     23                  Tuesday                            
1934/02/07     24                  Wednesday                          
1934/02/08     25                  Thursday                           
1934/02/09     26                  Friday                             
1934/02/10     27                  Saturday                           
1934/02/11     28                  Sunday                             
1934/02/12     29                  Monday                             
1934/02/13     30                  Tuesday                            
1934/02/14     1st Lunar month     Wednesday                          
1934/02/15     2                   Thursday                           
1934/02/16     3                   Friday                             
1934/02/17     4                   Saturday                           
1934/02/18     5                   Sunday                             
1934/02/19     6                   Monday         Spring Showers      
1934/02/20     7                   Tuesday                            
1934/02/21     8                   Wednesday                          
1934/02/22     9                   Thursday                           
