Gregorian-Lunar Calendar Conversion Table of 1940 (Geng-chen ¡V year of the Dragon)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1940/01/01     22                  Monday                             
1940/01/02     23                  Tuesday                            
1940/01/03     24                  Wednesday                          
1940/01/04     25                  Thursday                           
1940/01/05     26                  Friday                             
1940/01/06     27                  Saturday       Moderate Cold       
1940/01/07     28                  Sunday                             
1940/01/08     29                  Monday                             
1940/01/09     12th Lunar month    Tuesday                            
1940/01/10     2                   Wednesday                          
1940/01/11     3                   Thursday                           
1940/01/12     4                   Friday                             
1940/01/13     5                   Saturday                           
1940/01/14     6                   Sunday                             
1940/01/15     7                   Monday                             
1940/01/16     8                   Tuesday                            
1940/01/17     9                   Wednesday                          
1940/01/18     10                  Thursday                           
1940/01/19     11                  Friday                             
1940/01/20     12                  Saturday                           
1940/01/21     13                  Sunday         Severe Cold         
1940/01/22     14                  Monday                             
1940/01/23     15                  Tuesday                            
1940/01/24     16                  Wednesday                          
1940/01/25     17                  Thursday                           
1940/01/26     18                  Friday                             
1940/01/27     19                  Saturday                           
1940/01/28     20                  Sunday                             
1940/01/29     21                  Monday                             
1940/01/30     22                  Tuesday                            
1940/01/31     23                  Wednesday                          
1940/02/01     24                  Thursday                           
1940/02/02     25                  Friday                             
1940/02/03     26                  Saturday                           
1940/02/04     27                  Sunday                             
1940/02/05     28                  Monday         Spring Commences    
1940/02/06     29                  Tuesday                            
1940/02/07     30                  Wednesday                          
1940/02/08     1st Lunar month     Thursday                           
1940/02/09     2                   Friday                             
1940/02/10     3                   Saturday                           
1940/02/11     4                   Sunday                             
1940/02/12     5                   Monday                             
1940/02/13     6                   Tuesday                            
1940/02/14     7                   Wednesday                          
1940/02/15     8                   Thursday                           
1940/02/16     9                   Friday                             
1940/02/17     10                  Saturday                           
1940/02/18     11                  Sunday                             
1940/02/19     12                  Monday                             
1940/02/20     13                  Tuesday        Spring Showers      
1940/02/21     14                  Wednesday                          
1940/02/22     15                  Thursday                           
1940/02/23     16                  Friday                             
1940/02/24     17                  Saturday                           
1940/02/25     18                  Sunday                             
1940/02/26     19                  Monday                             
1940/02/27     20                  Tuesday                            
1940/02/28     21                  Wednesday                          
1940/02/29     22                  Thursday                           
1940/03/01     23                  Friday                             
1940/03/02     24                  Saturday                           
1940/03/03     25                  Sunday                             
1940/03/04     26                  Monday                             
1940/03/05     27                  Tuesday                            
1940/03/06     28                  Wednesday      Insects Waken       
1940/03/07     29                  Thursday                           
1940/03/08     30                  Friday                             
1940/03/09     2nd Lunar month     Saturday                           
1940/03/10     2                   Sunday                             
1940/03/11     3                   Monday                             
1940/03/12     4                   Tuesday                            
1940/03/13     5                   Wednesday                          
1940/03/14     6                   Thursday                           
1940/03/15     7                   Friday                             
1940/03/16     8                   Saturday                           
1940/03/17     9                   Sunday                             
1940/03/18     10                  Monday                             
1940/03/19     11                  Tuesday                            
1940/03/20     12                  Wednesday                          
1940/03/21     13                  Thursday       Vernal Equinox      
1940/03/22     14                  Friday                             
1940/03/23     15                  Saturday                           
1940/03/24     16                  Sunday                             
1940/03/25     17                  Monday                             
1940/03/26     18                  Tuesday                            
1940/03/27     19                  Wednesday                          
1940/03/28     20                  Thursday                           
1940/03/29     21                  Friday                             
1940/03/30     22                  Saturday                           
1940/03/31     23                  Sunday                             
1940/04/01     24                  Monday                             
1940/04/02     25                  Tuesday                            
1940/04/03     26                  Wednesday                          
1940/04/04     27                  Thursday                           
1940/04/05     28                  Friday         Bright & Clear      
1940/04/06     29                  Saturday                           
1940/04/07     30                  Sunday                             
1940/04/08     3rd Lunar month     Monday                             
1940/04/09     2                   Tuesday                            
1940/04/10     3                   Wednesday                          
1940/04/11     4                   Thursday                           
1940/04/12     5                   Friday                             
1940/04/13     6                   Saturday                           
1940/04/14     7                   Sunday                             
1940/04/15     8                   Monday                             
1940/04/16     9                   Tuesday                            
1940/04/17     10                  Wednesday                          
1940/04/18     11                  Thursday                           
1940/04/19     12                  Friday                             
1940/04/20     13                  Saturday       Corn Rain           
1940/04/21     14                  Sunday                             
1940/04/22     15                  Monday                             
1940/04/23     16                  Tuesday                            
1940/04/24     17                  Wednesday                          
1940/04/25     18                  Thursday                           
1940/04/26     19                  Friday                             
1940/04/27     20                  Saturday                           
1940/04/28     21                  Sunday                             
1940/04/29     22                  Monday                             
1940/04/30     23                  Tuesday                            
1940/05/01     24                  Wednesday                          
1940/05/02     25                  Thursday                           
1940/05/03     26                  Friday                             
1940/05/04     27                  Saturday                           
1940/05/05     28                  Sunday                             
1940/05/06     29                  Monday         Summer Commences    
1940/05/07     4th Lunar month     Tuesday                            
1940/05/08     2                   Wednesday                          
1940/05/09     3                   Thursday                           
1940/05/10     4                   Friday                             
1940/05/11     5                   Saturday                           
1940/05/12     6                   Sunday                             
1940/05/13     7                   Monday                             
1940/05/14     8                   Tuesday                            
1940/05/15     9                   Wednesday                          
1940/05/16     10                  Thursday                           
1940/05/17     11                  Friday                             
1940/05/18     12                  Saturday                           
1940/05/19     13                  Sunday                             
1940/05/20     14                  Monday                             
1940/05/21     15                  Tuesday        Corn Forms          
1940/05/22     16                  Wednesday                          
1940/05/23     17                  Thursday                           
1940/05/24     18                  Friday                             
1940/05/25     19                  Saturday                           
1940/05/26     20                  Sunday                             
1940/05/27     21                  Monday                             
1940/05/28     22                  Tuesday                            
1940/05/29     23                  Wednesday                          
1940/05/30     24                  Thursday                           
1940/05/31     25                  Friday                             
1940/06/01     26                  Saturday                           
1940/06/02     27                  Sunday                             
1940/06/03     28                  Monday                             
1940/06/04     29                  Tuesday                            
1940/06/05     30                  Wednesday                          
1940/06/06     5th Lunar month     Thursday       Corn on Ear         
1940/06/07     2                   Friday                             
1940/06/08     3                   Saturday                           
1940/06/09     4                   Sunday                             
1940/06/10     5                   Monday                             
1940/06/11     6                   Tuesday                            
1940/06/12     7                   Wednesday                          
1940/06/13     8                   Thursday                           
1940/06/14     9                   Friday                             
1940/06/15     10                  Saturday                           
1940/06/16     11                  Sunday                             
1940/06/17     12                  Monday                             
1940/06/18     13                  Tuesday                            
1940/06/19     14                  Wednesday                          
1940/06/20     15                  Thursday                           
1940/06/21     16                  Friday         Summer Solstice     
1940/06/22     17                  Saturday                           
1940/06/23     18                  Sunday                             
1940/06/24     19                  Monday                             
1940/06/25     20                  Tuesday                            
1940/06/26     21                  Wednesday                          
1940/06/27     22                  Thursday                           
1940/06/28     23                  Friday                             
1940/06/29     24                  Saturday                           
1940/06/30     25                  Sunday                             
1940/07/01     26                  Monday                             
1940/07/02     27                  Tuesday                            
1940/07/03     28                  Wednesday                          
1940/07/04     29                  Thursday                           
1940/07/05     6th Lunar month     Friday                             
1940/07/06     2                   Saturday                           
1940/07/07     3                   Sunday         Moderate Heat       
1940/07/08     4                   Monday                             
1940/07/09     5                   Tuesday                            
1940/07/10     6                   Wednesday                          
1940/07/11     7                   Thursday                           
1940/07/12     8                   Friday                             
1940/07/13     9                   Saturday                           
