Gregorian-Lunar Calendar Conversion Table of 1942 (Ren-wu ¡V year of the Horse)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1942/01/01     15                  Thursday                           
1942/01/02     16                  Friday                             
1942/01/03     17                  Saturday                           
1942/01/04     18                  Sunday                             
1942/01/05     19                  Monday                             
1942/01/06     20                  Tuesday        Moderate Cold       
1942/01/07     21                  Wednesday                          
1942/01/08     22                  Thursday                           
1942/01/09     23                  Friday                             
1942/01/10     24                  Saturday                           
1942/01/11     25                  Sunday                             
1942/01/12     26                  Monday                             
1942/01/13     27                  Tuesday                            
1942/01/14     28                  Wednesday                          
1942/01/15     29                  Thursday                           
1942/01/16     30                  Friday                             
1942/01/17     12th Lunar month    Saturday                           
1942/01/18     2                   Sunday                             
1942/01/19     3                   Monday                             
1942/01/20     4                   Tuesday                            
1942/01/21     5                   Wednesday      Severe Cold         
1942/01/22     6                   Thursday                           
1942/01/23     7                   Friday                             
1942/01/24     8                   Saturday                           
1942/01/25     9                   Sunday                             
1942/01/26     10                  Monday                             
1942/01/27     11                  Tuesday                            
1942/01/28     12                  Wednesday                          
1942/01/29     13                  Thursday                           
1942/01/30     14                  Friday                             
1942/01/31     15                  Saturday                           
1942/02/01     16                  Sunday                             
1942/02/02     17                  Monday                             
1942/02/03     18                  Tuesday                            
1942/02/04     19                  Wednesday      Spring Commences    
1942/02/05     20                  Thursday                           
1942/02/06     21                  Friday                             
1942/02/07     22                  Saturday                           
1942/02/08     23                  Sunday                             
1942/02/09     24                  Monday                             
1942/02/10     25                  Tuesday                            
1942/02/11     26                  Wednesday                          
1942/02/12     27                  Thursday                           
1942/02/13     28                  Friday                             
1942/02/14     29                  Saturday                           
1942/02/15     1st Lunar month     Sunday                             
1942/02/16     2                   Monday                             
1942/02/17     3                   Tuesday                            
1942/02/18     4                   Wednesday                          
1942/02/19     5                   Thursday       Spring Showers      
1942/02/20     6                   Friday                             
1942/02/21     7                   Saturday                           
1942/02/22     8                   Sunday                             
1942/02/23     9                   Monday                             
1942/02/24     10                  Tuesday                            
1942/02/25     11                  Wednesday                          
1942/02/26     12                  Thursday                           
1942/02/27     13                  Friday                             
1942/02/28     14                  Saturday                           
1942/03/01     15                  Sunday                             
1942/03/02     16                  Monday                             
1942/03/03     17                  Tuesday                            
1942/03/04     18                  Wednesday                          
1942/03/05     19                  Thursday                           
1942/03/06     20                  Friday         Insects Waken       
1942/03/07     21                  Saturday                           
1942/03/08     22                  Sunday                             
1942/03/09     23                  Monday                             
1942/03/10     24                  Tuesday                            
1942/03/11     25                  Wednesday                          
1942/03/12     26                  Thursday                           
1942/03/13     27                  Friday                             
1942/03/14     28                  Saturday                           
1942/03/15     29                  Sunday                             
1942/03/16     30                  Monday                             
1942/03/17     2nd Lunar month     Tuesday                            
1942/03/18     2                   Wednesday                          
1942/03/19     3                   Thursday                           
1942/03/20     4                   Friday                             
1942/03/21     5                   Saturday       Vernal Equinox      
1942/03/22     6                   Sunday                             
1942/03/23     7                   Monday                             
1942/03/24     8                   Tuesday                            
1942/03/25     9                   Wednesday                          
1942/03/26     10                  Thursday                           
1942/03/27     11                  Friday                             
1942/03/28     12                  Saturday                           
1942/03/29     13                  Sunday                             
1942/03/30     14                  Monday                             
1942/03/31     15                  Tuesday                            
1942/04/01     16                  Wednesday                          
1942/04/02     17                  Thursday                           
1942/04/03     18                  Friday                             
1942/04/04     19                  Saturday                           
1942/04/05     20                  Sunday         Bright & Clear      
1942/04/06     21                  Monday                             
1942/04/07     22                  Tuesday                            
1942/04/08     23                  Wednesday                          
1942/04/09     24                  Thursday                           
1942/04/10     25                  Friday                             
1942/04/11     26                  Saturday                           
1942/04/12     27                  Sunday                             
1942/04/13     28                  Monday                             
1942/04/14     29                  Tuesday                            
1942/04/15     3rd Lunar month     Wednesday                          
1942/04/16     2                   Thursday                           
1942/04/17     3                   Friday                             
1942/04/18     4                   Saturday                           
1942/04/19     5                   Sunday                             
1942/04/20     6                   Monday                             
1942/04/21     7                   Tuesday        Corn Rain           
1942/04/22     8                   Wednesday                          
1942/04/23     9                   Thursday                           
1942/04/24     10                  Friday                             
1942/04/25     11                  Saturday                           
1942/04/26     12                  Sunday                             
1942/04/27     13                  Monday                             
1942/04/28     14                  Tuesday                            
1942/04/29     15                  Wednesday                          
1942/04/30     16                  Thursday                           
1942/05/01     17                  Friday                             
1942/05/02     18                  Saturday                           
1942/05/03     19                  Sunday                             
1942/05/04     20                  Monday                             
1942/05/05     21                  Tuesday                            
1942/05/06     22                  Wednesday      Summer Commences    
1942/05/07     23                  Thursday                           
1942/05/08     24                  Friday                             
1942/05/09     25                  Saturday                           
1942/05/10     26                  Sunday                             
1942/05/11     27                  Monday                             
1942/05/12     28                  Tuesday                            
1942/05/13     29                  Wednesday                          
1942/05/14     30                  Thursday                           
1942/05/15     4th Lunar month     Friday                             
