Gregorian-Lunar Calendar Conversion Table of 1947 (Ding-hai ¡V year of the Pig)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1947/01/01     10                  Wednesday                          
1947/01/02     11                  Thursday                           
1947/01/03     12                  Friday                             
1947/01/04     13                  Saturday                           
1947/01/05     14                  Sunday                             
1947/01/06     15                  Monday         Moderate Cold       
1947/01/07     16                  Tuesday                            
1947/01/08     17                  Wednesday                          
1947/01/09     18                  Thursday                           
1947/01/10     19                  Friday                             
1947/01/11     20                  Saturday                           
1947/01/12     21                  Sunday                             
1947/01/13     22                  Monday                             
1947/01/14     23                  Tuesday                            
1947/01/15     24                  Wednesday                          
1947/01/16     25                  Thursday                           
1947/01/17     26                  Friday                             
1947/01/18     27                  Saturday                           
1947/01/19     28                  Sunday                             
1947/01/20     29                  Monday                             
1947/01/21     30                  Tuesday        Severe Cold         
1947/01/22     1st Lunar month     Wednesday                          
1947/01/23     2                   Thursday                           
1947/01/24     3                   Friday                             
1947/01/25     4                   Saturday                           
1947/01/26     5                   Sunday                             
1947/01/27     6                   Monday                             
1947/01/28     7                   Tuesday                            
1947/01/29     8                   Wednesday                          
1947/01/30     9                   Thursday                           
1947/01/31     10                  Friday                             
1947/02/01     11                  Saturday                           
1947/02/02     12                  Sunday                             
1947/02/03     13                  Monday                             
1947/02/04     14                  Tuesday        Spring Commences    
1947/02/05     15                  Wednesday                          
1947/02/06     16                  Thursday                           
1947/02/07     17                  Friday                             
1947/02/08     18                  Saturday                           
1947/02/09     19                  Sunday                             
1947/02/10     20                  Monday                             
1947/02/11     21                  Tuesday                            
1947/02/12     22                  Wednesday                          
1947/02/13     23                  Thursday                           
1947/02/14     24                  Friday                             
1947/02/15     25                  Saturday                           
1947/02/16     26                  Sunday                             
1947/02/17     27                  Monday                             
1947/02/18     28                  Tuesday                            
1947/02/19     29                  Wednesday      Spring Showers      
1947/02/20     30                  Thursday                           
1947/02/21     2nd Lunar month     Friday                             
1947/02/22     2                   Saturday                           
1947/02/23     3                   Sunday                             
1947/02/24     4                   Monday                             
1947/02/25     5                   Tuesday                            
1947/02/26     6                   Wednesday                          
1947/02/27     7                   Thursday                           
1947/02/28     8                   Friday                             
1947/03/01     9                   Saturday                           
1947/03/02     10                  Sunday                             
1947/03/03     11                  Monday                             
1947/03/04     12                  Tuesday                            
1947/03/05     13                  Wednesday                          
1947/03/06     14                  Thursday       Insects Waken       
1947/03/07     15                  Friday                             
1947/03/08     16                  Saturday                           
1947/03/09     17                  Sunday                             
1947/03/10     18                  Monday                             
1947/03/11     19                  Tuesday                            
1947/03/12     20                  Wednesday                          
1947/03/13     21                  Thursday                           
1947/03/14     22                  Friday                             
1947/03/15     23                  Saturday                           
1947/03/16     24                  Sunday                             
1947/03/17     25                  Monday                             
1947/03/18     26                  Tuesday                            
1947/03/19     27                  Wednesday                          
1947/03/20     28                  Thursday                           
1947/03/21     29                  Friday         Vernal Equinox      
1947/03/22     30                  Saturday                           
1947/03/23     2nd Lunar month     Sunday                             
1947/03/24     2                   Monday                             
1947/03/25     3                   Tuesday                            
1947/03/26     4                   Wednesday                          
1947/03/27     5                   Thursday                           
1947/03/28     6                   Friday                             
1947/03/29     7                   Saturday                           
1947/03/30     8                   Sunday                             
1947/03/31     9                   Monday                             
1947/04/01     10                  Tuesday                            
1947/04/02     11                  Wednesday                          
1947/04/03     12                  Thursday                           
1947/04/04     13                  Friday                             
1947/04/05     14                  Saturday       Bright & Clear      
1947/04/06     15                  Sunday                             
1947/04/07     16                  Monday                             
1947/04/08     17                  Tuesday                            
1947/04/09     18                  Wednesday                          
1947/04/10     19                  Thursday                           
1947/04/11     20                  Friday                             
1947/04/12     21                  Saturday                           
1947/04/13     22                  Sunday                             
1947/04/14     23                  Monday                             
1947/04/15     24                  Tuesday                            
1947/04/16     25                  Wednesday                          
1947/04/17     26                  Thursday                           
1947/04/18     27                  Friday                             
1947/04/19     28                  Saturday                           
1947/04/20     29                  Sunday                             
1947/04/21     3rd Lunar month     Monday         Corn Rain           
1947/04/22     2                   Tuesday                            
1947/04/23     3                   Wednesday                          
1947/04/24     4                   Thursday                           
1947/04/25     5                   Friday                             
1947/04/26     6                   Saturday                           
1947/04/27     7                   Sunday                             
1947/04/28     8                   Monday                             
1947/04/29     9                   Tuesday                            
1947/04/30     10                  Wednesday                          
1947/05/01     11                  Thursday                           
1947/05/02     12                  Friday                             
1947/05/03     13                  Saturday                           
1947/05/04     14                  Sunday                             
