Gregorian-Lunar Calendar Conversion Table of 1948 (Wu-zi ¡V year of the Mouse)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1948/01/01     21                  Thursday                           
1948/01/02     22                  Friday                             
1948/01/03     23                  Saturday                           
1948/01/04     24                  Sunday                             
1948/01/05     25                  Monday                             
1948/01/06     26                  Tuesday        Moderate Cold       
1948/01/07     27                  Wednesday                          
1948/01/08     28                  Thursday                           
1948/01/09     29                  Friday                             
1948/01/10     30                  Saturday                           
1948/01/11     12th Lunar month    Sunday                             
1948/01/12     2                   Monday                             
1948/01/13     3                   Tuesday                            
1948/01/14     4                   Wednesday                          
1948/01/15     5                   Thursday                           
1948/01/16     6                   Friday                             
1948/01/17     7                   Saturday                           
1948/01/18     8                   Sunday                             
1948/01/19     9                   Monday                             
1948/01/20     10                  Tuesday                            
1948/01/21     11                  Wednesday      Severe Cold         
1948/01/22     12                  Thursday                           
1948/01/23     13                  Friday                             
1948/01/24     14                  Saturday                           
1948/01/25     15                  Sunday                             
1948/01/26     16                  Monday                             
1948/01/27     17                  Tuesday                            
1948/01/28     18                  Wednesday                          
1948/01/29     19                  Thursday                           
1948/01/30     20                  Friday                             
1948/01/31     21                  Saturday                           
1948/02/01     22                  Sunday                             
1948/02/02     23                  Monday                             
1948/02/03     24                  Tuesday                            
1948/02/04     25                  Wednesday                          
1948/02/05     26                  Thursday       Spring Commences    
1948/02/06     27                  Friday                             
1948/02/07     28                  Saturday                           
1948/02/08     29                  Sunday                             
1948/02/09     30                  Monday                             
1948/02/10     1st Lunar month     Tuesday                            
1948/02/11     2                   Wednesday                          
1948/02/12     3                   Thursday                           
1948/02/13     4                   Friday                             
1948/02/14     5                   Saturday                           
1948/02/15     6                   Sunday                             
1948/02/16     7                   Monday                             
1948/02/17     8                   Tuesday                            
1948/02/18     9                   Wednesday                          
1948/02/19     10                  Thursday                           
1948/02/20     11                  Friday         Spring Showers      
1948/02/21     12                  Saturday                           
1948/02/22     13                  Sunday                             
1948/02/23     14                  Monday                             
1948/02/24     15                  Tuesday                            
1948/02/25     16                  Wednesday                          
1948/02/26     17                  Thursday                           
1948/02/27     18                  Friday                             
1948/02/28     19                  Saturday                           
1948/02/29     20                  Sunday                             
1948/03/01     21                  Monday                             
1948/03/02     22                  Tuesday                            
1948/03/03     23                  Wednesday                          
1948/03/04     24                  Thursday                           
1948/03/05     25                  Friday         Insects Waken       
1948/03/06     26                  Saturday                           
1948/03/07     27                  Sunday                             
1948/03/08     28                  Monday                             
1948/03/09     29                  Tuesday                            
1948/03/10     30                  Wednesday                          
1948/03/11     2nd Lunar month     Thursday                           
1948/03/12     2                   Friday                             
1948/03/13     3                   Saturday                           
1948/03/14     4                   Sunday                             
1948/03/15     5                   Monday                             
1948/03/16     6                   Tuesday                            
1948/03/17     7                   Wednesday                          
1948/03/18     8                   Thursday                           
1948/03/19     9                   Friday                             
1948/03/20     10                  Saturday                           
1948/03/21     11                  Sunday         Vernal Equinox      
1948/03/22     12                  Monday                             
1948/03/23     13                  Tuesday                            
1948/03/24     14                  Wednesday                          
1948/03/25     15                  Thursday                           
1948/03/26     16                  Friday                             
1948/03/27     17                  Saturday                           
1948/03/28     18                  Sunday                             
1948/03/29     19                  Monday                             
1948/03/30     20                  Tuesday                            
1948/03/31     21                  Wednesday                          
1948/04/01     22                  Thursday                           
1948/04/02     23                  Friday                             
1948/04/03     24                  Saturday                           
1948/04/04     25                  Sunday                             
1948/04/05     26                  Monday         Bright & Clear      
1948/04/06     27                  Tuesday                            
1948/04/07     28                  Wednesday                          
1948/04/08     29                  Thursday                           
1948/04/09     3rd Lunar month     Friday                             
1948/04/10     2                   Saturday                           
1948/04/11     3                   Sunday                             
1948/04/12     4                   Monday                             
1948/04/13     5                   Tuesday                            
1948/04/14     6                   Wednesday                          
1948/04/15     7                   Thursday                           
1948/04/16     8                   Friday                             
1948/04/17     9                   Saturday                           
1948/04/18     10                  Sunday                             
1948/04/19     11                  Monday                             
1948/04/20     12                  Tuesday        Corn Rain           
1948/04/21     13                  Wednesday                          
1948/04/22     14                  Thursday                           
1948/04/23     15                  Friday                             
1948/04/24     16                  Saturday                           
1948/04/25     17                  Sunday                             
1948/04/26     18                  Monday                             
1948/04/27     19                  Tuesday                            
1948/04/28     20                  Wednesday                          
1948/04/29     21                  Thursday                           
1948/04/30     22                  Friday                             
1948/05/01     23                  Saturday                           
1948/05/02     24                  Sunday                             
1948/05/03     25                  Monday                             
1948/05/04     26                  Tuesday                            
1948/05/05     27                  Wednesday      Summer Commences    
1948/05/06     28                  Thursday                           
1948/05/07     29                  Friday                             
1948/05/08     30                  Saturday                           
1948/05/09     4th Lunar month     Sunday                             
1948/05/10     2                   Monday                             
1948/05/11     3                   Tuesday                            
1948/05/12     4                   Wednesday                          
1948/05/13     5                   Thursday                           
1948/05/14     6                   Friday                             
1948/05/15     7                   Saturday                           
1948/05/16     8                   Sunday                             
1948/05/17     9                   Monday                             
1948/05/18     10                  Tuesday                            
1948/05/19     11                  Wednesday                          
1948/05/20     12                  Thursday                           
1948/05/21     13                  Friday         Corn Forms          
1948/05/22     14                  Saturday                           
1948/05/23     15                  Sunday                             
1948/05/24     16                  Monday                             
1948/05/25     17                  Tuesday                            
1948/05/26     18                  Wednesday                          
1948/05/27     19                  Thursday                           
1948/05/28     20                  Friday                             
1948/05/29     21                  Saturday                           
1948/05/30     22                  Sunday                             
1948/05/31     23                  Monday                             
1948/06/01     24                  Tuesday                            
1948/06/02     25                  Wednesday                          
1948/06/03     26                  Thursday                           
1948/06/04     27                  Friday                             
1948/06/05     28                  Saturday                           
1948/06/06     29                  Sunday         Corn on Ear         
1948/06/07     5th Lunar month     Monday                             
1948/06/08     2                   Tuesday                            
1948/06/09     3                   Wednesday                          
1948/06/10     4                   Thursday                           
1948/06/11     5                   Friday                             
1948/06/12     6                   Saturday                           
1948/06/13     7                   Sunday                             
1948/06/14     8                   Monday                             
1948/06/15     9                   Tuesday                            
1948/06/16     10                  Wednesday                          
1948/06/17     11                  Thursday                           
1948/06/18     12                  Friday                             
1948/06/19     13                  Saturday                           
1948/06/20     14                  Sunday                             
1948/06/21     15                  Monday         Summer Solstice     
1948/06/22     16                  Tuesday                            
1948/06/23     17                  Wednesday                          
1948/06/24     18                  Thursday                           
1948/06/25     19                  Friday                             
1948/06/26     20                  Saturday                           
1948/06/27     21                  Sunday                             
1948/06/28     22                  Monday                             
1948/06/29     23                  Tuesday                            
1948/06/30     24                  Wednesday                          
1948/07/01     25                  Thursday                           
1948/07/02     26                  Friday                             
1948/07/03     27                  Saturday                           
1948/07/04     28                  Sunday                             
1948/07/05     29                  Monday                             
1948/07/06     30                  Tuesday                            
1948/07/07     6th Lunar month     Wednesday      Moderate Heat       
1948/07/08     2                   Thursday                           
1948/07/09     3                   Friday                             
1948/07/10     4                   Saturday                           
1948/07/11     5                   Sunday                             
1948/07/12     6                   Monday                             
1948/07/13     7                   Tuesday                            
1948/07/14     8                   Wednesday                          
1948/07/15     9                   Thursday                           
1948/07/16     10                  Friday                             
1948/07/17     11                  Saturday                           
1948/07/18     12                  Sunday                             
1948/07/19     13                  Monday                             
1948/07/20     14                  Tuesday                            
