Gregorian-Lunar Calendar Conversion Table of 1952 (Ren-chen ¡V year of the Dragon)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1952/01/01     5                   Tuesday                            
1952/01/02     6                   Wednesday                          
1952/01/03     7                   Thursday                           
1952/01/04     8                   Friday                             
1952/01/05     9                   Saturday                           
1952/01/06     10                  Sunday         Moderate Cold       
1952/01/07     11                  Monday                             
1952/01/08     12                  Tuesday                            
1952/01/09     13                  Wednesday                          
1952/01/10     14                  Thursday                           
1952/01/11     15                  Friday                             
1952/01/12     16                  Saturday                           
1952/01/13     17                  Sunday                             
1952/01/14     18                  Monday                             
1952/01/15     19                  Tuesday                            
1952/01/16     20                  Wednesday                          
1952/01/17     21                  Thursday                           
1952/01/18     22                  Friday                             
1952/01/19     23                  Saturday                           
1952/01/20     24                  Sunday                             
1952/01/21     25                  Monday         Severe Cold         
1952/01/22     26                  Tuesday                            
1952/01/23     27                  Wednesday                          
1952/01/24     28                  Thursday                           
1952/01/25     29                  Friday                             
1952/01/26     30                  Saturday                           
1952/01/27     1st Lunar month     Sunday                             
1952/01/28     2                   Monday                             
1952/01/29     3                   Tuesday                            
1952/01/30     4                   Wednesday                          
1952/01/31     5                   Thursday                           
1952/02/01     6                   Friday                             
1952/02/02     7                   Saturday                           
1952/02/03     8                   Sunday                             
1952/02/04     9                   Monday                             
1952/02/05     10                  Tuesday        Spring Commences    
1952/02/06     11                  Wednesday                          
1952/02/07     12                  Thursday                           
1952/02/08     13                  Friday                             
1952/02/09     14                  Saturday                           
1952/02/10     15                  Sunday                             
1952/02/11     16                  Monday                             
1952/02/12     17                  Tuesday                            
1952/02/13     18                  Wednesday                          
1952/02/14     19                  Thursday                           
1952/02/15     20                  Friday                             
1952/02/16     21                  Saturday                           
1952/02/17     22                  Sunday                             
1952/02/18     23                  Monday                             
1952/02/19     24                  Tuesday                            
1952/02/20     25                  Wednesday      Spring Showers      
1952/02/21     26                  Thursday                           
1952/02/22     27                  Friday                             
1952/02/23     28                  Saturday                           
1952/02/24     29                  Sunday                             
1952/02/25     2nd Lunar month     Monday                             
1952/02/26     2                   Tuesday                            
1952/02/27     3                   Wednesday                          
1952/02/28     4                   Thursday                           
1952/02/29     5                   Friday                             
1952/03/01     6                   Saturday                           
1952/03/02     7                   Sunday                             
1952/03/03     8                   Monday                             
1952/03/04     9                   Tuesday                            
1952/03/05     10                  Wednesday      Insects Waken       
