Gregorian-Lunar Calendar Conversion Table of 1954 (Jia-wu ¡V year of the Horse)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1954/01/01     27                  Friday                             
1954/01/02     28                  Saturday                           
1954/01/03     29                  Sunday                             
1954/01/04     30                  Monday                             
1954/01/05     12th Lunar month    Tuesday                            
1954/01/06     2                   Wednesday      Moderate Cold       
1954/01/07     3                   Thursday                           
1954/01/08     4                   Friday                             
1954/01/09     5                   Saturday                           
1954/01/10     6                   Sunday                             
1954/01/11     7                   Monday                             
1954/01/12     8                   Tuesday                            
1954/01/13     9                   Wednesday                          
1954/01/14     10                  Thursday                           
1954/01/15     11                  Friday                             
1954/01/16     12                  Saturday                           
1954/01/17     13                  Sunday                             
1954/01/18     14                  Monday                             
1954/01/19     15                  Tuesday                            
1954/01/20     16                  Wednesday      Severe Cold         
1954/01/21     17                  Thursday                           
1954/01/22     18                  Friday                             
1954/01/23     19                  Saturday                           
1954/01/24     20                  Sunday                             
1954/01/25     21                  Monday                             
1954/01/26     22                  Tuesday                            
1954/01/27     23                  Wednesday                          
1954/01/28     24                  Thursday                           
1954/01/29     25                  Friday                             
1954/01/30     26                  Saturday                           
1954/01/31     27                  Sunday                             
1954/02/01     28                  Monday                             
1954/02/02     29                  Tuesday                            
1954/02/03     1st Lunar month     Wednesday                          
1954/02/04     2                   Thursday       Spring Commences    
1954/02/05     3                   Friday                             
1954/02/06     4                   Saturday                           
1954/02/07     5                   Sunday                             
1954/02/08     6                   Monday                             
1954/02/09     7                   Tuesday                            
1954/02/10     8                   Wednesday                          
1954/02/11     9                   Thursday                           
1954/02/12     10                  Friday                             
1954/02/13     11                  Saturday                           
1954/02/14     12                  Sunday                             
1954/02/15     13                  Monday                             
1954/02/16     14                  Tuesday                            
1954/02/17     15                  Wednesday                          
1954/02/18     16                  Thursday                           
1954/02/19     17                  Friday         Spring Showers      
1954/02/20     18                  Saturday                           
1954/02/21     19                  Sunday                             
1954/02/22     20                  Monday                             
1954/02/23     21                  Tuesday                            
1954/02/24     22                  Wednesday                          
1954/02/25     23                  Thursday                           
1954/02/26     24                  Friday                             
1954/02/27     25                  Saturday                           
1954/02/28     26                  Sunday                             
1954/03/01     27                  Monday                             
1954/03/02     28                  Tuesday                            
1954/03/03     29                  Wednesday                          
1954/03/04     30                  Thursday                           
1954/03/05     2nd Lunar month     Friday                             
1954/03/06     2                   Saturday       Insects Waken       
1954/03/07     3                   Sunday                             
1954/03/08     4                   Monday                             
1954/03/09     5                   Tuesday                            
1954/03/10     6                   Wednesday                          
1954/03/11     7                   Thursday                           
1954/03/12     8                   Friday                             
1954/03/13     9                   Saturday                           
1954/03/14     10                  Sunday                             
1954/03/15     11                  Monday                             
1954/03/16     12                  Tuesday                            
1954/03/17     13                  Wednesday                          
1954/03/18     14                  Thursday                           
1954/03/19     15                  Friday                             
1954/03/20     16                  Saturday                           
1954/03/21     17                  Sunday         Vernal Equinox      
1954/03/22     18                  Monday                             
1954/03/23     19                  Tuesday                            
1954/03/24     20                  Wednesday                          
1954/03/25     21                  Thursday                           
1954/03/26     22                  Friday                             
1954/03/27     23                  Saturday                           
