Gregorian-Lunar Calendar Conversion Table of 1955 (Yi-wei ¡V year of the Goat)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1955/01/01     8                   Saturday                           
1955/01/02     9                   Sunday                             
1955/01/03     10                  Monday                             
1955/01/04     11                  Tuesday                            
1955/01/05     12                  Wednesday                          
1955/01/06     13                  Thursday       Moderate Cold       
1955/01/07     14                  Friday                             
1955/01/08     15                  Saturday                           
1955/01/09     16                  Sunday                             
1955/01/10     17                  Monday                             
1955/01/11     18                  Tuesday                            
1955/01/12     19                  Wednesday                          
1955/01/13     20                  Thursday                           
1955/01/14     21                  Friday                             
1955/01/15     22                  Saturday                           
1955/01/16     23                  Sunday                             
1955/01/17     24                  Monday                             
1955/01/18     25                  Tuesday                            
1955/01/19     26                  Wednesday                          
1955/01/20     27                  Thursday                           
1955/01/21     28                  Friday         Severe Cold         
1955/01/22     29                  Saturday                           
1955/01/23     30                  Sunday                             
1955/01/24     1st Lunar month     Monday                             
1955/01/25     2                   Tuesday                            
1955/01/26     3                   Wednesday                          
1955/01/27     4                   Thursday                           
1955/01/28     5                   Friday                             
1955/01/29     6                   Saturday                           
1955/01/30     7                   Sunday                             
1955/01/31     8                   Monday                             
1955/02/01     9                   Tuesday                            
1955/02/02     10                  Wednesday                          
1955/02/03     11                  Thursday                           
1955/02/04     12                  Friday         Spring Commences    
1955/02/05     13                  Saturday                           
1955/02/06     14                  Sunday                             
1955/02/07     15                  Monday                             
1955/02/08     16                  Tuesday                            
1955/02/09     17                  Wednesday                          
1955/02/10     18                  Thursday                           
1955/02/11     19                  Friday                             
1955/02/12     20                  Saturday                           
1955/02/13     21                  Sunday                             
1955/02/14     22                  Monday                             
1955/02/15     23                  Tuesday                            
1955/02/16     24                  Wednesday                          
1955/02/17     25                  Thursday                           
1955/02/18     26                  Friday                             
1955/02/19     27                  Saturday       Spring Showers      
1955/02/20     28                  Sunday                             
1955/02/21     29                  Monday                             
1955/02/22     2nd Lunar month     Tuesday                            
1955/02/23     2                   Wednesday                          
1955/02/24     3                   Thursday                           
1955/02/25     4                   Friday                             
1955/02/26     5                   Saturday                           
1955/02/27     6                   Sunday                             
1955/02/28     7                   Monday                             
1955/03/01     8                   Tuesday                            
1955/03/02     9                   Wednesday                          
1955/03/03     10                  Thursday                           
1955/03/04     11                  Friday                             
1955/03/05     12                  Saturday                           
1955/03/06     13                  Sunday         Insects Waken       
1955/03/07     14                  Monday                             
1955/03/08     15                  Tuesday                            
1955/03/09     16                  Wednesday                          
1955/03/10     17                  Thursday                           
1955/03/11     18                  Friday                             
1955/03/12     19                  Saturday                           
1955/03/13     20                  Sunday                             
1955/03/14     21                  Monday                             
1955/03/15     22                  Tuesday                            
1955/03/16     23                  Wednesday                          
1955/03/17     24                  Thursday                           
1955/03/18     25                  Friday                             
1955/03/19     26                  Saturday                           
1955/03/20     27                  Sunday                             
1955/03/21     28                  Monday         Vernal Equinox      
1955/03/22     29                  Tuesday                            
1955/03/23     30                  Wednesday                          
1955/03/24     3rd Lunar month     Thursday                           
1955/03/25     2                   Friday                             
1955/03/26     3                   Saturday                           
1955/03/27     4                   Sunday                             
1955/03/28     5                   Monday                             
1955/03/29     6                   Tuesday                            
1955/03/30     7                   Wednesday                          
1955/03/31     8                   Thursday                           
1955/04/01     9                   Friday                             
1955/04/02     10                  Saturday                           
1955/04/03     11                  Sunday                             
1955/04/04     12                  Monday                             
1955/04/05     13                  Tuesday        Bright & Clear      
1955/04/06     14                  Wednesday                          
1955/04/07     15                  Thursday                           
1955/04/08     16                  Friday                             
1955/04/09     17                  Saturday                           
1955/04/10     18                  Sunday                             
1955/04/11     19                  Monday                             
1955/04/12     20                  Tuesday                            
1955/04/13     21                  Wednesday                          
1955/04/14     22                  Thursday                           
1955/04/15     23                  Friday                             
1955/04/16     24                  Saturday                           
1955/04/17     25                  Sunday                             
1955/04/18     26                  Monday                             
1955/04/19     27                  Tuesday                            
1955/04/20     28                  Wednesday                          
1955/04/21     29                  Thursday       Corn Rain           
1955/04/22     3rd Lunar month     Friday                             
1955/04/23     2                   Saturday                           
