Gregorian-Lunar Calendar Conversion Table of 1956 (Bing-shen ¡V year of the Monkey)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1956/01/01     19                  Sunday                             
1956/01/02     20                  Monday                             
1956/01/03     21                  Tuesday                            
1956/01/04     22                  Wednesday                          
1956/01/05     23                  Thursday                           
1956/01/06     24                  Friday         Moderate Cold       
1956/01/07     25                  Saturday                           
1956/01/08     26                  Sunday                             
1956/01/09     27                  Monday                             
1956/01/10     28                  Tuesday                            
1956/01/11     29                  Wednesday                          
1956/01/12     30                  Thursday                           
1956/01/13     12th Lunar month    Friday                             
1956/01/14     2                   Saturday                           
1956/01/15     3                   Sunday                             
1956/01/16     4                   Monday                             
1956/01/17     5                   Tuesday                            
1956/01/18     6                   Wednesday                          
1956/01/19     7                   Thursday                           
1956/01/20     8                   Friday                             
1956/01/21     9                   Saturday       Severe Cold         
1956/01/22     10                  Sunday                             
1956/01/23     11                  Monday                             
1956/01/24     12                  Tuesday                            
1956/01/25     13                  Wednesday                          
1956/01/26     14                  Thursday                           
1956/01/27     15                  Friday                             
1956/01/28     16                  Saturday                           
1956/01/29     17                  Sunday                             
1956/01/30     18                  Monday                             
1956/01/31     19                  Tuesday                            
1956/02/01     20                  Wednesday                          
1956/02/02     21                  Thursday                           
1956/02/03     22                  Friday                             
1956/02/04     23                  Saturday                           
1956/02/05     24                  Sunday         Spring Commences    
1956/02/06     25                  Monday                             
1956/02/07     26                  Tuesday                            
1956/02/08     27                  Wednesday                          
1956/02/09     28                  Thursday                           
1956/02/10     29                  Friday                             
1956/02/11     30                  Saturday                           
1956/02/12     1st Lunar month     Sunday                             
1956/02/13     2                   Monday                             
1956/02/14     3                   Tuesday                            
1956/02/15     4                   Wednesday                          
1956/02/16     5                   Thursday                           
1956/02/17     6                   Friday                             
1956/02/18     7                   Saturday                           
1956/02/19     8                   Sunday                             
1956/02/20     9                   Monday         Spring Showers      
1956/02/21     10                  Tuesday                            
1956/02/22     11                  Wednesday                          
1956/02/23     12                  Thursday                           
1956/02/24     13                  Friday                             
1956/02/25     14                  Saturday                           
1956/02/26     15                  Sunday                             
1956/02/27     16                  Monday                             
1956/02/28     17                  Tuesday                            
1956/02/29     18                  Wednesday                          
1956/03/01     19                  Thursday                           
1956/03/02     20                  Friday                             
