Gregorian-Lunar Calendar Conversion Table of 1957 (Ding-you ¡V year of the Rooster)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1957/01/01     12th Lunar month    Tuesday                            
1957/01/02     2                   Wednesday                          
1957/01/03     3                   Thursday                           
1957/01/04     4                   Friday                             
1957/01/05     5                   Saturday       Moderate Cold       
1957/01/06     6                   Sunday                             
1957/01/07     7                   Monday                             
1957/01/08     8                   Tuesday                            
1957/01/09     9                   Wednesday                          
1957/01/10     10                  Thursday                           
1957/01/11     11                  Friday                             
1957/01/12     12                  Saturday                           
1957/01/13     13                  Sunday                             
1957/01/14     14                  Monday                             
1957/01/15     15                  Tuesday                            
1957/01/16     16                  Wednesday                          
1957/01/17     17                  Thursday                           
1957/01/18     18                  Friday                             
1957/01/19     19                  Saturday                           
1957/01/20     20                  Sunday         Severe Cold         
1957/01/21     21                  Monday                             
1957/01/22     22                  Tuesday                            
1957/01/23     23                  Wednesday                          
1957/01/24     24                  Thursday                           
1957/01/25     25                  Friday                             
1957/01/26     26                  Saturday                           
1957/01/27     27                  Sunday                             
1957/01/28     28                  Monday                             
1957/01/29     29                  Tuesday                            
1957/01/30     30                  Wednesday                          
1957/01/31     1st Lunar month     Thursday                           
1957/02/01     2                   Friday                             
1957/02/02     3                   Saturday                           
1957/02/03     4                   Sunday                             
1957/02/04     5                   Monday         Spring Commences    
1957/02/05     6                   Tuesday                            
1957/02/06     7                   Wednesday                          
1957/02/07     8                   Thursday                           
1957/02/08     9                   Friday                             
1957/02/09     10                  Saturday                           
1957/02/10     11                  Sunday                             
1957/02/11     12                  Monday                             
1957/02/12     13                  Tuesday                            
1957/02/13     14                  Wednesday                          
1957/02/14     15                  Thursday                           
1957/02/15     16                  Friday                             
1957/02/16     17                  Saturday                           
1957/02/17     18                  Sunday                             
1957/02/18     19                  Monday                             
1957/02/19     20                  Tuesday        Spring Showers      
1957/02/20     21                  Wednesday                          
1957/02/21     22                  Thursday                           
1957/02/22     23                  Friday                             
1957/02/23     24                  Saturday                           
1957/02/24     25                  Sunday                             
1957/02/25     26                  Monday                             
1957/02/26     27                  Tuesday                            
1957/02/27     28                  Wednesday                          
1957/02/28     29                  Thursday                           
1957/03/01     30                  Friday                             
1957/03/02     2nd Lunar month     Saturday                           
1957/03/03     2                   Sunday                             
1957/03/04     3                   Monday                             
1957/03/05     4                   Tuesday                            
1957/03/06     5                   Wednesday      Insects Waken       
1957/03/07     6                   Thursday                           
1957/03/08     7                   Friday                             
1957/03/09     8                   Saturday                           
1957/03/10     9                   Sunday                             
1957/03/11     10                  Monday                             
1957/03/12     11                  Tuesday                            
1957/03/13     12                  Wednesday                          
1957/03/14     13                  Thursday                           
1957/03/15     14                  Friday                             
1957/03/16     15                  Saturday                           
1957/03/17     16                  Sunday                             
1957/03/18     17                  Monday                             
1957/03/19     18                  Tuesday                            
1957/03/20     19                  Wednesday                          
1957/03/21     20                  Thursday       Vernal Equinox      
1957/03/22     21                  Friday                             
1957/03/23     22                  Saturday                           
1957/03/24     23                  Sunday                             
1957/03/25     24                  Monday                             
1957/03/26     25                  Tuesday                            
1957/03/27     26                  Wednesday                          
1957/03/28     27                  Thursday                           
1957/03/29     28                  Friday                             
1957/03/30     29                  Saturday                           
1957/03/31     3rd Lunar month     Sunday                             
1957/04/01     2                   Monday                             
1957/04/02     3                   Tuesday                            
1957/04/03     4                   Wednesday                          
1957/04/04     5                   Thursday                           
1957/04/05     6                   Friday         Bright & Clear      
1957/04/06     7                   Saturday                           
1957/04/07     8                   Sunday                             
1957/04/08     9                   Monday                             
1957/04/09     10                  Tuesday                            
1957/04/10     11                  Wednesday                          
1957/04/11     12                  Thursday                           
1957/04/12     13                  Friday                             
1957/04/13     14                  Saturday                           
1957/04/14     15                  Sunday                             
1957/04/15     16                  Monday                             
1957/04/16     17                  Tuesday                            
1957/04/17     18                  Wednesday                          
1957/04/18     19                  Thursday                           
1957/04/19     20                  Friday                             
1957/04/20     21                  Saturday       Corn Rain           
1957/04/21     22                  Sunday                             
1957/04/22     23                  Monday                             
1957/04/23     24                  Tuesday                            
