Gregorian-Lunar Calendar Conversion Table of 1972 (Ren-zi ¡V year of the Mouse)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1972/01/01     15                  Saturday                           
1972/01/02     16                  Sunday                             
1972/01/03     17                  Monday                             
1972/01/04     18                  Tuesday                            
1972/01/05     19                  Wednesday                          
1972/01/06     20                  Thursday       Moderate Cold       
1972/01/07     21                  Friday                             
1972/01/08     22                  Saturday                           
1972/01/09     23                  Sunday                             
1972/01/10     24                  Monday                             
1972/01/11     25                  Tuesday                            
1972/01/12     26                  Wednesday                          
1972/01/13     27                  Thursday                           
1972/01/14     28                  Friday                             
1972/01/15     29                  Saturday                           
1972/01/16     12th Lunar month    Sunday                             
1972/01/17     2                   Monday                             
1972/01/18     3                   Tuesday                            
1972/01/19     4                   Wednesday                          
1972/01/20     5                   Thursday                           
1972/01/21     6                   Friday         Severe Cold         
1972/01/22     7                   Saturday                           
1972/01/23     8                   Sunday                             
1972/01/24     9                   Monday                             
1972/01/25     10                  Tuesday                            
1972/01/26     11                  Wednesday                          
1972/01/27     12                  Thursday                           
1972/01/28     13                  Friday                             
1972/01/29     14                  Saturday                           
1972/01/30     15                  Sunday                             
1972/01/31     16                  Monday                             
1972/02/01     17                  Tuesday                            
1972/02/02     18                  Wednesday                          
1972/02/03     19                  Thursday                           
1972/02/04     20                  Friday                             
1972/02/05     21                  Saturday       Spring Commences    
1972/02/06     22                  Sunday                             
1972/02/07     23                  Monday                             
1972/02/08     24                  Tuesday                            
1972/02/09     25                  Wednesday                          
1972/02/10     26                  Thursday                           
1972/02/11     27                  Friday                             
1972/02/12     28                  Saturday                           
1972/02/13     29                  Sunday                             
1972/02/14     30                  Monday                             
1972/02/15     1st Lunar month     Tuesday                            
1972/02/16     2                   Wednesday                          
1972/02/17     3                   Thursday                           
1972/02/18     4                   Friday                             
1972/02/19     5                   Saturday       Spring Showers      
1972/02/20     6                   Sunday                             
1972/02/21     7                   Monday                             
1972/02/22     8                   Tuesday                            
1972/02/23     9                   Wednesday                          
1972/02/24     10                  Thursday                           
1972/02/25     11                  Friday                             
1972/02/26     12                  Saturday                           
1972/02/27     13                  Sunday                             
1972/02/28     14                  Monday                             
1972/02/29     15                  Tuesday                            
1972/03/01     16                  Wednesday                          
1972/03/02     17                  Thursday                           
1972/03/03     18                  Friday                             
1972/03/04     19                  Saturday                           
1972/03/05     20                  Sunday         Insects Waken       
1972/03/06     21                  Monday                             
1972/03/07     22                  Tuesday                            
1972/03/08     23                  Wednesday                          
1972/03/09     24                  Thursday                           
1972/03/10     25                  Friday                             
1972/03/11     26                  Saturday                           
1972/03/12     27                  Sunday                             
1972/03/13     28                  Monday                             
1972/03/14     29                  Tuesday                            
1972/03/15     2nd Lunar month     Wednesday                          
1972/03/16     2                   Thursday                           
1972/03/17     3                   Friday                             
1972/03/18     4                   Saturday                           
1972/03/19     5                   Sunday                             
1972/03/20     6                   Monday         Vernal Equinox      
1972/03/21     7                   Tuesday                            
1972/03/22     8                   Wednesday                          
1972/03/23     9                   Thursday                           
1972/03/24     10                  Friday                             
1972/03/25     11                  Saturday                           
1972/03/26     12                  Sunday                             
1972/03/27     13                  Monday                             
1972/03/28     14                  Tuesday                            
1972/03/29     15                  Wednesday                          
1972/03/30     16                  Thursday                           
1972/03/31     17                  Friday                             
1972/04/01     18                  Saturday                           
1972/04/02     19                  Sunday                             
1972/04/03     20                  Monday                             
1972/04/04     21                  Tuesday                            
1972/04/05     22                  Wednesday      Bright & Clear      
1972/04/06     23                  Thursday                           
1972/04/07     24                  Friday                             
1972/04/08     25                  Saturday                           
1972/04/09     26                  Sunday                             
1972/04/10     27                  Monday                             
1972/04/11     28                  Tuesday                            
1972/04/12     29                  Wednesday                          
1972/04/13     30                  Thursday                           
1972/04/14     3rd Lunar month     Friday                             
1972/04/15     2                   Saturday                           
1972/04/16     3                   Sunday                             
1972/04/17     4                   Monday                             
1972/04/18     5                   Tuesday                            
1972/04/19     6                   Wednesday                          
