Gregorian-Lunar Calendar Conversion Table of 1974 (Jia-yin ¡V year of the Tiger)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1974/01/01     9                   Tuesday                            
1974/01/02     10                  Wednesday                          
1974/01/03     11                  Thursday                           
1974/01/04     12                  Friday                             
1974/01/05     13                  Saturday                           
1974/01/06     14                  Sunday         Moderate Cold       
1974/01/07     15                  Monday                             
1974/01/08     16                  Tuesday                            
1974/01/09     17                  Wednesday                          
1974/01/10     18                  Thursday                           
1974/01/11     19                  Friday                             
1974/01/12     20                  Saturday                           
1974/01/13     21                  Sunday                             
1974/01/14     22                  Monday                             
1974/01/15     23                  Tuesday                            
1974/01/16     24                  Wednesday                          
1974/01/17     25                  Thursday                           
1974/01/18     26                  Friday                             
1974/01/19     27                  Saturday                           
1974/01/20     28                  Sunday         Severe Cold         
1974/01/21     29                  Monday                             
1974/01/22     30                  Tuesday                            
1974/01/23     1st Lunar month     Wednesday                          
1974/01/24     2                   Thursday                           
1974/01/25     3                   Friday                             
1974/01/26     4                   Saturday                           
1974/01/27     5                   Sunday                             
1974/01/28     6                   Monday                             
1974/01/29     7                   Tuesday                            
1974/01/30     8                   Wednesday                          
1974/01/31     9                   Thursday                           
1974/02/01     10                  Friday                             
1974/02/02     11                  Saturday                           
1974/02/03     12                  Sunday                             
1974/02/04     13                  Monday         Spring Commences    
1974/02/05     14                  Tuesday                            
1974/02/06     15                  Wednesday                          
1974/02/07     16                  Thursday                           
1974/02/08     17                  Friday                             
1974/02/09     18                  Saturday                           
1974/02/10     19                  Sunday                             
1974/02/11     20                  Monday                             
1974/02/12     21                  Tuesday                            
1974/02/13     22                  Wednesday                          
1974/02/14     23                  Thursday                           
1974/02/15     24                  Friday                             
1974/02/16     25                  Saturday                           
1974/02/17     26                  Sunday                             
1974/02/18     27                  Monday                             
1974/02/19     28                  Tuesday        Spring Showers      
1974/02/20     29                  Wednesday                          
1974/02/21     30                  Thursday                           
1974/02/22     2nd Lunar month     Friday                             
1974/02/23     2                   Saturday                      
1974/02/24     3                   Sunday                             
1974/02/25     4                   Monday                             
1974/02/26     5                   Tuesday                            
1974/02/27     6                   Wednesday                          
1974/02/28     7                   Thursday                           
1974/03/01     8                   Friday                             
1974/03/02     9                   Saturday                           
1974/03/03     10                  Sunday                             
1974/03/04     11                  Monday                             
1974/03/05     12                  Tuesday                            
1974/03/06     13                  Wednesday      Insects Waken       
1974/03/07     14                  Thursday                           
1974/03/08     15                  Friday                             
1974/03/09     16                  Saturday                           
1974/03/10     17                  Sunday                             
1974/03/11     18                  Monday                             
1974/03/12     19                  Tuesday                            
1974/03/13     20                  Wednesday                          
1974/03/14     21                  Thursday                           
1974/03/15     22                  Friday                             
1974/03/16     23                  Saturday                           
1974/03/17     24                  Sunday                             
1974/03/18     25                  Monday                             
1974/03/19     26                  Tuesday                            
1974/03/20     27                  Wednesday                          
1974/03/21     28                  Thursday       Vernal Equinox      
1974/03/22     29                  Friday                             
1974/03/23     30                  Saturday                           
1974/03/24     3rd Lunar month     Sunday                             
1974/03/25     2                   Monday                             
1974/03/26     3                   Tuesday                            
1974/03/27     4                   Wednesday                          
1974/03/28     5                   Thursday                           
1974/03/29     6                   Friday                             
1974/03/30     7                   Saturday                           
1974/03/31     8                   Sunday                             
1974/04/01     9                   Monday                             
1974/04/02     10                  Tuesday                            
1974/04/03     11                  Wednesday                          
1974/04/04     12                  Thursday                           
1974/04/05     13                  Friday         Bright & Clear      
1974/04/06     14                  Saturday                           
1974/04/07     15                  Sunday                             
1974/04/08     16                  Monday                             
1974/04/09     17                  Tuesday                            
1974/04/10     18                  Wednesday                          
1974/04/11     19                  Thursday                           
1974/04/12     20                  Friday                             
1974/04/13     21                  Saturday                           
1974/04/14     22                  Sunday                             
1974/04/15     23                  Monday                             
1974/04/16     24                  Tuesday                            
1974/04/17     25                  Wednesday                          
1974/04/18     26                  Thursday                           
1974/04/19     27                  Friday                             
1974/04/20     28                  Saturday       Corn Rain           
1974/04/21     29                  Sunday                             
1974/04/22     4th Lunar month     Monday                             
1974/04/23     2                   Tuesday                            
1974/04/24     3                   Wednesday                          
1974/04/25     4                   Thursday                           
1974/04/26     5                   Friday                             
1974/04/27     6                   Saturday                           
1974/04/28     7                   Sunday                             
1974/04/29     8                   Monday                             
1974/04/30     9                   Tuesday                            
1974/05/01     10                  Wednesday                          
1974/05/02     11                  Thursday                           
1974/05/03     12                  Friday                             
1974/05/04     13                  Saturday                           
1974/05/05     14                  Sunday                             
1974/05/06     15                  Monday         Summer Commences    
1974/05/07     16                  Tuesday                            
1974/05/08     17                  Wednesday                          
1974/05/09     18                  Thursday                           
1974/05/10     19                  Friday                             
1974/05/11     20                  Saturday                           
1974/05/12     21                  Sunday                             
1974/05/13     22                  Monday                             
1974/05/14     23                  Tuesday                            
1974/05/15     24                  Wednesday                          
1974/05/16     25                  Thursday                           
1974/05/17     26                  Friday                             
1974/05/18     27                  Saturday                           
1974/05/19     28                  Sunday                             
1974/05/20     29                  Monday                             
1974/05/21     30                  Tuesday        Corn Forms          
1974/05/22     4th Lunar month     Wednesday                          
