Gregorian-Lunar Calendar Conversion Table of 1975 (Yi-mao ¡V year of the Rabbit)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1975/01/01     19                  Wednesday                          
1975/01/02     20                  Thursday                           
1975/01/03     21                  Friday                             
1975/01/04     22                  Saturday                           
1975/01/05     23                  Sunday                             
1975/01/06     24                  Monday         Moderate Cold       
1975/01/07     25                  Tuesday                            
1975/01/08     26                  Wednesday                          
1975/01/09     27                  Thursday                           
1975/01/10     28                  Friday                             
1975/01/11     29                  Saturday                           
1975/01/12     12th Lunar month    Sunday                             
1975/01/13     2                   Monday                             
1975/01/14     3                   Tuesday                            
1975/01/15     4                   Wednesday                          
1975/01/16     5                   Thursday                           
1975/01/17     6                   Friday                             
1975/01/18     7                   Saturday                           
1975/01/19     8                   Sunday                             
1975/01/20     9                   Monday                             
1975/01/21     10                  Tuesday        Severe Cold         
1975/01/22     11                  Wednesday                          
1975/01/23     12                  Thursday                           
1975/01/24     13                  Friday                             
1975/01/25     14                  Saturday                           
1975/01/26     15                  Sunday                             
1975/01/27     16                  Monday                             
1975/01/28     17                  Tuesday                            
1975/01/29     18                  Wednesday                          
1975/01/30     19                  Thursday                           
1975/01/31     20                  Friday                             
1975/02/01     21                  Saturday                           
1975/02/02     22                  Sunday                             
1975/02/03     23                  Monday                             
1975/02/04     24                  Tuesday        Spring Commences    
1975/02/05     25                  Wednesday                          
1975/02/06     26                  Thursday                           
1975/02/07     27                  Friday                             
1975/02/08     28                  Saturday                           
1975/02/09     29                  Sunday                             
1975/02/10     30                  Monday                             
1975/02/11     1st Lunar month     Tuesday                            
1975/02/12     2                   Wednesday                          
1975/02/13     3                   Thursday                           
1975/02/14     4                   Friday                             
1975/02/15     5                   Saturday                           
1975/02/16     6                   Sunday                             
1975/02/17     7                   Monday                             
1975/02/18     8                   Tuesday                            
1975/02/19     9                   Wednesday      Spring Showers      
1975/02/20     10                  Thursday                           
1975/02/21     11                  Friday                             
1975/02/22     12                  Saturday                           
1975/02/23     13                  Sunday                        
1975/02/24     14                  Monday                             
1975/02/25     15                  Tuesday                            
1975/02/26     16                  Wednesday                          
1975/02/27     17                  Thursday                           
1975/02/28     18                  Friday                             
1975/03/01     19                  Saturday                           
1975/03/02     20                  Sunday                             
1975/03/03     21                  Monday                             
1975/03/04     22                  Tuesday                            
1975/03/05     23                  Wednesday                          
1975/03/06     24                  Thursday       Insects Waken       
1975/03/07     25                  Friday                             
1975/03/08     26                  Saturday                           
1975/03/09     27                  Sunday                             
1975/03/10     28                  Monday                             
1975/03/11     29                  Tuesday                            
1975/03/12     30                  Wednesday                          
1975/03/13     2nd Lunar month     Thursday                           
1975/03/14     2                   Friday                             
1975/03/15     3                   Saturday                           
1975/03/16     4                   Sunday                             
1975/03/17     5                   Monday                             
1975/03/18     6                   Tuesday                            
1975/03/19     7                   Wednesday                          
1975/03/20     8                   Thursday                           
1975/03/21     9                   Friday         Vernal Equinox      
1975/03/22     10                  Saturday                           
1975/03/23     11                  Sunday                             
1975/03/24     12                  Monday                             
1975/03/25     13                  Tuesday                            
1975/03/26     14                  Wednesday                          
1975/03/27     15                  Thursday                           
1975/03/28     16                  Friday                             
1975/03/29     17                  Saturday                           
1975/03/30     18                  Sunday                             
1975/03/31     19                  Monday                             
1975/04/01     20                  Tuesday                            
1975/04/02     21                  Wednesday                          
1975/04/03     22                  Thursday                           
1975/04/04     23                  Friday                             
1975/04/05     24                  Saturday       Bright & Clear      
1975/04/06     25                  Sunday                             
1975/04/07     26                  Monday                             
1975/04/08     27                  Tuesday                            
1975/04/09     28                  Wednesday                          
1975/04/10     29                  Thursday                           
1975/04/11     30                  Friday                             
1975/04/12     3rd Lunar month     Saturday                           
1975/04/13     2                   Sunday                             
1975/04/14     3                   Monday                             
1975/04/15     4                   Tuesday                            
1975/04/16     5                   Wednesday                          
1975/04/17     6                   Thursday                           
1975/04/18     7                   Friday                             
1975/04/19     8                   Saturday                           
1975/04/20     9                   Sunday                             
1975/04/21     10                  Monday         Corn Rain           
1975/04/22     11                  Tuesday                            
1975/04/23     12                  Wednesday                          
1975/04/24     13                  Thursday                           
1975/04/25     14                  Friday                             
1975/04/26     15                  Saturday                           
1975/04/27     16                  Sunday                             
1975/04/28     17                  Monday                             
1975/04/29     18                  Tuesday                            
1975/04/30     19                  Wednesday                          
1975/05/01     20                  Thursday                           
1975/05/02     21                  Friday                             
1975/05/03     22                  Saturday                           
1975/05/04     23                  Sunday                             
1975/05/05     24                  Monday                             
1975/05/06     25                  Tuesday        Summer Commences    
1975/05/07     26                  Wednesday                          
1975/05/08     27                  Thursday                           
1975/05/09     28                  Friday                             
1975/05/10     29                  Saturday                           
1975/05/11     4th Lunar month     Sunday                             
1975/05/12     2                   Monday                             
1975/05/13     3                   Tuesday                            
1975/05/14     4                   Wednesday                          
1975/05/15     5                   Thursday                           
1975/05/16     6                   Friday                             
1975/05/17     7                   Saturday                           
1975/05/18     8                   Sunday                             
1975/05/19     9                   Monday                             
1975/05/20     10                  Tuesday                            
1975/05/21     11                  Wednesday                          
1975/05/22     12                  Thursday       Corn Forms          
1975/05/23     13                  Friday                             
1975/05/24     14                  Saturday                           
1975/05/25     15                  Sunday                             
1975/05/26     16                  Monday                             
1975/05/27     17                  Tuesday                            
