Gregorian-Lunar Calendar Conversion Table of 1976 (Bing-chen ¡V year of the Dragon)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1976/01/01     12th Lunar month    Thursday                           
1976/01/02     2                   Friday                             
1976/01/03     3                   Saturday                           
1976/01/04     4                   Sunday                             
1976/01/05     5                   Monday                             
1976/01/06     6                   Tuesday        Moderate Cold       
1976/01/07     7                   Wednesday                          
1976/01/08     8                   Thursday                           
1976/01/09     9                   Friday                             
1976/01/10     10                  Saturday                           
1976/01/11     11                  Sunday                             
1976/01/12     12                  Monday                             
1976/01/13     13                  Tuesday                            
1976/01/14     14                  Wednesday                          
1976/01/15     15                  Thursday                           
1976/01/16     16                  Friday                             
1976/01/17     17                  Saturday                           
1976/01/18     18                  Sunday                             
1976/01/19     19                  Monday                             
1976/01/20     20                  Tuesday                            
1976/01/21     21                  Wednesday      Severe Cold         
1976/01/22     22                  Thursday                           
1976/01/23     23                  Friday                             
1976/01/24     24                  Saturday                           
1976/01/25     25                  Sunday                             
1976/01/26     26                  Monday                             
1976/01/27     27                  Tuesday                            
1976/01/28     28                  Wednesday                          
1976/01/29     29                  Thursday                           
1976/01/30     30                  Friday                             
1976/01/31     1st Lunar month     Saturday                           
1976/02/01     2                   Sunday                             
1976/02/02     3                   Monday                             
1976/02/03     4                   Tuesday                            
1976/02/04     5                   Wednesday                          
1976/02/05     6                   Thursday       Spring Commences    
1976/02/06     7                   Friday                             
1976/02/07     8                   Saturday                           
1976/02/08     9                   Sunday                             
1976/02/09     10                  Monday                             
1976/02/10     11                  Tuesday                            
1976/02/11     12                  Wednesday                          
1976/02/12     13                  Thursday                           
1976/02/13     14                  Friday                             
1976/02/14     15                  Saturday                           
1976/02/15     16                  Sunday                             
1976/02/16     17                  Monday                             
1976/02/17     18                  Tuesday                            
1976/02/18     19                  Wednesday                          
1976/02/19     20                  Thursday       Spring Showers      
1976/02/20     21                  Friday                             
1976/02/21     22                  Saturday                           
1976/02/22     23                  Sunday                             
1976/02/23     24                  Monday                             
1976/02/24     25                  Tuesday                            
1976/02/25     26                  Wednesday                          
1976/02/26     27                  Thursday                           
1976/02/27     28                  Friday                             
1976/02/28     29                  Saturday                           
1976/02/29     30                  Sunday                             
1976/03/01     2nd Lunar month     Monday                             
1976/03/02     2                   Tuesday                            
1976/03/03     3                   Wednesday                          
1976/03/04     4                   Thursday                           
1976/03/05     5                   Friday         Insects Waken       
1976/03/06     6                   Saturday                           
1976/03/07     7                   Sunday                             
1976/03/08     8                   Monday                             
1976/03/09     9                   Tuesday                            
1976/03/10     10                  Wednesday                          
1976/03/11     11                  Thursday                           
1976/03/12     12                  Friday                             
1976/03/13     13                  Saturday                           
1976/03/14     14                  Sunday                             
1976/03/15     15                  Monday                             
1976/03/16     16                  Tuesday                            
1976/03/17     17                  Wednesday                          
1976/03/18     18                  Thursday                           
1976/03/19     19                  Friday                             
1976/03/20     20                  Saturday       Vernal Equinox      
1976/03/21     21                  Sunday                             
1976/03/22     22                  Monday                             
1976/03/23     23                  Tuesday                            
1976/03/24     24                  Wednesday                          
1976/03/25     25                  Thursday                           
1976/03/26     26                  Friday                             
1976/03/27     27                  Saturday                           
1976/03/28     28                  Sunday                             
