Gregorian-Lunar Calendar Conversion Table of 1979 (Ji-wei ¡V year of the Goat)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1979/01/01     3                   Monday                             
1979/01/02     4                   Tuesday                            
1979/01/03     5                   Wednesday                          
1979/01/04     6                   Thursday                           
1979/01/05     7                   Friday                             
1979/01/06     8                   Saturday       Moderate Cold       
1979/01/07     9                   Sunday                             
1979/01/08     10                  Monday                             
1979/01/09     11                  Tuesday                            
1979/01/10     12                  Wednesday                          
1979/01/11     13                  Thursday                           
1979/01/12     14                  Friday                             
1979/01/13     15                  Saturday                           
1979/01/14     16                  Sunday                             
1979/01/15     17                  Monday                             
1979/01/16     18                  Tuesday                            
1979/01/17     19                  Wednesday                          
1979/01/18     20                  Thursday                           
1979/01/19     21                  Friday                             
1979/01/20     22                  Saturday                           
1979/01/21     23                  Sunday         Severe Cold         
1979/01/22     24                  Monday                             
1979/01/23     25                  Tuesday                            
1979/01/24     26                  Wednesday                          
1979/01/25     27                  Thursday                           
1979/01/26     28                  Friday                             
1979/01/27     29                  Saturday                           
1979/01/28     1st Lunar month     Sunday                             
1979/01/29     2                   Monday                             
1979/01/30     3                   Tuesday                            
1979/01/31     4                   Wednesday                          
1979/02/01     5                   Thursday                           
1979/02/02     6                   Friday                             
1979/02/03     7                   Saturday                           
1979/02/04     8                   Sunday         Spring Commences    
1979/02/05     9                   Monday                             
1979/02/06     10                  Tuesday                            
1979/02/07     11                  Wednesday                          
1979/02/08     12                  Thursday                           
1979/02/09     13                  Friday                             
1979/02/10     14                  Saturday                           
1979/02/11     15                  Sunday                             
1979/02/12     16                  Monday                             
1979/02/13     17                  Tuesday                            
1979/02/14     18                  Wednesday                          
1979/02/15     19                  Thursday                           
1979/02/16     20                  Friday                             
1979/02/17     21                  Saturday                           
1979/02/18     22                  Sunday                             
1979/02/19     23                  Monday         Spring Showers      
1979/02/20     24                  Tuesday                            
1979/02/21     25                  Wednesday                          
1979/02/22     26                  Thursday                           
1979/02/23     27                  Friday                             
1979/02/24     28                  Saturday                           
1979/02/25     29                  Sunday                             
1979/02/26     30                  Monday                             
1979/02/27     2nd Lunar month     Tuesday                            
1979/02/28     2                   Wednesday                          
1979/03/01     3                   Thursday                           
1979/03/02     4                   Friday                             
1979/03/03     5                   Saturday                           
1979/03/04     6                   Sunday                             
1979/03/05     7                   Monday                             
1979/03/06     8                   Tuesday        Insects Waken       
1979/03/07     9                   Wednesday                          
1979/03/08     10                  Thursday                           
