Gregorian-Lunar Calendar Conversion Table of 1986 (Bing-yin ¡V year of the Tiger)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1986/01/01     21                  Wednesday                          
1986/01/02     22                  Thursday                           
1986/01/03     23                  Friday                             
1986/01/04     24                  Saturday                           
1986/01/05     25                  Sunday         Moderate Cold       
1986/01/06     26                  Monday                             
1986/01/07     27                  Tuesday                            
1986/01/08     28                  Wednesday                          
1986/01/09     29                  Thursday                           
1986/01/10     12th Lunar month    Friday                             
1986/01/11     2                   Saturday                           
1986/01/12     3                   Sunday                             
1986/01/13     4                   Monday                             
1986/01/14     5                   Tuesday                            
1986/01/15     6                   Wednesday                          
1986/01/16     7                   Thursday                           
1986/01/17     8                   Friday                             
1986/01/18     9                   Saturday                           
1986/01/19     10                  Sunday                             
1986/01/20     11                  Monday         Severe Cold         
1986/01/21     12                  Tuesday                            
1986/01/22     13                  Wednesday                          
1986/01/23     14                  Thursday                           
1986/01/24     15                  Friday                             
1986/01/25     16                  Saturday                           
1986/01/26     17                  Sunday                             
1986/01/27     18                  Monday                             
1986/01/28     19                  Tuesday                            
1986/01/29     20                  Wednesday                          
1986/01/30     21                  Thursday                           
1986/01/31     22                  Friday                             
1986/02/01     23                  Saturday                           
1986/02/02     24                  Sunday                             
1986/02/03     25                  Monday                             
1986/02/04     26                  Tuesday        Spring Commences    
1986/02/05     27                  Wednesday                          
1986/02/06     28                  Thursday                           
1986/02/07     29                  Friday                             
1986/02/08     30                  Saturday                           
1986/02/09     1st Lunar month     Sunday                             
1986/02/10     2                   Monday                             
1986/02/11     3                   Tuesday                            
1986/02/12     4                   Wednesday                          
1986/02/13     5                   Thursday                           
1986/02/14     6                   Friday                             
1986/02/15     7                   Saturday                           
1986/02/16     8                   Sunday                             
1986/02/17     9                   Monday                             
1986/02/18     10                  Tuesday                            
1986/02/19     11                  Wednesday      Spring Showers      
1986/02/20     12                  Thursday                           
1986/02/21     13                  Friday                             
1986/02/22     14                  Saturday                           
1986/02/23     15                  Sunday                             
1986/02/24     16                  Monday                             
1986/02/25     17                  Tuesday                            
1986/02/26     18                  Wednesday                          
1986/02/27     19                  Thursday                           
