Gregorian-Lunar Calendar Conversion Table of 1990 (Geng-wu ¡V year of the Horse)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1990/01/01     5                   Monday                             
1990/01/02     6                   Tuesday                            
1990/01/03     7                   Wednesday                          
1990/01/04     8                   Thursday                           
1990/01/05     9                   Friday         Moderate Cold       
1990/01/06     10                  Saturday                           
1990/01/07     11                  Sunday                             
1990/01/08     12                  Monday                             
1990/01/09     13                  Tuesday                            
1990/01/10     14                  Wednesday                          
1990/01/11     15                  Thursday                           
1990/01/12     16                  Friday                             
1990/01/13     17                  Saturday                           
1990/01/14     18                  Sunday                             
1990/01/15     19                  Monday                             
1990/01/16     20                  Tuesday                            
1990/01/17     21                  Wednesday                          
1990/01/18     22                  Thursday                           
1990/01/19     23                  Friday                             
1990/01/20     24                  Saturday       Severe Cold         
1990/01/21     25                  Sunday                             
1990/01/22     26                  Monday                             
1990/01/23     27                  Tuesday                            
1990/01/24     28                  Wednesday                          
1990/01/25     29                  Thursday                           
1990/01/26     30                  Friday                             
1990/01/27     1st Lunar month     Saturday                           
1990/01/28     2                   Sunday                             
1990/01/29     3                   Monday                             
1990/01/30     4                   Tuesday                            
1990/01/31     5                   Wednesday                          
1990/02/01     6                   Thursday                           
1990/02/02     7                   Friday                             
1990/02/03     8                   Saturday                           
1990/02/04     9                   Sunday         Spring Commences    
1990/02/05     10                  Monday                             
1990/02/06     11                  Tuesday                            
1990/02/07     12                  Wednesday                          
1990/02/08     13                  Thursday                           
1990/02/09     14                  Friday                             
1990/02/10     15                  Saturday                           
1990/02/11     16                  Sunday                             
1990/02/12     17                  Monday                             
1990/02/13     18                  Tuesday                            
1990/02/14     19                  Wednesday                          
1990/02/15     20                  Thursday                           
1990/02/16     21                  Friday                             
1990/02/17     22                  Saturday                           
1990/02/18     23                  Sunday                             
1990/02/19     24                  Monday         Spring Showers      
1990/02/20     25                  Tuesday                            
1990/02/21     26                  Wednesday                          
1990/02/22     27                  Thursday                           
1990/02/23     28                  Friday                        
1990/02/24     29                  Saturday                           
1990/02/25     2nd Lunar month     Sunday                             
1990/02/26     2                   Monday                             
1990/02/27     3                   Tuesday                            
1990/02/28     4                   Wednesday                          
1990/03/01     5                   Thursday                           
1990/03/02     6                   Friday                             
1990/03/03     7                   Saturday                           
1990/03/04     8                   Sunday                             
1990/03/05     9                   Monday                             
1990/03/06     10                  Tuesday        Insects Waken       
1990/03/07     11                  Wednesday                          
1990/03/08     12                  Thursday                           
1990/03/09     13                  Friday                             
1990/03/10     14                  Saturday                           
1990/03/11     15                  Sunday                             
1990/03/12     16                  Monday                             
1990/03/13     17                  Tuesday                            
1990/03/14     18                  Wednesday                          
1990/03/15     19                  Thursday                           
1990/03/16     20                  Friday                             
1990/03/17     21                  Saturday                           
1990/03/18     22                  Sunday                             
1990/03/19     23                  Monday                             
1990/03/20     24                  Tuesday                            
1990/03/21     25                  Wednesday      Vernal Equinox      
1990/03/22     26                  Thursday                           
1990/03/23     27                  Friday                             
1990/03/24     28                  Saturday                           
1990/03/25     29                  Sunday                             
1990/03/26     30                  Monday                             
1990/03/27     3rd Lunar month     Tuesday                            
1990/03/28     2                   Wednesday                          
1990/03/29     3                   Thursday                           
1990/03/30     4                   Friday                             
1990/03/31     5                   Saturday                           
1990/04/01     6                   Sunday                             
1990/04/02     7                   Monday                             
1990/04/03     8                   Tuesday                            
1990/04/04     9                   Wednesday                          
1990/04/05     10                  Thursday       Bright & Clear      
1990/04/06     11                  Friday                             
1990/04/07     12                  Saturday                           
1990/04/08     13                  Sunday                             
1990/04/09     14                  Monday                             
1990/04/10     15                  Tuesday                            
1990/04/11     16                  Wednesday                          
1990/04/12     17                  Thursday                           
1990/04/13     18                  Friday                             
1990/04/14     19                  Saturday                           
1990/04/15     20                  Sunday                             
1990/04/16     21                  Monday                             
1990/04/17     22                  Tuesday                            
1990/04/18     23                  Wednesday                          
1990/04/19     24                  Thursday                           
1990/04/20     25                  Friday         Corn Rain           
1990/04/21     26                  Saturday                           
1990/04/22     27                  Sunday                             
1990/04/23     28                  Monday                             
1990/04/24     29                  Tuesday                            
1990/04/25     4th Lunar month     Wednesday                          
1990/04/26     2                   Thursday                           
1990/04/27     3                   Friday                             
1990/04/28     4                   Saturday                           
1990/04/29     5                   Sunday                             
1990/04/30     6                   Monday                             
1990/05/01     7                   Tuesday                            
1990/05/02     8                   Wednesday                          
1990/05/03     9                   Thursday                           
1990/05/04     10                  Friday                             
1990/05/05     11                  Saturday                           
1990/05/06     12                  Sunday         Summer Commences    
1990/05/07     13                  Monday                             
1990/05/08     14                  Tuesday                            
1990/05/09     15                  Wednesday                          
1990/05/10     16                  Thursday                           
1990/05/11     17                  Friday                             
1990/05/12     18                  Saturday                           
1990/05/13     19                  Sunday                             
1990/05/14     20                  Monday                             
1990/05/15     21                  Tuesday                            
1990/05/16     22                  Wednesday                          
1990/05/17     23                  Thursday                           
1990/05/18     24                  Friday                             
1990/05/19     25                  Saturday                           
1990/05/20     26                  Sunday                             
1990/05/21     27                  Monday         Corn Forms          
1990/05/22     28                  Tuesday                            
1990/05/23     29                  Wednesday                          
1990/05/24     5th Lunar month     Thursday                           
1990/05/25     2                   Friday                             
1990/05/26     3                   Saturday                           
1990/05/27     4                   Sunday                             
1990/05/28     5                   Monday                             
1990/05/29     6                   Tuesday                            
1990/05/30     7                   Wednesday                          
1990/05/31     8                   Thursday                           
1990/06/01     9                   Friday                             
1990/06/02     10                  Saturday                           
1990/06/03     11                  Sunday                             
1990/06/04     12                  Monday                             
1990/06/05     13                  Tuesday                            
1990/06/06     14                  Wednesday      Corn on Ear         
1990/06/07     15                  Thursday                           
1990/06/08     16                  Friday                             
1990/06/09     17                  Saturday                           
1990/06/10     18                  Sunday                             
1990/06/11     19                  Monday                             
1990/06/12     20                  Tuesday                            
1990/06/13     21                  Wednesday                          
1990/06/14     22                  Thursday                           
1990/06/15     23                  Friday                             
1990/06/16     24                  Saturday                           
1990/06/17     25                  Sunday                             
1990/06/18     26                  Monday                             
1990/06/19     27                  Tuesday                            
1990/06/20     28                  Wednesday                          
1990/06/21     29                  Thursday       Summer Solstice     
1990/06/22     30                  Friday                             
1990/06/23     5th Lunar month     Saturday                           
1990/06/24     2                   Sunday                             
1990/06/25     3                   Monday                             
1990/06/26     4                   Tuesday                            
1990/06/27     5                   Wednesday                          
1990/06/28     6                   Thursday                           
1990/06/29     7                   Friday                             
1990/06/30     8                   Saturday                           
1990/07/01     9                   Sunday                             
1990/07/02     10                  Monday                             
1990/07/03     11                  Tuesday                            
1990/07/04     12                  Wednesday                          
1990/07/05     13                  Thursday                           
1990/07/06     14                  Friday                             
1990/07/07     15                  Saturday       Moderate Heat       
1990/07/08     16                  Sunday                             
1990/07/09     17                  Monday                             
1990/07/10     18                  Tuesday                            
1990/07/11     19                  Wednesday                          
1990/07/12     20                  Thursday                           
1990/07/13     21                  Friday                             
1990/07/14     22                  Saturday                           
1990/07/15     23                  Sunday                             
1990/07/16     24                  Monday                             
1990/07/17     25                  Tuesday                            
1990/07/18     26                  Wednesday                          
1990/07/19     27                  Thursday                           
1990/07/20     28                  Friday                             
1990/07/21     29                  Saturday                           
1990/07/22     6th Lunar month     Sunday                             
1990/07/23     2                   Monday         Great Heat          
1990/07/24     3                   Tuesday                            
1990/07/25     4                   Wednesday                          
1990/07/26     5                   Thursday                           
1990/07/27     6                   Friday                             
1990/07/28     7                   Saturday                           
1990/07/29     8                   Sunday                             
1990/07/30     9                   Monday                             
1990/07/31     10                  Tuesday                            
1990/08/01     11                  Wednesday                          
1990/08/02     12                  Thursday                           
1990/08/03     13                  Friday                             
1990/08/04     14                  Saturday                           
1990/08/05     15                  Sunday                             
