Gregorian-Lunar Calendar Conversion Table of 1997 (Ding-chou ¡V year of the Ox)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1997/01/01     22                  Wednesday                          
1997/01/02     23                  Thursday                           
1997/01/03     24                  Friday                             
1997/01/04     25                  Saturday                           
1997/01/05     26                  Sunday         Moderate Cold       
1997/01/06     27                  Monday                             
1997/01/07     28                  Tuesday                            
1997/01/08     29                  Wednesday                          
1997/01/09     12th Lunar month    Thursday                           
1997/01/10     2                   Friday                             
1997/01/11     3                   Saturday                           
1997/01/12     4                   Sunday                             
1997/01/13     5                   Monday                             
1997/01/14     6                   Tuesday                            
1997/01/15     7                   Wednesday                          
1997/01/16     8                   Thursday                           
1997/01/17     9                   Friday                             
1997/01/18     10                  Saturday                           
1997/01/19     11                  Sunday                             
1997/01/20     12                  Monday         Severe Cold         
1997/01/21     13                  Tuesday                            
1997/01/22     14                  Wednesday                          
1997/01/23     15                  Thursday                           
1997/01/24     16                  Friday                             
1997/01/25     17                  Saturday                           
1997/01/26     18                  Sunday                             
1997/01/27     19                  Monday                             
1997/01/28     20                  Tuesday                            
1997/01/29     21                  Wednesday                          
1997/01/30     22                  Thursday                           
1997/01/31     23                  Friday                             
1997/02/01     24                  Saturday                           
1997/02/02     25                  Sunday                             
1997/02/03     26                  Monday                             
1997/02/04     27                  Tuesday        Spring Commences    
1997/02/05     28                  Wednesday                          
1997/02/06     29                  Thursday                           
1997/02/07     1st Lunar month     Friday                             
1997/02/08     2                   Saturday                           
1997/02/09     3                   Sunday                             
1997/02/10     4                   Monday                             
1997/02/11     5                   Tuesday                            
1997/02/12     6                   Wednesday                          
1997/02/13     7                   Thursday                           
1997/02/14     8                   Friday                             
1997/02/15     9                   Saturday                           
1997/02/16     10                  Sunday                             
1997/02/17     11                  Monday                             
1997/02/18     12                  Tuesday        Spring Showers      
1997/02/19     13                  Wednesday                          
1997/02/20     14                  Thursday                           
1997/02/21     15                  Friday                             
1997/02/22     16                  Saturday                           
1997/02/23     17                  Sunday                             
1997/02/24     18                  Monday                             
1997/02/25     19                  Tuesday                            
1997/02/26     20                  Wednesday                          
1997/02/27     21                  Thursday                           
1997/02/28     22                  Friday                             
1997/03/01     23                  Saturday                           
1997/03/02     24                  Sunday                             
1997/03/03     25                  Monday                             
1997/03/04     26                  Tuesday                            
1997/03/05     27                  Wednesday      Insects Waken       
1997/03/06     28                  Thursday                           
1997/03/07     29                  Friday                             
1997/03/08     30                  Saturday                           
1997/03/09     2nd Lunar month     Sunday                             
1997/03/10     2                   Monday                             
1997/03/11     3                   Tuesday                            
1997/03/12     4                   Wednesday                          
1997/03/13     5                   Thursday                           
1997/03/14     6                   Friday                             
1997/03/15     7                   Saturday                           
1997/03/16     8                   Sunday                             
1997/03/17     9                   Monday                             
1997/03/18     10                  Tuesday                            
1997/03/19     11                  Wednesday                          
1997/03/20     12                  Thursday       Vernal Equinox      
1997/03/21     13                  Friday                             
1997/03/22     14                  Saturday                           
1997/03/23     15                  Sunday                             
1997/03/24     16                  Monday                             
1997/03/25     17                  Tuesday                            
1997/03/26     18                  Wednesday                          
1997/03/27     19                  Thursday                           
1997/03/28     20                  Friday                             
1997/03/29     21                  Saturday                           
1997/03/30     22                  Sunday                             
1997/03/31     23                  Monday                             
1997/04/01     24                  Tuesday                            
1997/04/02     25                  Wednesday                          
1997/04/03     26                  Thursday                           
1997/04/04     27                  Friday                             
1997/04/05     28                  Saturday       Bright & Clear      
1997/04/06     29                  Sunday                             
1997/04/07     3rd Lunar month     Monday                             
1997/04/08     2                   Tuesday                            
1997/04/09     3                   Wednesday                          
1997/04/10     4                   Thursday                           
1997/04/11     5                   Friday                             
1997/04/12     6                   Saturday                           
1997/04/13     7                   Sunday                             
1997/04/14     8                   Monday                             
1997/04/15     9                   Tuesday                            
1997/04/16     10                  Wednesday                          
1997/04/17     11                  Thursday                           
1997/04/18     12                  Friday                             
1997/04/19     13                  Saturday                           
1997/04/20     14                  Sunday         Corn Rain           
1997/04/21     15                  Monday                             
1997/04/22     16                  Tuesday                            
1997/04/23     17                  Wednesday                          
1997/04/24     18                  Thursday                           
1997/04/25     19                  Friday                             
1997/04/26     20                  Saturday                           
1997/04/27     21                  Sunday                             
1997/04/28     22                  Monday                             
1997/04/29     23                  Tuesday                            
1997/04/30     24                  Wednesday                          
1997/05/01     25                  Thursday                           
1997/05/02     26                  Friday                             
1997/05/03     27                  Saturday                           
1997/05/04     28                  Sunday                             
1997/05/05     29                  Monday         Summer Commences    
1997/05/06     30                  Tuesday                            
1997/05/07     4th Lunar month     Wednesday                          
1997/05/08     2                   Thursday                           
1997/05/09     3                   Friday                             
1997/05/10     4                   Saturday                           
1997/05/11     5                   Sunday                             
1997/05/12     6                   Monday                             
1997/05/13     7                   Tuesday                            
1997/05/14     8                   Wednesday                          
1997/05/15     9                   Thursday                           
1997/05/16     10                  Friday                             
1997/05/17     11                  Saturday                           
1997/05/18     12                  Sunday                             
1997/05/19     13                  Monday                             
1997/05/20     14                  Tuesday                            
1997/05/21     15                  Wednesday      Corn Forms          
1997/05/22     16                  Thursday                           
1997/05/23     17                  Friday                             
1997/05/24     18                  Saturday                           
1997/05/25     19                  Sunday                             
1997/05/26     20                  Monday                             
1997/05/27     21                  Tuesday                            
1997/05/28     22                  Wednesday                          
1997/05/29     23                  Thursday                           
1997/05/30     24                  Friday                             
1997/05/31     25                  Saturday                           
1997/06/01     26                  Sunday                             
1997/06/02     27                  Monday                             
1997/06/03     28                  Tuesday                            
1997/06/04     29                  Wednesday                          
1997/06/05     5th Lunar month     Thursday       Corn on Ear         
1997/06/06     2                   Friday                             
1997/06/07     3                   Saturday                           
1997/06/08     4                   Sunday                             
1997/06/09     5                   Monday                             
1997/06/10     6                   Tuesday                            
1997/06/11     7                   Wednesday                          
1997/06/12     8                   Thursday                           
1997/06/13     9                   Friday                             
1997/06/14     10                  Saturday                           
1997/06/15     11                  Sunday                             
1997/06/16     12                  Monday                             
1997/06/17     13                  Tuesday                            
1997/06/18     14                  Wednesday                          
1997/06/19     15                  Thursday                           
1997/06/20     16                  Friday                             
1997/06/21     17                  Saturday       Summer Solstice     
1997/06/22     18                  Sunday                             
1997/06/23     19                  Monday                             
1997/06/24     20                  Tuesday                            
1997/06/25     21                  Wednesday                          
1997/06/26     22                  Thursday                           
1997/06/27     23                  Friday                             
1997/06/28     24                  Saturday                           
1997/06/29     25                  Sunday                             
1997/06/30     26                  Monday                             
1997/07/01     27                  Tuesday                            
1997/07/02     28                  Wednesday                          
1997/07/03     29                  Thursday                           
1997/07/04     30                  Friday                             
1997/07/05     6th Lunar month     Saturday                           
1997/07/06     2                   Sunday                             
1997/07/07     3                   Monday         Moderate Heat       
1997/07/08     4                   Tuesday                            
1997/07/09     5                   Wednesday                          
1997/07/10     6                   Thursday                           
1997/07/11     7                   Friday                             
1997/07/12     8                   Saturday                           
1997/07/13     9                   Sunday                             
1997/07/14     10                  Monday                             
1997/07/15     11                  Tuesday                            
1997/07/16     12                  Wednesday                          
1997/07/17     13                  Thursday                           
