Gregorian-Lunar Calendar Conversion Table of 1998 (Wu-yin ¡V year of the Tiger)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1998/01/01     3                   Thursday                           
1998/01/02     4                   Friday                             
1998/01/03     5                   Saturday                           
1998/01/04     6                   Sunday                             
1998/01/05     7                   Monday         Moderate Cold       
1998/01/06     8                   Tuesday                            
1998/01/07     9                   Wednesday                          
1998/01/08     10                  Thursday                           
1998/01/09     11                  Friday                             
1998/01/10     12                  Saturday                           
1998/01/11     13                  Sunday                             
1998/01/12     14                  Monday                             
1998/01/13     15                  Tuesday                            
1998/01/14     16                  Wednesday                          
1998/01/15     17                  Thursday                           
1998/01/16     18                  Friday                             
1998/01/17     19                  Saturday                           
1998/01/18     20                  Sunday                             
1998/01/19     21                  Monday                             
1998/01/20     22                  Tuesday        Severe Cold         
1998/01/21     23                  Wednesday                          
1998/01/22     24                  Thursday                           
1998/01/23     25                  Friday                             
1998/01/24     26                  Saturday                           
1998/01/25     27                  Sunday                             
1998/01/26     28                  Monday                             
1998/01/27     29                  Tuesday                            
1998/01/28     1st Lunar month     Wednesday                          
1998/01/29     2                   Thursday                           
1998/01/30     3                   Friday                             
1998/01/31     4                   Saturday                           
1998/02/01     5                   Sunday                             
1998/02/02     6                   Monday                             
1998/02/03     7                   Tuesday                            
1998/02/04     8                   Wednesday      Spring Commences    
1998/02/05     9                   Thursday                           
1998/02/06     10                  Friday                             
1998/02/07     11                  Saturday                           
1998/02/08     12                  Sunday                             
1998/02/09     13                  Monday                             
1998/02/10     14                  Tuesday                            
1998/02/11     15                  Wednesday                          
1998/02/12     16                  Thursday                           
1998/02/13     17                  Friday                             
1998/02/14     18                  Saturday                           
1998/02/15     19                  Sunday                             
1998/02/16     20                  Monday                             
1998/02/17     21                  Tuesday                            
1998/02/18     22                  Wednesday                          
1998/02/19     23                  Thursday       Spring Showers      
1998/02/20     24                  Friday                             
1998/02/21     25                  Saturday                           
1998/02/22     26                  Sunday                             
1998/02/23     27                  Monday                             
1998/02/24     28                  Tuesday                            
1998/02/25     29                  Wednesday                          
1998/02/26     30                  Thursday                           
1998/02/27     2nd Lunar month     Friday                             
1998/02/28     2                   Saturday                           
1998/03/01     3                   Sunday                             
1998/03/02     4                   Monday                             
1998/03/03     5                   Tuesday                            
1998/03/04     6                   Wednesday                          
1998/03/05     7                   Thursday                           
1998/03/06     8                   Friday         Insects Waken       
1998/03/07     9                   Saturday                           
1998/03/08     10                  Sunday                             
1998/03/09     11                  Monday                             
1998/03/10     12                  Tuesday                            
1998/03/11     13                  Wednesday                          
1998/03/12     14                  Thursday                           
1998/03/13     15                  Friday                             
1998/03/14     16                  Saturday                           
1998/03/15     17                  Sunday                             
1998/03/16     18                  Monday                             
1998/03/17     19                  Tuesday                            
1998/03/18     20                  Wednesday                          
1998/03/19     21                  Thursday                           
1998/03/20     22                  Friday                             
1998/03/21     23                  Saturday       Vernal Equinox      
1998/03/22     24                  Sunday                             
1998/03/23     25                  Monday                             
1998/03/24     26                  Tuesday                            
1998/03/25     27                  Wednesday                          
1998/03/26     28                  Thursday                           
1998/03/27     29                  Friday                             
1998/03/28     3rd Lunar month     Saturday                           
1998/03/29     2                   Sunday                             
1998/03/30     3                   Monday                             
1998/03/31     4                   Tuesday                            
1998/04/01     5                   Wednesday                          
1998/04/02     6                   Thursday                           
1998/04/03     7                   Friday                             
1998/04/04     8                   Saturday                           
1998/04/05     9                   Sunday         Bright & Clear      
1998/04/06     10                  Monday                             
1998/04/07     11                  Tuesday                            
1998/04/08     12                  Wednesday                          
1998/04/09     13                  Thursday                           
1998/04/10     14                  Friday                             
1998/04/11     15                  Saturday                           
1998/04/12     16                  Sunday                             
1998/04/13     17                  Monday                             
1998/04/14     18                  Tuesday                            
1998/04/15     19                  Wednesday                          
1998/04/16     20                  Thursday                           
1998/04/17     21                  Friday                             
1998/04/18     22                  Saturday                           
1998/04/19     23                  Sunday                             
1998/04/20     24                  Monday         Corn Rain           
1998/04/21     25                  Tuesday                            
1998/04/22     26                  Wednesday                          
1998/04/23     27                  Thursday                           
1998/04/24     28                  Friday                             
1998/04/25     29                  Saturday                           
1998/04/26     4th Lunar month     Sunday                             
1998/04/27     2                   Monday                             
1998/04/28     3                   Tuesday                            
1998/04/29     4                   Wednesday                          
1998/04/30     5                   Thursday                           
1998/05/01     6                   Friday                             
