Gregorian-Lunar Calendar Conversion Table of 2003 (Gui-wei ¡V year of the Goat)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
2003/01/01     29                  Wednesday                          
2003/01/02     30                  Thursday                           
2003/01/03     12th Lunar month    Friday                             
2003/01/04     2                   Saturday                           
2003/01/05     3                   Sunday                             
2003/01/06     4                   Monday         Moderate Cold       
2003/01/07     5                   Tuesday                            
2003/01/08     6                   Wednesday                          
2003/01/09     7                   Thursday                           
2003/01/10     8                   Friday                             
2003/01/11     9                   Saturday                           
2003/01/12     10                  Sunday                             
2003/01/13     11                  Monday                             
2003/01/14     12                  Tuesday                            
2003/01/15     13                  Wednesday                          
2003/01/16     14                  Thursday                           
2003/01/17     15                  Friday                             
2003/01/18     16                  Saturday                           
2003/01/19     17                  Sunday                             
2003/01/20     18                  Monday         Severe Cold         
2003/01/21     19                  Tuesday                            
2003/01/22     20                  Wednesday                          
2003/01/23     21                  Thursday                           
2003/01/24     22                  Friday                             
2003/01/25     23                  Saturday                           
2003/01/26     24                  Sunday                             
2003/01/27     25                  Monday                             
2003/01/28     26                  Tuesday                            
2003/01/29     27                  Wednesday                          
2003/01/30     28                  Thursday                           
2003/01/31     29                  Friday                             
2003/02/01     1st Lunar month     Saturday                           
2003/02/02     2                   Sunday                             
2003/02/03     3                   Monday                             
2003/02/04     4                   Tuesday        Spring Commences    
2003/02/05     5                   Wednesday                          
2003/02/06     6                   Thursday                           
2003/02/07     7                   Friday                             
2003/02/08     8                   Saturday                           
2003/02/09     9                   Sunday                             
2003/02/10     10                  Monday                             
2003/02/11     11                  Tuesday                            
2003/02/12     12                  Wednesday                          
2003/02/13     13                  Thursday                           
2003/02/14     14                  Friday                             
2003/02/15     15                  Saturday                           
2003/02/16     16                  Sunday                             
2003/02/17     17                  Monday                             
2003/02/18     18                  Tuesday                            
2003/02/19     19                  Wednesday      Spring Showers      
2003/02/20     20                  Thursday                           
2003/02/21     21                  Friday                             
2003/02/22     22                  Saturday                           
2003/02/23     23                  Sunday                             
2003/02/24     24                  Monday                             
2003/02/25     25                  Tuesday                            
2003/02/26     26                  Wednesday                          
2003/02/27     27                  Thursday                           
2003/02/28     28                  Friday                             
2003/03/01     29                  Saturday                           
2003/03/02     30                  Sunday                             
2003/03/03     2nd Lunar month     Monday                             
2003/03/04     2                   Tuesday                            
2003/03/05     3                   Wednesday                          
2003/03/06     4                   Thursday       Insects Waken       
2003/03/07     5                   Friday                             
2003/03/08     6                   Saturday                           
2003/03/09     7                   Sunday                             
2003/03/10     8                   Monday                             
2003/03/11     9                   Tuesday                            
2003/03/12     10                  Wednesday                          
2003/03/13     11                  Thursday                           
2003/03/14     12                  Friday                             
2003/03/15     13                  Saturday                           
2003/03/16     14                  Sunday                             
2003/03/17     15                  Monday                             
2003/03/18     16                  Tuesday                            
2003/03/19     17                  Wednesday                          
2003/03/20     18                  Thursday                           
2003/03/21     19                  Friday         Vernal Equinox      
2003/03/22     20                  Saturday                           
2003/03/23     21                  Sunday                             
2003/03/24     22                  Monday                             
2003/03/25     23                  Tuesday                            
2003/03/26     24                  Wednesday                          
2003/03/27     25                  Thursday                           
2003/03/28     26                  Friday                             
2003/03/29     27                  Saturday                           
2003/03/30     28                  Sunday                             
2003/03/31     29                  Monday                             
2003/04/01     30                  Tuesday                            
2003/04/02     3rd Lunar month     Wednesday                          
2003/04/03     2                   Thursday                           
2003/04/04     3                   Friday                             
2003/04/05     4                   Saturday       Bright & Clear      
2003/04/06     5                   Sunday                             
2003/04/07     6                   Monday                             
2003/04/08     7                   Tuesday                            
2003/04/09     8                   Wednesday                          
2003/04/10     9                   Thursday                           
2003/04/11     10                  Friday                             
2003/04/12     11                  Saturday                           
2003/04/13     12                  Sunday                             
2003/04/14     13                  Monday                             
2003/04/15     14                  Tuesday                            
2003/04/16     15                  Wednesday                          
2003/04/17     16                  Thursday                           
2003/04/18     17                  Friday                             
2003/04/19     18                  Saturday                           
2003/04/20     19                  Sunday         Corn Rain           
2003/04/21     20                  Monday                             
2003/04/22     21                  Tuesday                            
2003/04/23     22                  Wednesday                          
2003/04/24     23                  Thursday                           
2003/04/25     24                  Friday                             
2003/04/26     25                  Saturday                           
2003/04/27     26                  Sunday                             
2003/04/28     27                  Monday                             
2003/04/29     28                  Tuesday                            
2003/04/30     29                  Wednesday                          
2003/05/01     4th Lunar month     Thursday                           
2003/05/02     2                   Friday                             
2003/05/03     3                   Saturday                           
2003/05/04     4                   Sunday                             
2003/05/05     5                   Monday                             
2003/05/06     6                   Tuesday        Summer Commences    
2003/05/07     7                   Wednesday                          
2003/05/08     8                   Thursday                           
2003/05/09     9                   Friday                             
2003/05/10     10                  Saturday                           
2003/05/11     11                  Sunday                             
2003/05/12     12                  Monday                             
2003/05/13     13                  Tuesday                            
2003/05/14     14                  Wednesday                          
2003/05/15     15                  Thursday                           
2003/05/16     16                  Friday                             
2003/05/17     17                  Saturday                           
2003/05/18     18                  Sunday                             
2003/05/19     19                  Monday                             
2003/05/20     20                  Tuesday                            
2003/05/21     21                  Wednesday      Corn Forms          
2003/05/22     22                  Thursday                           
2003/05/23     23                  Friday                             
2003/05/24     24                  Saturday                           
2003/05/25     25                  Sunday                             
2003/05/26     26                  Monday                             
2003/05/27     27                  Tuesday                            
2003/05/28     28                  Wednesday                          
2003/05/29     29                  Thursday                           
2003/05/30     30                  Friday                             
2003/05/31     5th Lunar month     Saturday                           
2003/06/01     2                   Sunday                             
