Gregorian-Lunar Calendar Conversion Table of 2004 (Jia-shen ¡V year of the Monkey)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
2004/01/01     10                  Thursday                           
2004/01/02     11                  Friday                             
2004/01/03     12                  Saturday                           
2004/01/04     13                  Sunday                             
2004/01/05     14                  Monday                             
2004/01/06     15                  Tuesday        Moderate Cold       
2004/01/07     16                  Wednesday                          
2004/01/08     17                  Thursday                           
2004/01/09     18                  Friday                             
2004/01/10     19                  Saturday                           
2004/01/11     20                  Sunday                             
2004/01/12     21                  Monday                             
2004/01/13     22                  Tuesday                            
2004/01/14     23                  Wednesday                          
2004/01/15     24                  Thursday                           
2004/01/16     25                  Friday                             
2004/01/17     26                  Saturday                           
2004/01/18     27                  Sunday                             
2004/01/19     28                  Monday                             
2004/01/20     29                  Tuesday                            
2004/01/21     30                  Wednesday      Severe Cold         
2004/01/22     1st Lunar month     Thursday                           
2004/01/23     2                   Friday                             
2004/01/24     3                   Saturday                           
2004/01/25     4                   Sunday                             
2004/01/26     5                   Monday                             
2004/01/27     6                   Tuesday                            
2004/01/28     7                   Wednesday                          
2004/01/29     8                   Thursday                           
2004/01/30     9                   Friday                             
2004/01/31     10                  Saturday                           
2004/02/01     11                  Sunday                             
2004/02/02     12                  Monday                             
2004/02/03     13                  Tuesday                            
2004/02/04     14                  Wednesday      Spring Commences    
2004/02/05     15                  Thursday                           
2004/02/06     16                  Friday                             
2004/02/07     17                  Saturday                           
2004/02/08     18                  Sunday                             
2004/02/09     19                  Monday                             
2004/02/10     20                  Tuesday                            
2004/02/11     21                  Wednesday                          
2004/02/12     22                  Thursday                           
2004/02/13     23                  Friday                             
2004/02/14     24                  Saturday                           
2004/02/15     25                  Sunday                             
2004/02/16     26                  Monday                             
2004/02/17     27                  Tuesday                            
2004/02/18     28                  Wednesday                          
2004/02/19     29                  Thursday       Spring Showers      
2004/02/20     2nd Lunar month     Friday                             
2004/02/21     2                   Saturday                           
2004/02/22     3                   Sunday                             
2004/02/23     4                   Monday                             
