Gregorian-Lunar Calendar Conversion Table of 2005 (Yi-you ¡V year of the Rooster)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
2005/01/01     21                  Saturday                           
2005/01/02     22                  Sunday                             
2005/01/03     23                  Monday                             
2005/01/04     24                  Tuesday                            
2005/01/05     25                  Wednesday      Moderate Cold       
2005/01/06     26                  Thursday                           
2005/01/07     27                  Friday                             
2005/01/08     28                  Saturday                           
2005/01/09     29                  Sunday                             
2005/01/10     12th Lunar month    Monday                             
2005/01/11     2                   Tuesday                            
2005/01/12     3                   Wednesday                          
2005/01/13     4                   Thursday                           
2005/01/14     5                   Friday                             
2005/01/15     6                   Saturday                           
2005/01/16     7                   Sunday                             
2005/01/17     8                   Monday                             
2005/01/18     9                   Tuesday                            
2005/01/19     10                  Wednesday                          
2005/01/20     11                  Thursday       Severe Cold         
2005/01/21     12                  Friday                             
2005/01/22     13                  Saturday                           
2005/01/23     14                  Sunday                             
2005/01/24     15                  Monday                             
2005/01/25     16                  Tuesday                            
2005/01/26     17                  Wednesday                          
2005/01/27     18                  Thursday                           
2005/01/28     19                  Friday                             
2005/01/29     20                  Saturday                           
2005/01/30     21                  Sunday                             
2005/01/31     22                  Monday                             
2005/02/01     23                  Tuesday                            
2005/02/02     24                  Wednesday                          
2005/02/03     25                  Thursday                           
2005/02/04     26                  Friday         Spring Commences    
2005/02/05     27                  Saturday                           
2005/02/06     28                  Sunday                             
2005/02/07     29                  Monday                             
2005/02/08     30                  Tuesday                            
2005/02/09     1st Lunar month     Wednesday                          
2005/02/10     2                   Thursday                           
2005/02/11     3                   Friday                             
2005/02/12     4                   Saturday                           
2005/02/13     5                   Sunday                             
2005/02/14     6                   Monday                             
2005/02/15     7                   Tuesday                            
2005/02/16     8                   Wednesday                          
2005/02/17     9                   Thursday                           
2005/02/18     10                  Friday         Spring Showers      
2005/02/19     11                  Saturday                           
2005/02/20     12                  Sunday                             
2005/02/21     13                  Monday                             
2005/02/22     14                  Tuesday                            
2005/02/23     15                  Wednesday                          
2005/02/24     16                  Thursday                           
2005/02/25     17                  Friday                             
2005/02/26     18                  Saturday                           
2005/02/27     19                  Sunday                             
2005/02/28     20                  Monday                             
2005/03/01     21                  Tuesday                            
2005/03/02     22                  Wednesday                          
2005/03/03     23                  Thursday                           
2005/03/04     24                  Friday                             
2005/03/05     25                  Saturday       Insects Waken       
2005/03/06     26                  Sunday                             
