Gregorian-Lunar Calendar Conversion Table of 2021 (Xin-chou  -  year of the Ox)
Gregorian date    Lunar date              Day-of-week    Solar terms
2021/1/1          18                      Friday                             
2021/1/2          19                      Saturday                           
2021/1/3          20                      Sunday                             
2021/1/4          21                      Monday                             
2021/1/5          22                      Tuesday        Moderate Cold       
2021/1/6          23                      Wednesday                          
2021/1/7          24                      Thursday                           
2021/1/8          25                      Friday                             
2021/1/9          26                      Saturday                           
2021/1/10         27                      Sunday                             
2021/1/11         28                      Monday                             
2021/1/12         29                      Tuesday                            
2021/1/13         12th Lunar Month        Wednesday                          
2021/1/14         2                       Thursday                           
2021/1/15         3                       Friday                             
2021/1/16         4                       Saturday                           
2021/1/17         5                       Sunday                             
2021/1/18         6                       Monday                             
2021/1/19         7                       Tuesday                            
2021/1/20         8                       Wednesday      Severe Cold         
2021/1/21         9                       Thursday                           
2021/1/22         10                      Friday                             
2021/1/23         11                      Saturday                           
2021/1/24         12                      Sunday                             
2021/1/25         13                      Monday                             
2021/1/26         14                      Tuesday                            
2021/1/27         15                      Wednesday                          
2021/1/28         16                      Thursday                           
2021/1/29         17                      Friday                             
2021/1/30         18                      Saturday                           
2021/1/31         19                      Sunday                             
2021/2/1          20                      Monday                             
2021/2/2          21                      Tuesday                            
2021/2/3          22                      Wednesday      Spring Commences    
2021/2/4          23                      Thursday                           
2021/2/5          24                      Friday                             
2021/2/6          25                      Saturday                           
2021/2/7          26                      Sunday                             
2021/2/8          27                      Monday                             
2021/2/9          28                      Tuesday                            
2021/2/10         29                      Wednesday                          
2021/2/11         30                      Thursday                           
2021/2/12         1st Lunar Month         Friday                             
2021/2/13         2                       Saturday                           
2021/2/14         3                       Sunday                             
2021/2/15         4                       Monday                             
2021/2/16         5                       Tuesday                            
2021/2/17         6                       Wednesday                          
2021/2/18         7                       Thursday       Spring Showers      
2021/2/19         8                       Friday                             
2021/2/20         9                       Saturday                           
2021/2/21         10                      Sunday                             
2021/2/22         11                      Monday                             
2021/2/23         12                      Tuesday                            
2021/2/24         13                      Wednesday                          
2021/2/25         14                      Thursday                           
2021/2/26         15                      Friday                             
2021/2/27         16                      Saturday                           
2021/2/28         17                      Sunday                             
2021/3/1          18                      Monday                             
2021/3/2          19                      Tuesday                            
2021/3/3          20                      Wednesday                          
2021/3/4          21                      Thursday                           
2021/3/5          22                      Friday         Insects Waken       
2021/3/6          23                      Saturday                           
2021/3/7          24                      Sunday                             
2021/3/8          25                      Monday                             
2021/3/9          26                      Tuesday                            
2021/3/10         27                      Wednesday                          
2021/3/11         28                      Thursday                           
2021/3/12         29                      Friday                             
2021/3/13         2nd Lunar Month         Saturday                           
2021/3/14         2                       Sunday                             
2021/3/15         3                       Monday                             
2021/3/16         4                       Tuesday                            
2021/3/17         5                       Wednesday                          
2021/3/18         6                       Thursday                           
2021/3/19         7                       Friday                             
2021/3/20         8                       Saturday       Vernal Equinox      
2021/3/21         9                       Sunday                             
2021/3/22         10                      Monday                             
2021/3/23         11                      Tuesday                            
2021/3/24         12                      Wednesday                          
2021/3/25         13                      Thursday                           
2021/3/26         14                      Friday                             
2021/3/27         15                      Saturday                           
2021/3/28         16                      Sunday                             
2021/3/29         17                      Monday                             
2021/3/30         18                      Tuesday                            
2021/3/31         19                      Wednesday                          
2021/4/1          20                      Thursday                           
2021/4/2          21                      Friday                             
2021/4/3          22                      Saturday                           
2021/4/4          23                      Sunday         Bright & Clear      
2021/4/5          24                      Monday                             
2021/4/6          25                      Tuesday                            
2021/4/7          26                      Wednesday                          
2021/4/8          27                      Thursday                           
2021/4/9          28                      Friday                             
2021/4/10         29                      Saturday                           
2021/4/11         30                      Sunday                             
2021/4/12         3rd Lunar Month         Monday                             
2021/4/13         2                       Tuesday                            
2021/4/14         3                       Wednesday                          
2021/4/15         4                       Thursday                           
2021/4/16         5                       Friday                             
2021/4/17         6                       Saturday                           
2021/4/18         7                       Sunday                             
2021/4/19         8                       Monday                             
2021/4/20         9                       Tuesday        Corn Rain           
2021/4/21         10                      Wednesday                          
2021/4/22         11                      Thursday                           
2021/4/23         12                      Friday                             
2021/4/24         13                      Saturday                           
2021/4/25         14                      Sunday                             
2021/4/26         15                      Monday                             
2021/4/27         16                      Tuesday                            
2021/4/28         17                      Wednesday                          
2021/4/29         18                      Thursday                           
2021/4/30         19                      Friday                             
2021/5/1          20                      Saturday                           
2021/5/2          21                      Sunday                             
2021/5/3          22                      Monday                             
2021/5/4          23                      Tuesday                            
2021/5/5          24                      Wednesday      Summer Commences    
2021/5/6          25                      Thursday                           
2021/5/7          26                      Friday                             
2021/5/8          27                      Saturday                           
2021/5/9          28                      Sunday                             
2021/5/10         29                      Monday                             
2021/5/11         30                      Tuesday                            
2021/5/12         4th Lunar Month         Wednesday                          
2021/5/13         2                       Thursday                           
2021/5/14         3                       Friday                             
2021/5/15         4                       Saturday                           
2021/5/16         5                       Sunday                             
2021/5/17         6                       Monday                             
2021/5/18         7                       Tuesday                            
2021/5/19         8                       Wednesday                          
2021/5/20         9                       Thursday                           
2021/5/21         10                      Friday         Corn Forms          
2021/5/22         11                      Saturday                           
2021/5/23         12                      Sunday                             
2021/5/24         13                      Monday                             
2021/5/25         14                      Tuesday                            
2021/5/26         15                      Wednesday                          
2021/5/27         16                      Thursday                           
2021/5/28         17                      Friday                             
2021/5/29         18                      Saturday                           
2021/5/30         19                      Sunday                             
2021/5/31         20                      Monday                             
2021/6/1          21                      Tuesday                            
2021/6/2          22                      Wednesday                          
2021/6/3          23                      Thursday                           
2021/6/4          24                      Friday                             
2021/6/5          25                      Saturday       Corn on Ear         
2021/6/6          26                      Sunday                             
2021/6/7          27                      Monday                             
2021/6/8          28                      Tuesday                            
2021/6/9          29                      Wednesday                          
2021/6/10         5th Lunar Month         Thursday                           
2021/6/11         2                       Friday                             
2021/6/12         3                       Saturday                           
2021/6/13         4                       Sunday                             
2021/6/14         5                       Monday                             
2021/6/15         6                       Tuesday                            
2021/6/16         7                       Wednesday                          
2021/6/17         8                       Thursday                           
2021/6/18         9                       Friday                             
2021/6/19         10                      Saturday                           
2021/6/20         11                      Sunday                             
2021/6/21         12                      Monday         Summer Solstice     
2021/6/22         13                      Tuesday                            
2021/6/23         14                      Wednesday                          
2021/6/24         15                      Thursday                           
2021/6/25         16                      Friday                             
2021/6/26         17                      Saturday                           
2021/6/27         18                      Sunday                             
2021/6/28         19                      Monday                             
2021/6/29         20                      Tuesday                            
2021/6/30         21                      Wednesday                          
2021/7/1          22                      Thursday                           
2021/7/2          23                      Friday                             
2021/7/3          24                      Saturday                           
2021/7/4          25                      Sunday                             
2021/7/5          26                      Monday                             
2021/7/6          27                      Tuesday                            
2021/7/7          28                      Wednesday      Moderate Heat       
2021/7/8          29                      Thursday                           
2021/7/9          30                      Friday                             
