Gregorian-Lunar Calendar Conversion Table of 2022 (Ren-yin  -  year of the Tiger)
Gregorian date    Lunar date              Day-of-week    Solar terms
2022/1/1          29                      Saturday                           
2022/1/2          30                      Sunday                             
2022/1/3          12th Lunar Month        Monday                             
2022/1/4          2                       Tuesday                            
2022/1/5          3                       Wednesday      Moderate Cold       
2022/1/6          4                       Thursday                           
2022/1/7          5                       Friday                             
2022/1/8          6                       Saturday                           
2022/1/9          7                       Sunday                             
2022/1/10         8                       Monday                             
2022/1/11         9                       Tuesday                            
2022/1/12         10                      Wednesday                          
2022/1/13         11                      Thursday                           
2022/1/14         12                      Friday                             
2022/1/15         13                      Saturday                           
2022/1/16         14                      Sunday                             
2022/1/17         15                      Monday                             
2022/1/18         16                      Tuesday                            
2022/1/19         17                      Wednesday                          
2022/1/20         18                      Thursday       Severe Cold         
2022/1/21         19                      Friday                             
2022/1/22         20                      Saturday                           
2022/1/23         21                      Sunday                             
2022/1/24         22                      Monday                             
2022/1/25         23                      Tuesday                            
2022/1/26         24                      Wednesday                          
2022/1/27         25                      Thursday                           
2022/1/28         26                      Friday                             
2022/1/29         27                      Saturday                           
2022/1/30         28                      Sunday                             
2022/1/31         29                      Monday                             
2022/2/1          1st Lunar Month         Tuesday                            
2022/2/2          2                       Wednesday                          
2022/2/3          3                       Thursday                           
2022/2/4          4                       Friday         Spring Commences    
2022/2/5          5                       Saturday                           
2022/2/6          6                       Sunday                             
2022/2/7          7                       Monday                             
2022/2/8          8                       Tuesday                            
2022/2/9          9                       Wednesday                          
2022/2/10         10                      Thursday                           
2022/2/11         11                      Friday                             
2022/2/12         12                      Saturday                           
2022/2/13         13                      Sunday                             
2022/2/14         14                      Monday                             
2022/2/15         15                      Tuesday                            
2022/2/16         16                      Wednesday                          
2022/2/17         17                      Thursday                           
2022/2/18         18                      Friday                             
2022/2/19         19                      Saturday       Spring Showers      
2022/2/20         20                      Sunday                             
2022/2/21         21                      Monday                             
2022/2/22         22                      Tuesday                            
2022/2/23         23                      Wednesday                          
2022/2/24         24                      Thursday                           
2022/2/25         25                      Friday                             
2022/2/26         26                      Saturday                           
2022/2/27         27                      Sunday                             
2022/2/28         28                      Monday                             
2022/3/1          29                      Tuesday                            
2022/3/2          30                      Wednesday                          
2022/3/3          2nd Lunar Month         Thursday                           
2022/3/4          2                       Friday                             
2022/3/5          3                       Saturday       Insects Waken       
2022/3/6          4                       Sunday                             
2022/3/7          5                       Monday                             
2022/3/8          6                       Tuesday                            
2022/3/9          7                       Wednesday                          
2022/3/10         8                       Thursday                           
2022/3/11         9                       Friday                             
2022/3/12         10                      Saturday                           
2022/3/13         11                      Sunday                             
2022/3/14         12                      Monday                             
2022/3/15         13                      Tuesday                            
2022/3/16         14                      Wednesday                          
2022/3/17         15                      Thursday                           
2022/3/18         16                      Friday                             
2022/3/19         17                      Saturday                           
2022/3/20         18                      Sunday         Vernal Equinox      
2022/3/21         19                      Monday                             
2022/3/22         20                      Tuesday                            
2022/3/23         21                      Wednesday                          
2022/3/24         22                      Thursday                           
2022/3/25         23                      Friday                             
2022/3/26         24                      Saturday                           
2022/3/27         25                      Sunday                             
2022/3/28         26                      Monday                             
2022/3/29         27                      Tuesday                            
2022/3/30         28                      Wednesday                          
2022/3/31         29                      Thursday                           
2022/4/1          3rd Lunar Month         Friday                             
2022/4/2          2                       Saturday                           
2022/4/3          3                       Sunday                             
2022/4/4          4                       Monday                             
2022/4/5          5                       Tuesday        Bright & Clear      
2022/4/6          6                       Wednesday                          
2022/4/7          7                       Thursday                           
2022/4/8          8                       Friday                             
2022/4/9          9                       Saturday                           
2022/4/10         10                      Sunday                             
2022/4/11         11                      Monday                             
2022/4/12         12                      Tuesday                            
2022/4/13         13                      Wednesday                          
2022/4/14         14                      Thursday                           
2022/4/15         15                      Friday                             
2022/4/16         16                      Saturday                           
2022/4/17         17                      Sunday                             
2022/4/18         18                      Monday                             
2022/4/19         19                      Tuesday                            
2022/4/20         20                      Wednesday      Corn Rain           
2022/4/21         21                      Thursday                           
2022/4/22         22                      Friday                             
2022/4/23         23                      Saturday                           
2022/4/24         24                      Sunday                             
2022/4/25         25                      Monday                             
2022/4/26         26                      Tuesday                            
2022/4/27         27                      Wednesday                          
2022/4/28         28                      Thursday                           
2022/4/29         29                      Friday                             
2022/4/30         30                      Saturday                           
2022/5/1          4th Lunar Month         Sunday                             
2022/5/2          2                       Monday                             
2022/5/3          3                       Tuesday                            
2022/5/4          4                       Wednesday                          
2022/5/5          5                       Thursday       Summer Commences    
2022/5/6          6                       Friday                             
2022/5/7          7                       Saturday                           
2022/5/8          8                       Sunday                             
