Gregorian-Lunar Calendar Conversion Table of 2024 (Jia-chen  -  year of the Dragon)
Gregorian date    Lunar date              Day-of-week    Solar terms
2024/1/1          20                      Monday                             
2024/1/2          21                      Tuesday                            
2024/1/3          22                      Wednesday                          
2024/1/4          23                      Thursday                           
2024/1/5          24                      Friday                             
2024/1/6          25                      Saturday       Moderate Cold       
2024/1/7          26                      Sunday                             
2024/1/8          27                      Monday                             
2024/1/9          28                      Tuesday                            
2024/1/10         29                      Wednesday                          
2024/1/11         12th Lunar Month        Thursday                           
2024/1/12         2                       Friday                             
2024/1/13         3                       Saturday                           
2024/1/14         4                       Sunday                             
2024/1/15         5                       Monday                             
2024/1/16         6                       Tuesday                            
2024/1/17         7                       Wednesday                          
2024/1/18         8                       Thursday                           
2024/1/19         9                       Friday                             
2024/1/20         10                      Saturday       Severe Cold         
2024/1/21         11                      Sunday                             
2024/1/22         12                      Monday                             
2024/1/23         13                      Tuesday                            
2024/1/24         14                      Wednesday                          
2024/1/25         15                      Thursday                           
2024/1/26         16                      Friday                             
2024/1/27         17                      Saturday                           
2024/1/28         18                      Sunday                             
2024/1/29         19                      Monday                             
2024/1/30         20                      Tuesday                            
2024/1/31         21                      Wednesday                          
2024/2/1          22                      Thursday                           
2024/2/2          23                      Friday                             
2024/2/3          24                      Saturday                           
2024/2/4          25                      Sunday         Spring Commences    
2024/2/5          26                      Monday                             
2024/2/6          27                      Tuesday                            
2024/2/7          28                      Wednesday                          
2024/2/8          29                      Thursday                           
2024/2/9          30                      Friday                             
2024/2/10         1st Lunar Month         Saturday                           
2024/2/11         2                       Sunday                             
2024/2/12         3                       Monday                             
2024/2/13         4                       Tuesday                            
2024/2/14         5                       Wednesday                          
2024/2/15         6                       Thursday                           
2024/2/16         7                       Friday                             
2024/2/17         8                       Saturday                           
2024/2/18         9                       Sunday                             
2024/2/19         10                      Monday         Spring Showers      
2024/2/20         11                      Tuesday                            
2024/2/21         12                      Wednesday                          
2024/2/22         13                      Thursday                           
2024/2/23         14                      Friday                             
2024/2/24         15                      Saturday                           
2024/2/25         16                      Sunday                             
2024/2/26         17                      Monday                             
2024/2/27         18                      Tuesday                            
2024/2/28         19                      Wednesday                          
2024/2/29         20                      Thursday                           
2024/3/1          21                      Friday                             
2024/3/2          22                      Saturday                           
2024/3/3          23                      Sunday                             
2024/3/4          24                      Monday                             
2024/3/5          25                      Tuesday        Insects Waken       
2024/3/6          26                      Wednesday                          
2024/3/7          27                      Thursday                           
2024/3/8          28                      Friday                             
2024/3/9          29                      Saturday                           
2024/3/10         2nd Lunar Month         Sunday                             
2024/3/11         2                       Monday                             
2024/3/12         3                       Tuesday                            
2024/3/13         4                       Wednesday                          
2024/3/14         5                       Thursday                           
2024/3/15         6                       Friday                             
