Gregorian-Lunar Calendar Conversion Table of 2029 (Ji-you  -  year of the Rooster)
Gregorian date    Lunar date              Day-of-week    Solar terms
2029/1/1          17                      Monday                             
2029/1/2          18                      Tuesday                            
2029/1/3          19                      Wednesday                          
2029/1/4          20                      Thursday                           
2029/1/5          21                      Friday         Moderate Cold       
2029/1/6          22                      Saturday                           
2029/1/7          23                      Sunday                             
2029/1/8          24                      Monday                             
2029/1/9          25                      Tuesday                            
2029/1/10         26                      Wednesday                          
2029/1/11         27                      Thursday                           
2029/1/12         28                      Friday                             
2029/1/13         29                      Saturday                           
2029/1/14         30                      Sunday                             
2029/1/15         12th Lunar Month        Monday                             
2029/1/16         2                       Tuesday                            
2029/1/17         3                       Wednesday                          
2029/1/18         4                       Thursday                           
2029/1/19         5                       Friday                             
2029/1/20         6                       Saturday       Severe Cold         
2029/1/21         7                       Sunday                             
2029/1/22         8                       Monday                             
2029/1/23         9                       Tuesday                            
2029/1/24         10                      Wednesday                          
2029/1/25         11                      Thursday                           
2029/1/26         12                      Friday                             
2029/1/27         13                      Saturday                           
2029/1/28         14                      Sunday                             
2029/1/29         15                      Monday                             
2029/1/30         16                      Tuesday                            
2029/1/31         17                      Wednesday                          
2029/2/1          18                      Thursday                           
2029/2/2          19                      Friday                             
2029/2/3          20                      Saturday       Spring Commences    
2029/2/4          21                      Sunday                             
2029/2/5          22                      Monday                             
2029/2/6          23                      Tuesday                            
2029/2/7          24                      Wednesday                          
2029/2/8          25                      Thursday                           
2029/2/9          26                      Friday                             
2029/2/10         27                      Saturday                           
2029/2/11         28                      Sunday                             
2029/2/12         29                      Monday                             
2029/2/13         1st Lunar Month         Tuesday                            
2029/2/14         2                       Wednesday                          
2029/2/15         3                       Thursday                           
2029/2/16         4                       Friday                             
2029/2/17         5                       Saturday                           
2029/2/18         6                       Sunday         Spring Showers      
2029/2/19         7                       Monday                             
2029/2/20         8                       Tuesday                            
2029/2/21         9                       Wednesday                          
2029/2/22         10                      Thursday                           
