Gregorian-Lunar Calendar Conversion Table of 2033 (Gui-chou  -  year of the Ox)
Gregorian date    Lunar date              Day-of-week    Solar terms
2033/1/1          12th Lunar Month        Saturday                           
2033/1/2          2                       Sunday                             
2033/1/3          3                       Monday                             
2033/1/4          4                       Tuesday                            
2033/1/5          5                       Wednesday      Moderate Cold       
2033/1/6          6                       Thursday                           
2033/1/7          7                       Friday                             
2033/1/8          8                       Saturday                           
2033/1/9          9                       Sunday                             
2033/1/10         10                      Monday                             
2033/1/11         11                      Tuesday                            
2033/1/12         12                      Wednesday                          
2033/1/13         13                      Thursday                           
2033/1/14         14                      Friday                             
2033/1/15         15                      Saturday                           
2033/1/16         16                      Sunday                             
2033/1/17         17                      Monday                             
2033/1/18         18                      Tuesday                            
2033/1/19         19                      Wednesday                          
2033/1/20         20                      Thursday       Severe Cold         
2033/1/21         21                      Friday                             
2033/1/22         22                      Saturday                           
2033/1/23         23                      Sunday                             
2033/1/24         24                      Monday                             
2033/1/25         25                      Tuesday                            
2033/1/26         26                      Wednesday                          
2033/1/27         27                      Thursday                           
2033/1/28         28                      Friday                             
2033/1/29         29                      Saturday                           
2033/1/30         30                      Sunday                             
2033/1/31         1st Lunar Month         Monday                             
2033/2/1          2                       Tuesday                            
2033/2/2          3                       Wednesday                          
2033/2/3          4                       Thursday       Spring Commences    
2033/2/4          5                       Friday                             
2033/2/5          6                       Saturday                           
2033/2/6          7                       Sunday                             
2033/2/7          8                       Monday                             
2033/2/8          9                       Tuesday                            
2033/2/9          10                      Wednesday                          
2033/2/10         11                      Thursday                           
2033/2/11         12                      Friday                             
2033/2/12         13                      Saturday                           
2033/2/13         14                      Sunday                             
2033/2/14         15                      Monday                             
2033/2/15         16                      Tuesday                            
2033/2/16         17                      Wednesday                          
2033/2/17         18                      Thursday                           
2033/2/18         19                      Friday         Spring Showers      
2033/2/19         20                      Saturday                           
2033/2/20         21                      Sunday                             
2033/2/21         22                      Monday                             
2033/2/22         23                      Tuesday                            
2033/2/23         24                      Wednesday                          
2033/2/24         25                      Thursday                           
2033/2/25         26                      Friday                             
2033/2/26         27                      Saturday                           
2033/2/27         28                      Sunday                             
2033/2/28         29                      Monday                             
2033/3/1          2nd Lunar Month         Tuesday                            
2033/3/2          2                       Wednesday                          
2033/3/3          3                       Thursday                           
2033/3/4          4                       Friday                             
2033/3/5          5                       Saturday       Insects Waken       
2033/3/6          6                       Sunday                             
2033/3/7          7                       Monday                             
2033/3/8          8                       Tuesday                            
2033/3/9          9                       Wednesday                          
2033/3/10         10                      Thursday                           
2033/3/11         11                      Friday                             
2033/3/12         12                      Saturday                           
2033/3/13         13                      Sunday                             
2033/3/14         14                      Monday                             
2033/3/15         15                      Tuesday                            
2033/3/16         16                      Wednesday                          
2033/3/17         17                      Thursday                           
2033/3/18         18                      Friday                             
2033/3/19         19                      Saturday                           
2033/3/20         20                      Sunday         Vernal Equinox      
2033/3/21         21                      Monday                             
2033/3/22         22                      Tuesday                            
2033/3/23         23                      Wednesday                          
2033/3/24         24                      Thursday                           
2033/3/25         25                      Friday                             
2033/3/26         26                      Saturday                           
2033/3/27         27                      Sunday                             
2033/3/28         28                      Monday                             
2033/3/29         29                      Tuesday                            
2033/3/30         30                      Wednesday                          
2033/3/31         3rd Lunar Month         Thursday                           
2033/4/1          2                       Friday                             
2033/4/2          3                       Saturday                           
2033/4/3          4                       Sunday                             
2033/4/4          5                       Monday         Bright & Clear      
2033/4/5          6                       Tuesday                            
2033/4/6          7                       Wednesday                          
