Gregorian-Lunar Calendar Conversion Table of 2037 (Ding-si  -  year of the Snake)
Gregorian date    Lunar date              Day-of-week    Solar terms
2037/1/1          16                      Thursday                           
2037/1/2          17                      Friday                             
2037/1/3          18                      Saturday                           
2037/1/4          19                      Sunday                             
2037/1/5          20                      Monday         Moderate Cold       
2037/1/6          21                      Tuesday                            
2037/1/7          22                      Wednesday                          
2037/1/8          23                      Thursday                           
2037/1/9          24                      Friday                             
2037/1/10         25                      Saturday                           
2037/1/11         26                      Sunday                             
2037/1/12         27                      Monday                             
2037/1/13         28                      Tuesday                            
2037/1/14         29                      Wednesday                          
2037/1/15         30                      Thursday                           
2037/1/16         12th Lunar Month        Friday                             
2037/1/17         2                       Saturday                           
2037/1/18         3                       Sunday                             
2037/1/19         4                       Monday                             
2037/1/20         5                       Tuesday        Severe Cold         
2037/1/21         6                       Wednesday                          
2037/1/22         7                       Thursday                           
2037/1/23         8                       Friday                             
2037/1/24         9                       Saturday                           
2037/1/25         10                      Sunday                             
2037/1/26         11                      Monday                             
2037/1/27         12                      Tuesday                            
2037/1/28         13                      Wednesday                          
2037/1/29         14                      Thursday                           
2037/1/30         15                      Friday                             
2037/1/31         16                      Saturday                           
2037/2/1          17                      Sunday                             
2037/2/2          18                      Monday                             
2037/2/3          19                      Tuesday        Spring Commences    
2037/2/4          20                      Wednesday                          
2037/2/5          21                      Thursday                           
2037/2/6          22                      Friday                             
2037/2/7          23                      Saturday                           
2037/2/8          24                      Sunday                             
2037/2/9          25                      Monday                             
2037/2/10         26                      Tuesday                            
2037/2/11         27                      Wednesday                          
2037/2/12         28                      Thursday                           
2037/2/13         29                      Friday                             
2037/2/14         30                      Saturday                           
2037/2/15         1st Lunar Month         Sunday                             
2037/2/16         2                       Monday                             
2037/2/17         3                       Tuesday                            
2037/2/18         4                       Wednesday      Spring Showers      
2037/2/19         5                       Thursday                           
2037/2/20         6                       Friday                             
2037/2/21         7                       Saturday                           
2037/2/22         8                       Sunday                             
2037/2/23         9                       Monday                             
2037/2/24         10                      Tuesday                            
2037/2/25         11                      Wednesday                          
2037/2/26         12                      Thursday                           
