Gregorian-Lunar Calendar Conversion Table of 2038 (Wu-wu  -  year of the Horse)
Gregorian date    Lunar date              Day-of-week    Solar terms
2038/1/1          26                      Friday                             
2038/1/2          27                      Saturday                           
2038/1/3          28                      Sunday                             
2038/1/4          29                      Monday                             
2038/1/5          12th Lunar Month        Tuesday        Moderate Cold       
2038/1/6          2                       Wednesday                          
2038/1/7          3                       Thursday                           
2038/1/8          4                       Friday                             
2038/1/9          5                       Saturday                           
2038/1/10         6                       Sunday                             
2038/1/11         7                       Monday                             
2038/1/12         8                       Tuesday                            
2038/1/13         9                       Wednesday                          
2038/1/14         10                      Thursday                           
2038/1/15         11                      Friday                             
2038/1/16         12                      Saturday                           
2038/1/17         13                      Sunday                             
2038/1/18         14                      Monday                             
2038/1/19         15                      Tuesday                            
2038/1/20         16                      Wednesday      Severe Cold         
2038/1/21         17                      Thursday                           
2038/1/22         18                      Friday                             
2038/1/23         19                      Saturday                           
2038/1/24         20                      Sunday                             
2038/1/25         21                      Monday                             
2038/1/26         22                      Tuesday                            
2038/1/27         23                      Wednesday                          
2038/1/28         24                      Thursday                           
2038/1/29         25                      Friday                             
2038/1/30         26                      Saturday                           
2038/1/31         27                      Sunday                             
2038/2/1          28                      Monday                             
2038/2/2          29                      Tuesday                            
2038/2/3          30                      Wednesday                          
2038/2/4          1st Lunar Month         Thursday       Spring Commences    
2038/2/5          2                       Friday                             
2038/2/6          3                       Saturday                           
2038/2/7          4                       Sunday                             
2038/2/8          5                       Monday                             
2038/2/9          6                       Tuesday                            
2038/2/10         7                       Wednesday                          
2038/2/11         8                       Thursday                           
2038/2/12         9                       Friday                             
2038/2/13         10                      Saturday                           
2038/2/14         11                      Sunday                             
2038/2/15         12                      Monday                             
2038/2/16         13                      Tuesday                            
2038/2/17         14                      Wednesday                          
2038/2/18         15                      Thursday       Spring Showers      
2038/2/19         16                      Friday                             
2038/2/20         17                      Saturday                           
2038/2/21         18                      Sunday                             
2038/2/22         19                      Monday                             
2038/2/23         20                      Tuesday                            
2038/2/24         21                      Wednesday                          
2038/2/25         22                      Thursday                           
2038/2/26         23                      Friday                             
2038/2/27         24                      Saturday                           
2038/2/28         25                      Sunday                             
2038/3/1          26                      Monday                             
2038/3/2          27                      Tuesday                            
2038/3/3          28                      Wednesday                          
2038/3/4          29                      Thursday                           
2038/3/5          30                      Friday         Insects Waken       
2038/3/6          2nd Lunar Month         Saturday                           
2038/3/7          2                       Sunday                             
2038/3/8          3                       Monday                             
2038/3/9          4                       Tuesday                            
2038/3/10         5                       Wednesday                          
2038/3/11         6                       Thursday                           
2038/3/12         7                       Friday                             
2038/3/13         8                       Saturday                           
2038/3/14         9                       Sunday                             
2038/3/15         10                      Monday                             
2038/3/16         11                      Tuesday                            
2038/3/17         12                      Wednesday                          
2038/3/18         13                      Thursday                           
2038/3/19         14                      Friday                             
2038/3/20         15                      Saturday       Vernal Equinox      
2038/3/21         16                      Sunday                             
2038/3/22         17                      Monday                             
2038/3/23         18                      Tuesday                            
2038/3/24         19                      Wednesday                          
2038/3/25         20                      Thursday                           
2038/3/26         21                      Friday                             
2038/3/27         22                      Saturday                           
2038/3/28         23                      Sunday                             
2038/3/29         24                      Monday                             
2038/3/30         25                      Tuesday                            
2038/3/31         26                      Wednesday                          
2038/4/1          27                      Thursday                           
2038/4/2          28                      Friday                             
2038/4/3          29                      Saturday                           
2038/4/4          30                      Sunday                             
2038/4/5          3rd Lunar Month         Monday         Bright & Clear      
2038/4/6          2                       Tuesday                            
2038/4/7          3                       Wednesday                          
2038/4/8          4                       Thursday                           
2038/4/9          5                       Friday                             
2038/4/10         6                       Saturday                           
2038/4/11         7                       Sunday                             
2038/4/12         8                       Monday                             
2038/4/13         9                       Tuesday                            
2038/4/14         10                      Wednesday                          
2038/4/15         11                      Thursday                           
2038/4/16         12                      Friday                             
2038/4/17         13                      Saturday                           
2038/4/18         14                      Sunday                             
2038/4/19         15                      Monday                             
2038/4/20         16                      Tuesday        Corn Rain           
2038/4/21         17                      Wednesday                          
2038/4/22         18                      Thursday                           
2038/4/23         19                      Friday                             
2038/4/24         20                      Saturday                           
2038/4/25         21                      Sunday                             
2038/4/26         22                      Monday                             
2038/4/27         23                      Tuesday                            
2038/4/28         24                      Wednesday                          
2038/4/29         25                      Thursday                           
2038/4/30         26                      Friday                             
2038/5/1          27                      Saturday                           
2038/5/2          28                      Sunday                             
2038/5/3          29                      Monday                             
2038/5/4          4th Lunar Month         Tuesday                            
2038/5/5          2                       Wednesday      Summer Commences    
2038/5/6          3                       Thursday                           
2038/5/7          4                       Friday                             
2038/5/8          5                       Saturday                           
2038/5/9          6                       Sunday                             
2038/5/10         7                       Monday                             
2038/5/11         8                       Tuesday                            
2038/5/12         9                       Wednesday                          
2038/5/13         10                      Thursday                           
2038/5/14         11                      Friday                             
2038/5/15         12                      Saturday                           
2038/5/16         13                      Sunday                             
2038/5/17         14                      Monday                             
2038/5/18         15                      Tuesday                            
2038/5/19         16                      Wednesday                          
2038/5/20         17                      Thursday                           
2038/5/21         18                      Friday         Corn Forms          
2038/5/22         19                      Saturday                           
2038/5/23         20                      Sunday                             
2038/5/24         21                      Monday                             
2038/5/25         22                      Tuesday                            
2038/5/26         23                      Wednesday                          
2038/5/27         24                      Thursday                           
2038/5/28         25                      Friday                             
2038/5/29         26                      Saturday                           
2038/5/30         27                      Sunday                             
2038/5/31         28                      Monday                             
2038/6/1          29                      Tuesday                            
2038/6/2          30                      Wednesday                          
2038/6/3          5th Lunar Month         Thursday                           
2038/6/4          2                       Friday                             
2038/6/5          3                       Saturday       Corn on Ear         
2038/6/6          4                       Sunday                             
2038/6/7          5                       Monday                             
2038/6/8          6                       Tuesday                            
2038/6/9          7                       Wednesday                          
2038/6/10         8                       Thursday                           
2038/6/11         9                       Friday                             
2038/6/12         10                      Saturday                           
2038/6/13         11                      Sunday                             
2038/6/14         12                      Monday                             
2038/6/15         13                      Tuesday                            
2038/6/16         14                      Wednesday                          
2038/6/17         15                      Thursday                           
2038/6/18         16                      Friday                             
2038/6/19         17                      Saturday                           
2038/6/20         18                      Sunday                             
2038/6/21         19                      Monday         Summer Solstice     
2038/6/22         20                      Tuesday                            
2038/6/23         21                      Wednesday                          
2038/6/24         22                      Thursday                           
2038/6/25         23                      Friday                             
2038/6/26         24                      Saturday                           
2038/6/27         25                      Sunday                             
2038/6/28         26                      Monday                             
2038/6/29         27                      Tuesday                            
2038/6/30         28                      Wednesday                          
2038/7/1          29                      Thursday                           
2038/7/2          6th Lunar Month         Friday                             
2038/7/3          2                       Saturday                           
2038/7/4          3                       Sunday                             
2038/7/5          4                       Monday                             
2038/7/6          5                       Tuesday                            
2038/7/7          6                       Wednesday      Moderate Heat       
2038/7/8          7                       Thursday                           
2038/7/9          8                       Friday                             
2038/7/10         9                       Saturday                           
2038/7/11         10                      Sunday                             
2038/7/12         11                      Monday                             
2038/7/13         12                      Tuesday                            
2038/7/14         13                      Wednesday                          
2038/7/15         14                      Thursday                           
2038/7/16         15                      Friday                             
2038/7/17         16                      Saturday                           
2038/7/18         17                      Sunday                             
2038/7/19         18                      Monday                             
2038/7/20         19                      Tuesday                            
2038/7/21         20                      Wednesday                          
2038/7/22         21                      Thursday                           
2038/7/23         22                      Friday         Great Heat          
2038/7/24         23                      Saturday                           
2038/7/25         24                      Sunday                             
2038/7/26         25                      Monday                             
2038/7/27         26                      Tuesday                            
2038/7/28         27                      Wednesday                          
2038/7/29         28                      Thursday                           
2038/7/30         29                      Friday                             
2038/7/31         30                      Saturday                           
2038/8/1          7th Lunar Month         Sunday                             
2038/8/2          2                       Monday                             
2038/8/3          3                       Tuesday                            
2038/8/4          4                       Wednesday                          
2038/8/5          5                       Thursday                           
2038/8/6          6                       Friday                             
2038/8/7          7                       Saturday       Autumn Commences    
2038/8/8          8                       Sunday                             
2038/8/9          9                       Monday                             
2038/8/10         10                      Tuesday                            
