Gregorian-Lunar Calendar Conversion Table of 2042 (Ren-xu  -  year of the Dog)
Gregorian date    Lunar date              Day-of-week    Solar terms
2042/1/1          10                      Wednesday                          
2042/1/2          11                      Thursday                           
2042/1/3          12                      Friday                             
2042/1/4          13                      Saturday                           
2042/1/5          14                      Sunday         Moderate Cold       
2042/1/6          15                      Monday                             
2042/1/7          16                      Tuesday                            
2042/1/8          17                      Wednesday                          
2042/1/9          18                      Thursday                           
2042/1/10         19                      Friday                             
2042/1/11         20                      Saturday                           
2042/1/12         21                      Sunday                             
2042/1/13         22                      Monday                             
2042/1/14         23                      Tuesday                            
2042/1/15         24                      Wednesday                          
2042/1/16         25                      Thursday                           
2042/1/17         26                      Friday                             
2042/1/18         27                      Saturday                           
2042/1/19         28                      Sunday                             
2042/1/20         29                      Monday         Severe Cold         
2042/1/21         30                      Tuesday                            
2042/1/22         1st Lunar Month         Wednesday                          
2042/1/23         2                       Thursday                           
2042/1/24         3                       Friday                             
2042/1/25         4                       Saturday                           
2042/1/26         5                       Sunday                             
2042/1/27         6                       Monday                             
2042/1/28         7                       Tuesday                            
2042/1/29         8                       Wednesday                          
2042/1/30         9                       Thursday                           
2042/1/31         10                      Friday                             
2042/2/1          11                      Saturday                           
2042/2/2          12                      Sunday                             
2042/2/3          13                      Monday                             
2042/2/4          14                      Tuesday        Spring Commences    
2042/2/5          15                      Wednesday                          
2042/2/6          16                      Thursday                           
2042/2/7          17                      Friday                             
2042/2/8          18                      Saturday                           
2042/2/9          19                      Sunday                             
2042/2/10         20                      Monday                             
2042/2/11         21                      Tuesday                            
2042/2/12         22                      Wednesday                          
2042/2/13         23                      Thursday                           
2042/2/14         24                      Friday                             
2042/2/15         25                      Saturday                           
2042/2/16         26                      Sunday                             
2042/2/17         27                      Monday                             
2042/2/18         28                      Tuesday        Spring Showers      
2042/2/19         29                      Wednesday                          
2042/2/20         2nd Lunar Month         Thursday                           
2042/2/21         2                       Friday                             
2042/2/22         3                       Saturday                           
2042/2/23         4                       Sunday                             
2042/2/24         5                       Monday                             
2042/2/25         6                       Tuesday                            
2042/2/26         7                       Wednesday                          
2042/2/27         8                       Thursday                           
2042/2/28         9                       Friday                             
2042/3/1          10                      Saturday                           
2042/3/2          11                      Sunday                             
2042/3/3          12                      Monday                             
2042/3/4          13                      Tuesday                            
2042/3/5          14                      Wednesday      Insects Waken       
2042/3/6          15                      Thursday                           
2042/3/7          16                      Friday                             
2042/3/8          17                      Saturday                           
2042/3/9          18                      Sunday                             
2042/3/10         19                      Monday                             
2042/3/11         20                      Tuesday                            
2042/3/12         21                      Wednesday                          
2042/3/13         22                      Thursday                           
2042/3/14         23                      Friday                             
2042/3/15         24                      Saturday                           
2042/3/16         25                      Sunday                             
2042/3/17         26                      Monday                             
2042/3/18         27                      Tuesday                            
2042/3/19         28                      Wednesday                          
2042/3/20         29                      Thursday       Vernal Equinox      
2042/3/21         30                      Friday                             
2042/3/22         2nd Lunar Month         Saturday                           
2042/3/23         2                       Sunday                             
2042/3/24         3                       Monday                             
2042/3/25         4                       Tuesday                            
2042/3/26         5                       Wednesday                          
2042/3/27         6                       Thursday                           
2042/3/28         7                       Friday                             
2042/3/29         8                       Saturday                           
2042/3/30         9                       Sunday                             
2042/3/31         10                      Monday                             
2042/4/1          11                      Tuesday                            
2042/4/2          12                      Wednesday                          
2042/4/3          13                      Thursday                           
2042/4/4          14                      Friday         Bright & Clear      
2042/4/5          15                      Saturday                           
2042/4/6          16                      Sunday                             
2042/4/7          17                      Monday                             
2042/4/8          18                      Tuesday                            
