Gregorian-Lunar Calendar Conversion Table of 2043 (Gui-hai  -  year of the Pig)
Gregorian date    Lunar date              Day-of-week    Solar terms
2043/1/1          21                      Thursday                           
2043/1/2          22                      Friday                             
2043/1/3          23                      Saturday                           
2043/1/4          24                      Sunday                             
2043/1/5          25                      Monday         Moderate Cold       
2043/1/6          26                      Tuesday                            
2043/1/7          27                      Wednesday                          
2043/1/8          28                      Thursday                           
2043/1/9          29                      Friday                             
2043/1/10         30                      Saturday                           
2043/1/11         12th Lunar Month        Sunday                             
2043/1/12         2                       Monday                             
2043/1/13         3                       Tuesday                            
2043/1/14         4                       Wednesday                          
2043/1/15         5                       Thursday                           
2043/1/16         6                       Friday                             
2043/1/17         7                       Saturday                           
2043/1/18         8                       Sunday                             
2043/1/19         9                       Monday                             
2043/1/20         10                      Tuesday        Severe Cold         
2043/1/21         11                      Wednesday                          
2043/1/22         12                      Thursday                           
2043/1/23         13                      Friday                             
2043/1/24         14                      Saturday                           
2043/1/25         15                      Sunday                             
2043/1/26         16                      Monday                             
2043/1/27         17                      Tuesday                            
2043/1/28         18                      Wednesday                          
2043/1/29         19                      Thursday                           
2043/1/30         20                      Friday                             
2043/1/31         21                      Saturday                           
2043/2/1          22                      Sunday                             
2043/2/2          23                      Monday                             
2043/2/3          24                      Tuesday                            
2043/2/4          25                      Wednesday      Spring Commences    
2043/2/5          26                      Thursday                           
2043/2/6          27                      Friday                             
2043/2/7          28                      Saturday                           
2043/2/8          29                      Sunday                             
2043/2/9          30                      Monday                             
2043/2/10         1st Lunar Month         Tuesday                            
2043/2/11         2                       Wednesday                          
2043/2/12         3                       Thursday                           
2043/2/13         4                       Friday                             
2043/2/14         5                       Saturday                           
2043/2/15         6                       Sunday                             
2043/2/16         7                       Monday                             
2043/2/17         8                       Tuesday                            
2043/2/18         9                       Wednesday                          
2043/2/19         10                      Thursday       Spring Showers      
2043/2/20         11                      Friday                             
2043/2/21         12                      Saturday                           
2043/2/22         13                      Sunday                             
2043/2/23         14                      Monday                             
2043/2/24         15                      Tuesday                            
2043/2/25         16                      Wednesday                          
2043/2/26         17                      Thursday                           
2043/2/27         18                      Friday                             
2043/2/28         19                      Saturday                           
2043/3/1          20                      Sunday                             
2043/3/2          21                      Monday                             
2043/3/3          22                      Tuesday                            
2043/3/4          23                      Wednesday                          
2043/3/5          24                      Thursday                           
2043/3/6          25                      Friday         Insects Waken       
2043/3/7          26                      Saturday                           
2043/3/8          27                      Sunday                             
2043/3/9          28                      Monday                             
2043/3/10         29                      Tuesday                            
2043/3/11         2nd Lunar Month         Wednesday                          
2043/3/12         2                       Thursday                           
2043/3/13         3                       Friday                             
2043/3/14         4                       Saturday                           
