Gregorian-Lunar Calendar Conversion Table of 2049 (Ji-si  -  year of the Snake)
Gregorian date    Lunar date              Day-of-week    Solar terms
2049/1/1          28                      Friday                             
2049/1/2          29                      Saturday                           
2049/1/3          30                      Sunday                             
2049/1/4          12th Lunar Month        Monday                             
2049/1/5          2                       Tuesday        Moderate Cold       
2049/1/6          3                       Wednesday                          
2049/1/7          4                       Thursday                           
2049/1/8          5                       Friday                             
2049/1/9          6                       Saturday                           
2049/1/10         7                       Sunday                             
2049/1/11         8                       Monday                             
2049/1/12         9                       Tuesday                            
2049/1/13         10                      Wednesday                          
2049/1/14         11                      Thursday                           
2049/1/15         12                      Friday                             
2049/1/16         13                      Saturday                           
2049/1/17         14                      Sunday                             
2049/1/18         15                      Monday                             
2049/1/19         16                      Tuesday        Severe Cold         
2049/1/20         17                      Wednesday                          
2049/1/21         18                      Thursday                           
2049/1/22         19                      Friday                             
2049/1/23         20                      Saturday                           
2049/1/24         21                      Sunday                             
2049/1/25         22                      Monday                             
2049/1/26         23                      Tuesday                            
2049/1/27         24                      Wednesday                          
2049/1/28         25                      Thursday                           
2049/1/29         26                      Friday                             
2049/1/30         27                      Saturday                           
2049/1/31         28                      Sunday                             
2049/2/1          29                      Monday                             
2049/2/2          1st Lunar Month         Tuesday                            
2049/2/3          2                       Wednesday      Spring Commences    
2049/2/4          3                       Thursday                           
2049/2/5          4                       Friday                             
2049/2/6          5                       Saturday                           
2049/2/7          6                       Sunday                             
2049/2/8          7                       Monday                             
2049/2/9          8                       Tuesday                            
2049/2/10         9                       Wednesday                          
2049/2/11         10                      Thursday                           
2049/2/12         11                      Friday                             
2049/2/13         12                      Saturday                           
2049/2/14         13                      Sunday                             
2049/2/15         14                      Monday                             
2049/2/16         15                      Tuesday                            
2049/2/17         16                      Wednesday                          
2049/2/18         17                      Thursday       Spring Showers      
2049/2/19         18                      Friday                             
2049/2/20         19                      Saturday                           
2049/2/21         20                      Sunday                             
2049/2/22         21                      Monday                             
2049/2/23         22                      Tuesday                            
2049/2/24         23                      Wednesday                          
2049/2/25         24                      Thursday                           
2049/2/26         25                      Friday                             
2049/2/27         26                      Saturday                           
2049/2/28         27                      Sunday                             
2049/3/1          28                      Monday                             
2049/3/2          29                      Tuesday                            
2049/3/3          30                      Wednesday                          
2049/3/4          2nd Lunar Month         Thursday                           
2049/3/5          2                       Friday         Insects Waken       
2049/3/6          3                       Saturday                           
2049/3/7          4                       Sunday                             
2049/3/8          5                       Monday                             
2049/3/9          6                       Tuesday                            
2049/3/10         7                       Wednesday                          
2049/3/11         8                       Thursday                           
2049/3/12         9                       Friday                             
2049/3/13         10                      Saturday                           
2049/3/14         11                      Sunday                             
2049/3/15         12                      Monday                             
2049/3/16         13                      Tuesday                            
2049/3/17         14                      Wednesday                          
2049/3/18         15                      Thursday                           
2049/3/19         16                      Friday                             
2049/3/20         17                      Saturday       Vernal Equinox      
2049/3/21         18                      Sunday                             
2049/3/22         19                      Monday                             
2049/3/23         20                      Tuesday                            
2049/3/24         21                      Wednesday                          
2049/3/25         22                      Thursday                           
2049/3/26         23                      Friday                             
2049/3/27         24                      Saturday                           
2049/3/28         25                      Sunday                             
2049/3/29         26                      Monday                             
2049/3/30         27                      Tuesday                            
2049/3/31         28                      Wednesday                          
2049/4/1          29                      Thursday                           
2049/4/2          3rd Lunar Month         Friday                             
2049/4/3          2                       Saturday                           
2049/4/4          3                       Sunday         Bright & Clear      
2049/4/5          4                       Monday                             
2049/4/6          5                       Tuesday                            
2049/4/7          6                       Wednesday                          
2049/4/8          7                       Thursday                           
2049/4/9          8                       Friday                             
2049/4/10         9                       Saturday                           
2049/4/11         10                      Sunday                             
2049/4/12         11                      Monday                             
2049/4/13         12                      Tuesday                            
2049/4/14         13                      Wednesday                          
2049/4/15         14                      Thursday                           
2049/4/16         15                      Friday                             
2049/4/17         16                      Saturday                           
2049/4/18         17                      Sunday                             
2049/4/19         18                      Monday         Corn Rain           
2049/4/20         19                      Tuesday                            
2049/4/21         20                      Wednesday                          
2049/4/22         21                      Thursday                           
2049/4/23         22                      Friday                             
2049/4/24         23                      Saturday                           
2049/4/25         24                      Sunday                             
2049/4/26         25                      Monday                             
2049/4/27         26                      Tuesday                            
2049/4/28         27                      Wednesday                          
2049/4/29         28                      Thursday                           
2049/4/30         29                      Friday                             
2049/5/1          30                      Saturday                           
2049/5/2          4th Lunar Month         Sunday                             
2049/5/3          2                       Monday                             
2049/5/4          3                       Tuesday                            
2049/5/5          4                       Wednesday      Summer Commences    
2049/5/6          5                       Thursday                           
2049/5/7          6                       Friday                             
2049/5/8          7                       Saturday                           
2049/5/9          8                       Sunday                             
2049/5/10         9                       Monday                             
2049/5/11         10                      Tuesday                            
2049/5/12         11                      Wednesday                          
2049/5/13         12                      Thursday                           
2049/5/14         13                      Friday                             
2049/5/15         14                      Saturday                           
2049/5/16         15                      Sunday                             
2049/5/17         16                      Monday                             
2049/5/18         17                      Tuesday                            
2049/5/19         18                      Wednesday                          
2049/5/20         19                      Thursday       Corn Forms          
2049/5/21         20                      Friday                             
2049/5/22         21                      Saturday                           
2049/5/23         22                      Sunday                             
2049/5/24         23                      Monday                             
2049/5/25         24                      Tuesday                            
2049/5/26         25                      Wednesday                          
2049/5/27         26                      Thursday                           
2049/5/28         27                      Friday                             
2049/5/29         28                      Saturday                           
2049/5/30         29                      Sunday                             
2049/5/31         5th Lunar Month         Monday                             
2049/6/1          2                       Tuesday                            
2049/6/2          3                       Wednesday                          
2049/6/3          4                       Thursday                           
2049/6/4          5                       Friday                             
2049/6/5          6                       Saturday       Corn on Ear         
2049/6/6          7                       Sunday                             
2049/6/7          8                       Monday                             
2049/6/8          9                       Tuesday                            
2049/6/9          10                      Wednesday                          
2049/6/10         11                      Thursday                           
2049/6/11         12                      Friday                             
2049/6/12         13                      Saturday                           
2049/6/13         14                      Sunday                             
2049/6/14         15                      Monday                             
2049/6/15         16                      Tuesday                            
2049/6/16         17                      Wednesday                          
2049/6/17         18                      Thursday                           
2049/6/18         19                      Friday                             
2049/6/19         20                      Saturday                           
2049/6/20         21                      Sunday                             
2049/6/21         22                      Monday         Summer Solstice     
2049/6/22         23                      Tuesday                            
2049/6/23         24                      Wednesday                          
2049/6/24         25                      Thursday                           
2049/6/25         26                      Friday                             
2049/6/26         27                      Saturday                           
2049/6/27         28                      Sunday                             
2049/6/28         29                      Monday                             
2049/6/29         30                      Tuesday                            
2049/6/30         6th Lunar Month         Wednesday                          
2049/7/1          2                       Thursday                           
2049/7/2          3                       Friday                             
2049/7/3          4                       Saturday                           
2049/7/4          5                       Sunday                             
2049/7/5          6                       Monday                             
2049/7/6          7                       Tuesday        Moderate Heat       
2049/7/7          8                       Wednesday                          
2049/7/8          9                       Thursday                           
2049/7/9          10                      Friday                             
2049/7/10         11                      Saturday                           
2049/7/11         12                      Sunday                             
