Gregorian-Lunar Calendar Conversion Table of 2050 (Geng-wu  -  year of the Horse)
Gregorian date    Lunar date              Day-of-week    Solar terms
2050/1/1          8                       Saturday                           
2050/1/2          9                       Sunday                             
2050/1/3          10                      Monday                             
2050/1/4          11                      Tuesday                            
2050/1/5          12                      Wednesday      Moderate Cold       
2050/1/6          13                      Thursday                           
2050/1/7          14                      Friday                             
2050/1/8          15                      Saturday                           
2050/1/9          16                      Sunday                             
2050/1/10         17                      Monday                             
2050/1/11         18                      Tuesday                            
2050/1/12         19                      Wednesday                          
2050/1/13         20                      Thursday                           
2050/1/14         21                      Friday                             
2050/1/15         22                      Saturday                           
2050/1/16         23                      Sunday                             
2050/1/17         24                      Monday                             
2050/1/18         25                      Tuesday                            
2050/1/19         26                      Wednesday                          
2050/1/20         27                      Thursday       Severe Cold         
2050/1/21         28                      Friday                             
2050/1/22         29                      Saturday                           
2050/1/23         1st Lunar Month         Sunday                             
2050/1/24         2                       Monday                             
2050/1/25         3                       Tuesday                            
2050/1/26         4                       Wednesday                          
2050/1/27         5                       Thursday                           
2050/1/28         6                       Friday                             
2050/1/29         7                       Saturday                           
2050/1/30         8                       Sunday                             
2050/1/31         9                       Monday                             
2050/2/1          10                      Tuesday                            
2050/2/2          11                      Wednesday                          
2050/2/3          12                      Thursday       Spring Commences    
2050/2/4          13                      Friday                             
2050/2/5          14                      Saturday                           
2050/2/6          15                      Sunday                             
2050/2/7          16                      Monday                             
2050/2/8          17                      Tuesday                            
2050/2/9          18                      Wednesday                          
2050/2/10         19                      Thursday                           
2050/2/11         20                      Friday                             
2050/2/12         21                      Saturday                           
2050/2/13         22                      Sunday                             
2050/2/14         23                      Monday                             
2050/2/15         24                      Tuesday                            
2050/2/16         25                      Wednesday                          
2050/2/17         26                      Thursday                           
2050/2/18         27                      Friday         Spring Showers      
2050/2/19         28                      Saturday                           
2050/2/20         29                      Sunday                             
2050/2/21         2nd Lunar Month         Monday                             
2050/2/22         2                       Tuesday                            
2050/2/23         3                       Wednesday                          
2050/2/24         4                       Thursday                           
2050/2/25         5                       Friday                             
2050/2/26         6                       Saturday                           
2050/2/27         7                       Sunday                             
2050/2/28         8                       Monday                             
2050/3/1          9                       Tuesday                            
2050/3/2          10                      Wednesday                          
2050/3/3          11                      Thursday                           
2050/3/4          12                      Friday                             
2050/3/5          13                      Saturday       Insects Waken       
2050/3/6          14                      Sunday                             
2050/3/7          15                      Monday                             
2050/3/8          16                      Tuesday                            
2050/3/9          17                      Wednesday                          
2050/3/10         18                      Thursday                           
2050/3/11         19                      Friday                             
2050/3/12         20                      Saturday                           
2050/3/13         21                      Sunday                             
2050/3/14         22                      Monday                             
2050/3/15         23                      Tuesday                            
2050/3/16         24                      Wednesday                          
2050/3/17         25                      Thursday                           
2050/3/18         26                      Friday                             
2050/3/19         27                      Saturday                           
2050/3/20         28                      Sunday         Vernal Equinox      
2050/3/21         29                      Monday                             
2050/3/22         30                      Tuesday                            
2050/3/23         3rd Lunar Month         Wednesday                          
2050/3/24         2                       Thursday                           
2050/3/25         3                       Friday                             
2050/3/26         4                       Saturday                           
2050/3/27         5                       Sunday                             
2050/3/28         6                       Monday                             
2050/3/29         7                       Tuesday                            
2050/3/30         8                       Wednesday                          
2050/3/31         9                       Thursday                           
2050/4/1          10                      Friday                             
2050/4/2          11                      Saturday                           
2050/4/3          12                      Sunday                             
2050/4/4          13                      Monday         Bright & Clear      
