Gregorian-Lunar Calendar Conversion Table of 2057 (Ding-chou  -  year of the Ox)
Gregorian date    Lunar date              Day-of-week    Solar terms
2057/1/1          26                      Monday                             
2057/1/2          27                      Tuesday                            
2057/1/3          28                      Wednesday                          
2057/1/4          29                      Thursday                           
2057/1/5          12th Lunar Month        Friday         Moderate Cold       
2057/1/6          2                       Saturday                           
2057/1/7          3                       Sunday                             
2057/1/8          4                       Monday                             
2057/1/9          5                       Tuesday                            
2057/1/10         6                       Wednesday                          
2057/1/11         7                       Thursday                           
2057/1/12         8                       Friday                             
2057/1/13         9                       Saturday                           
2057/1/14         10                      Sunday                             
2057/1/15         11                      Monday                             
2057/1/16         12                      Tuesday                            
2057/1/17         13                      Wednesday                          
2057/1/18         14                      Thursday                           
2057/1/19         15                      Friday         Severe Cold         
2057/1/20         16                      Saturday                           
2057/1/21         17                      Sunday                             
2057/1/22         18                      Monday                             
2057/1/23         19                      Tuesday                            
2057/1/24         20                      Wednesday                          
2057/1/25         21                      Thursday                           
2057/1/26         22                      Friday                             
2057/1/27         23                      Saturday                           
2057/1/28         24                      Sunday                             
2057/1/29         25                      Monday                             
2057/1/30         26                      Tuesday                            
2057/1/31         27                      Wednesday                          
2057/2/1          28                      Thursday                           
2057/2/2          29                      Friday                             
2057/2/3          30                      Saturday       Spring Commences    
2057/2/4          1st Lunar Month         Sunday                             
2057/2/5          2                       Monday                             
2057/2/6          3                       Tuesday                            
2057/2/7          4                       Wednesday                          
2057/2/8          5                       Thursday                           
2057/2/9          6                       Friday                             
2057/2/10         7                       Saturday                           
2057/2/11         8                       Sunday                             
2057/2/12         9                       Monday                             
2057/2/13         10                      Tuesday                            
2057/2/14         11                      Wednesday                          
2057/2/15         12                      Thursday                           
2057/2/16         13                      Friday                             
2057/2/17         14                      Saturday                           
2057/2/18         15                      Sunday         Spring Showers      
2057/2/19         16                      Monday                             
2057/2/20         17                      Tuesday                            
2057/2/21         18                      Wednesday                          
2057/2/22         19                      Thursday                           
2057/2/23         20                      Friday                             
2057/2/24         21                      Saturday                           
2057/2/25         22                      Sunday                             
2057/2/26         23                      Monday                             
2057/2/27         24                      Tuesday                            
2057/2/28         25                      Wednesday                          
2057/3/1          26                      Thursday                           
2057/3/2          27                      Friday                             
2057/3/3          28                      Saturday                           
2057/3/4          29                      Sunday                             
2057/3/5          2nd Lunar Month         Monday         Insects Waken       
2057/3/6          2                       Tuesday                            
2057/3/7          3                       Wednesday                          
2057/3/8          4                       Thursday                           
2057/3/9          5                       Friday                             
2057/3/10         6                       Saturday                           
2057/3/11         7                       Sunday                             
2057/3/12         8                       Monday                             
2057/3/13         9                       Tuesday                            
2057/3/14         10                      Wednesday                          
2057/3/15         11                      Thursday                           
2057/3/16         12                      Friday                             
2057/3/17         13                      Saturday                           
2057/3/18         14                      Sunday                             
2057/3/19         15                      Monday                             
2057/3/20         16                      Tuesday        Vernal Equinox      
2057/3/21         17                      Wednesday                          
2057/3/22         18                      Thursday                           
2057/3/23         19                      Friday                             
2057/3/24         20                      Saturday                           
2057/3/25         21                      Sunday                             
2057/3/26         22                      Monday                             
2057/3/27         23                      Tuesday                            
2057/3/28         24                      Wednesday                          
2057/3/29         25                      Thursday                           
2057/3/30         26                      Friday                             
2057/3/31         27                      Saturday                           
2057/4/1          28                      Sunday                             
2057/4/2          29                      Monday                             
2057/4/3          30                      Tuesday                            
2057/4/4          3rd Lunar Month         Wednesday      Bright & Clear      
2057/4/5          2                       Thursday                           
2057/4/6          3                       Friday                             
2057/4/7          4                       Saturday                           
2057/4/8          5                       Sunday                             
2057/4/9          6                       Monday                             
2057/4/10         7                       Tuesday                            
2057/4/11         8                       Wednesday                          
2057/4/12         9                       Thursday                           
2057/4/13         10                      Friday                             
2057/4/14         11                      Saturday                           
2057/4/15         12                      Sunday                             
2057/4/16         13                      Monday                             
2057/4/17         14                      Tuesday                            
2057/4/18         15                      Wednesday                          
2057/4/19         16                      Thursday       Corn Rain           
2057/4/20         17                      Friday                             
2057/4/21         18                      Saturday                           
2057/4/22         19                      Sunday                             
2057/4/23         20                      Monday                             
2057/4/24         21                      Tuesday                            
2057/4/25         22                      Wednesday                          
2057/4/26         23                      Thursday                           
2057/4/27         24                      Friday                             
2057/4/28         25                      Saturday                           
2057/4/29         26                      Sunday                             
2057/4/30         27                      Monday                             
2057/5/1          28                      Tuesday                            
2057/5/2          29                      Wednesday                          
2057/5/3          30                      Thursday                           
2057/5/4          4th Lunar Month         Friday                             
2057/5/5          2                       Saturday       Summer Commences    
2057/5/6          3                       Sunday                             
2057/5/7          4                       Monday                             
2057/5/8          5                       Tuesday                            
2057/5/9          6                       Wednesday                          
2057/5/10         7                       Thursday                           
2057/5/11         8                       Friday                             
2057/5/12         9                       Saturday                           
2057/5/13         10                      Sunday                             
2057/5/14         11                      Monday                             
2057/5/15         12                      Tuesday                            
2057/5/16         13                      Wednesday                          
