Gregorian-Lunar Calendar Conversion Table of 2059 (Ji-mao  -  year of the Rabbit)
Gregorian date    Lunar date              Day-of-week    Solar terms
2059/1/1          17                      Wednesday                          
2059/1/2          18                      Thursday                           
2059/1/3          19                      Friday                             
2059/1/4          20                      Saturday                           
2059/1/5          21                      Sunday         Moderate Cold       
2059/1/6          22                      Monday                             
2059/1/7          23                      Tuesday                            
2059/1/8          24                      Wednesday                          
2059/1/9          25                      Thursday                           
2059/1/10         26                      Friday                             
2059/1/11         27                      Saturday                           
2059/1/12         28                      Sunday                             
2059/1/13         29                      Monday                             
2059/1/14         12th Lunar Month        Tuesday                            
2059/1/15         2                       Wednesday                          
2059/1/16         3                       Thursday                           
2059/1/17         4                       Friday                             
2059/1/18         5                       Saturday                           
2059/1/19         6                       Sunday                             
2059/1/20         7                       Monday         Severe Cold         
2059/1/21         8                       Tuesday                            
2059/1/22         9                       Wednesday                          
2059/1/23         10                      Thursday                           
2059/1/24         11                      Friday                             
2059/1/25         12                      Saturday                           
2059/1/26         13                      Sunday                             
2059/1/27         14                      Monday                             
2059/1/28         15                      Tuesday                            
2059/1/29         16                      Wednesday                          
2059/1/30         17                      Thursday                           
2059/1/31         18                      Friday                             
2059/2/1          19                      Saturday                           
2059/2/2          20                      Sunday                             
2059/2/3          21                      Monday                             
2059/2/4          22                      Tuesday        Spring Commences    
2059/2/5          23                      Wednesday                          
2059/2/6          24                      Thursday                           
2059/2/7          25                      Friday                             
2059/2/8          26                      Saturday                           
2059/2/9          27                      Sunday                             
2059/2/10         28                      Monday                             
2059/2/11         29                      Tuesday                            
2059/2/12         1st Lunar Month         Wednesday                          
2059/2/13         2                       Thursday                           
2059/2/14         3                       Friday                             
2059/2/15         4                       Saturday                           
2059/2/16         5                       Sunday                             
2059/2/17         6                       Monday                             
2059/2/18         7                       Tuesday                            
2059/2/19         8                       Wednesday      Spring Showers      
2059/2/20         9                       Thursday                           
2059/2/21         10                      Friday                             
2059/2/22         11                      Saturday                           
2059/2/23         12                      Sunday                             
2059/2/24         13                      Monday                             
2059/2/25         14                      Tuesday                            
