Gregorian-Lunar Calendar Conversion Table of 2073 (Gui-si  -  year of the Snake)
Gregorian date    Lunar date              Day-of-week    Solar terms
2073/1/1          23                      Sunday                             
2073/1/2          24                      Monday                             
2073/1/3          25                      Tuesday                            
2073/1/4          26                      Wednesday                          
2073/1/5          27                      Thursday       Moderate Cold       
2073/1/6          28                      Friday                             
2073/1/7          29                      Saturday                           
2073/1/8          12th Lunar Month        Sunday                             
2073/1/9          2                       Monday                             
2073/1/10         3                       Tuesday                            
2073/1/11         4                       Wednesday                          
2073/1/12         5                       Thursday                           
2073/1/13         6                       Friday                             
2073/1/14         7                       Saturday                           
2073/1/15         8                       Sunday                             
2073/1/16         9                       Monday                             
2073/1/17         10                      Tuesday                            
2073/1/18         11                      Wednesday                          
2073/1/19         12                      Thursday       Severe Cold         
2073/1/20         13                      Friday                             
2073/1/21         14                      Saturday                           
2073/1/22         15                      Sunday                             
2073/1/23         16                      Monday                             
2073/1/24         17                      Tuesday                            
2073/1/25         18                      Wednesday                          
2073/1/26         19                      Thursday                           
2073/1/27         20                      Friday                             
2073/1/28         21                      Saturday                           
2073/1/29         22                      Sunday                             
2073/1/30         23                      Monday                             
2073/1/31         24                      Tuesday                            
2073/2/1          25                      Wednesday                          
2073/2/2          26                      Thursday                           
2073/2/3          27                      Friday         Spring Commences    
2073/2/4          28                      Saturday                           
2073/2/5          29                      Sunday                             
2073/2/6          30                      Monday                             
2073/2/7          1st Lunar Month         Tuesday                            
2073/2/8          2                       Wednesday                          
2073/2/9          3                       Thursday                           
2073/2/10         4                       Friday                             
2073/2/11         5                       Saturday                           
2073/2/12         6                       Sunday                             
2073/2/13         7                       Monday                             
2073/2/14         8                       Tuesday                            
2073/2/15         9                       Wednesday                          
2073/2/16         10                      Thursday                           
2073/2/17         11                      Friday                             
2073/2/18         12                      Saturday       Spring Showers      
2073/2/19         13                      Sunday                             
2073/2/20         14                      Monday                             
2073/2/21         15                      Tuesday                            
2073/2/22         16                      Wednesday                          
2073/2/23         17                      Thursday                           
2073/2/24         18                      Friday                             
2073/2/25         19                      Saturday                           
2073/2/26         20                      Sunday                             
2073/2/27         21                      Monday                             
2073/2/28         22                      Tuesday                            
2073/3/1          23                      Wednesday                          
2073/3/2          24                      Thursday                           
2073/3/3          25                      Friday                             
2073/3/4          26                      Saturday                           
2073/3/5          27                      Sunday         Insects Waken       
2073/3/6          28                      Monday                             
2073/3/7          29                      Tuesday                            
2073/3/8          30                      Wednesday                          
2073/3/9          2nd Lunar Month         Thursday                           
2073/3/10         2                       Friday                             
2073/3/11         3                       Saturday                           
2073/3/12         4                       Sunday                             
2073/3/13         5                       Monday                             
2073/3/14         6                       Tuesday                            
2073/3/15         7                       Wednesday                          
2073/3/16         8                       Thursday                           
2073/3/17         9                       Friday                             
2073/3/18         10                      Saturday                           
2073/3/19         11                      Sunday                             
2073/3/20         12                      Monday         Vernal Equinox      
2073/3/21         13                      Tuesday                            
2073/3/22         14                      Wednesday                          
2073/3/23         15                      Thursday                           
2073/3/24         16                      Friday                             
2073/3/25         17                      Saturday                           
2073/3/26         18                      Sunday                             
2073/3/27         19                      Monday                             
2073/3/28         20                      Tuesday                            
2073/3/29         21                      Wednesday                          
2073/3/30         22                      Thursday                           
2073/3/31         23                      Friday                             
2073/4/1          24                      Saturday                           
2073/4/2          25                      Sunday                             
2073/4/3          26                      Monday                             
2073/4/4          27                      Tuesday        Bright & Clear      
2073/4/5          28                      Wednesday                          
2073/4/6          29                      Thursday                           
2073/4/7          3rd Lunar Month         Friday                             
2073/4/8          2                       Saturday                           
2073/4/9          3                       Sunday                             
2073/4/10         4                       Monday                             
2073/4/11         5                       Tuesday                            
2073/4/12         6                       Wednesday                          
2073/4/13         7                       Thursday                           
2073/4/14         8                       Friday                             
2073/4/15         9                       Saturday                           
2073/4/16         10                      Sunday                             
2073/4/17         11                      Monday                             
2073/4/18         12                      Tuesday                            
2073/4/19         13                      Wednesday      Corn Rain           
2073/4/20         14                      Thursday                           
2073/4/21         15                      Friday                             
2073/4/22         16                      Saturday                           
2073/4/23         17                      Sunday                             
2073/4/24         18                      Monday                             
2073/4/25         19                      Tuesday                            
2073/4/26         20                      Wednesday                          
2073/4/27         21                      Thursday                           
2073/4/28         22                      Friday                             
2073/4/29         23                      Saturday                           
2073/4/30         24                      Sunday                             
2073/5/1          25                      Monday                             
2073/5/2          26                      Tuesday                            
2073/5/3          27                      Wednesday                          
2073/5/4          28                      Thursday                           
2073/5/5          29                      Friday         Summer Commences    
2073/5/6          30                      Saturday                           
2073/5/7          4th Lunar Month         Sunday                             
2073/5/8          2                       Monday                             
2073/5/9          3                       Tuesday                            
2073/5/10         4                       Wednesday                          
2073/5/11         5                       Thursday                           
2073/5/12         6                       Friday                             
2073/5/13         7                       Saturday                           
2073/5/14         8                       Sunday                             
