Gregorian-Lunar Calendar Conversion Table of 2075 (Yi-wei  -  year of the Goat)
Gregorian date    Lunar date              Day-of-week    Solar terms
2075/01/01        15                      Tuesday                            
2075/01/02        16                      Wednesday                          
2075/01/03        17                      Thursday                           
2075/01/04        18                      Friday                             
2075/01/05        19                      Saturday       Moderate Cold       
2075/01/06        20                      Sunday                             
2075/01/07        21                      Monday                             
2075/01/08        22                      Tuesday                            
2075/01/09        23                      Wednesday                          
2075/01/10        24                      Thursday                           
2075/01/11        25                      Friday                             
2075/01/12        26                      Saturday                           
2075/01/13        27                      Sunday                             
2075/01/14        28                      Monday                             
2075/01/15        29                      Tuesday                            
2075/01/16        30                      Wednesday                          
2075/01/17        12th Lunar Month        Thursday                           
2075/01/18        2                       Friday                             
2075/01/19        3                       Saturday                           
2075/01/20        4                       Sunday         Severe Cold         
2075/01/21        5                       Monday                             
2075/01/22        6                       Tuesday                            
2075/01/23        7                       Wednesday                          
2075/01/24        8                       Thursday                           
2075/01/25        9                       Friday                             
2075/01/26        10                      Saturday                           
2075/01/27        11                      Sunday                             
2075/01/28        12                      Monday                             
2075/01/29        13                      Tuesday                            
2075/01/30        14                      Wednesday                          
2075/01/31        15                      Thursday                           
2075/02/01        16                      Friday                             
2075/02/02        17                      Saturday                           
2075/02/03        18                      Sunday                             
2075/02/04        19                      Monday         Spring Commences    
2075/02/05        20                      Tuesday                            
2075/02/06        21                      Wednesday                          
2075/02/07        22                      Thursday                           
2075/02/08        23                      Friday                             
2075/02/09        24                      Saturday                           
2075/02/10        25                      Sunday                             
2075/02/11        26                      Monday                             
2075/02/12        27                      Tuesday                            
2075/02/13        28                      Wednesday                          
2075/02/14        29                      Thursday                           
2075/02/15        1st Lunar Month         Friday                             
2075/02/16        2                       Saturday                           
2075/02/17        3                       Sunday                             
2075/02/18        4                       Monday         Spring Showers      
2075/02/19        5                       Tuesday                            
2075/02/20        6                       Wednesday                          
2075/02/21        7                       Thursday                           
2075/02/22        8                       Friday                             
2075/02/23        9                       Saturday                           
2075/02/24        10                      Sunday                             
2075/02/25        11                      Monday                             
2075/02/26        12                      Tuesday                            
2075/02/27        13                      Wednesday                          
2075/02/28        14                      Thursday                           
2075/03/01        15                      Friday                             
2075/03/02        16                      Saturday                           
2075/03/03        17                      Sunday                             
