Gregorian-Lunar Calendar Conversion Table of 2079 (Ji-hai  -  year of the Pig)
Gregorian date    Lunar date              Day-of-week    Solar terms
2079/1/1          29                      Sunday                             
2079/1/2          30                      Monday                             
2079/1/3          12th Lunar Month        Tuesday                            
2079/1/4          2                       Wednesday                          
2079/1/5          3                       Thursday       Moderate Cold       
2079/1/6          4                       Friday                             
2079/1/7          5                       Saturday                           
2079/1/8          6                       Sunday                             
2079/1/9          7                       Monday                             
2079/1/10         8                       Tuesday                            
2079/1/11         9                       Wednesday                          
2079/1/12         10                      Thursday                           
2079/1/13         11                      Friday                             
2079/1/14         12                      Saturday                           
2079/1/15         13                      Sunday                             
2079/1/16         14                      Monday                             
2079/1/17         15                      Tuesday                            
2079/1/18         16                      Wednesday                          
2079/1/19         17                      Thursday                           
2079/1/20         18                      Friday         Severe Cold         
2079/1/21         19                      Saturday                           
2079/1/22         20                      Sunday                             
2079/1/23         21                      Monday                             
2079/1/24         22                      Tuesday                            
2079/1/25         23                      Wednesday                          
2079/1/26         24                      Thursday                           
2079/1/27         25                      Friday                             
2079/1/28         26                      Saturday                           
2079/1/29         27                      Sunday                             
2079/1/30         28                      Monday                             
2079/1/31         29                      Tuesday                            
2079/2/1          30                      Wednesday                          
2079/2/2          1st Lunar Month         Thursday                           
2079/2/3          2                       Friday                             
2079/2/4          3                       Saturday       Spring Commences    
2079/2/5          4                       Sunday                             
2079/2/6          5                       Monday                             
2079/2/7          6                       Tuesday                            
2079/2/8          7                       Wednesday                          
2079/2/9          8                       Thursday                           
2079/2/10         9                       Friday                             
2079/2/11         10                      Saturday                           
2079/2/12         11                      Sunday                             
2079/2/13         12                      Monday                             
2079/2/14         13                      Tuesday                            
2079/2/15         14                      Wednesday                          
2079/2/16         15                      Thursday                           
2079/2/17         16                      Friday                             
2079/2/18         17                      Saturday       Spring Showers      
2079/2/19         18                      Sunday                             
2079/2/20         19                      Monday                             
2079/2/21         20                      Tuesday                            
2079/2/22         21                      Wednesday                          
2079/2/23         22                      Thursday                           
2079/2/24         23                      Friday                             
2079/2/25         24                      Saturday                           
2079/2/26         25                      Sunday                             
2079/2/27         26                      Monday                             
2079/2/28         27                      Tuesday                            
2079/3/1          28                      Wednesday                          
2079/3/2          29                      Thursday                           
2079/3/3          2nd Lunar Month         Friday                             
2079/3/4          2                       Saturday                           
2079/3/5          3                       Sunday         Insects Waken       
2079/3/6          4                       Monday                             
2079/3/7          5                       Tuesday                            
2079/3/8          6                       Wednesday                          
2079/3/9          7                       Thursday                           
2079/3/10         8                       Friday                             
2079/3/11         9                       Saturday                           
2079/3/12         10                      Sunday                             
2079/3/13         11                      Monday                             
2079/3/14         12                      Tuesday                            
2079/3/15         13                      Wednesday                          
2079/3/16         14                      Thursday                           
2079/3/17         15                      Friday                             
2079/3/18         16                      Saturday                           
2079/3/19         17                      Sunday                             
2079/3/20         18                      Monday         Vernal Equinox      
2079/3/21         19                      Tuesday                            
2079/3/22         20                      Wednesday                          
2079/3/23         21                      Thursday                           
2079/3/24         22                      Friday                             
2079/3/25         23                      Saturday                           
2079/3/26         24                      Sunday                             
2079/3/27         25                      Monday                             
2079/3/28         26                      Tuesday                            
2079/3/29         27                      Wednesday                          
2079/3/30         28                      Thursday                           
2079/3/31         29                      Friday                             
2079/4/1          30                      Saturday                           
2079/4/2          3rd Lunar Month         Sunday                             
2079/4/3          2                       Monday                             
2079/4/4          3                       Tuesday        Bright & Clear      
2079/4/5          4                       Wednesday                          
2079/4/6          5                       Thursday                           
2079/4/7          6                       Friday                             
2079/4/8          7                       Saturday                           
2079/4/9          8                       Sunday                             
2079/4/10         9                       Monday                             
2079/4/11         10                      Tuesday                            
2079/4/12         11                      Wednesday                          
2079/4/13         12                      Thursday                           
2079/4/14         13                      Friday                             
