Gregorian-Lunar Calendar Conversion Table of 2081 (Xin-chou  -  year of the Ox)
Gregorian date    Lunar date              Day-of-week    Solar terms
2081/1/1          22                      Wednesday                          
2081/1/2          23                      Thursday                           
2081/1/3          24                      Friday                             
2081/1/4          25                      Saturday                           
2081/1/5          26                      Sunday         Moderate Cold       
2081/1/6          27                      Monday                             
2081/1/7          28                      Tuesday                            
2081/1/8          29                      Wednesday                          
2081/1/9          30                      Thursday                           
2081/1/10         12th Lunar Month        Friday                             
2081/1/11         2                       Saturday                           
2081/1/12         3                       Sunday                             
2081/1/13         4                       Monday                             
2081/1/14         5                       Tuesday                            
2081/1/15         6                       Wednesday                          
2081/1/16         7                       Thursday                           
2081/1/17         8                       Friday                             
2081/1/18         9                       Saturday                           
2081/1/19         10                      Sunday         Severe Cold         
2081/1/20         11                      Monday                             
2081/1/21         12                      Tuesday                            
2081/1/22         13                      Wednesday                          
2081/1/23         14                      Thursday                           
2081/1/24         15                      Friday                             
2081/1/25         16                      Saturday                           
2081/1/26         17                      Sunday                             
2081/1/27         18                      Monday                             
2081/1/28         19                      Tuesday                            
2081/1/29         20                      Wednesday                          
2081/1/30         21                      Thursday                           
2081/1/31         22                      Friday                             
2081/2/1          23                      Saturday                           
2081/2/2          24                      Sunday                             
2081/2/3          25                      Monday         Spring Commences    
2081/2/4          26                      Tuesday                            
2081/2/5          27                      Wednesday                          
2081/2/6          28                      Thursday                           
2081/2/7          29                      Friday                             
2081/2/8          30                      Saturday                           
2081/2/9          1st Lunar Month         Sunday                             
2081/2/10         2                       Monday                             
2081/2/11         3                       Tuesday                            
2081/2/12         4                       Wednesday                          
2081/2/13         5                       Thursday                           
2081/2/14         6                       Friday                             
2081/2/15         7                       Saturday                           
2081/2/16         8                       Sunday                             
2081/2/17         9                       Monday                             
2081/2/18         10                      Tuesday        Spring Showers      
2081/2/19         11                      Wednesday                          
2081/2/20         12                      Thursday                           
2081/2/21         13                      Friday                             
2081/2/22         14                      Saturday                           
2081/2/23         15                      Sunday                             
2081/2/24         16                      Monday                             
2081/2/25         17                      Tuesday                            
2081/2/26         18                      Wednesday                          
2081/2/27         19                      Thursday                           
2081/2/28         20                      Friday                             
2081/3/1          21                      Saturday                           
2081/3/2          22                      Sunday                             
2081/3/3          23                      Monday                             
2081/3/4          24                      Tuesday                            
2081/3/5          25                      Wednesday      Insects Waken       
2081/3/6          26                      Thursday                           
2081/3/7          27                      Friday                             
2081/3/8          28                      Saturday                           
2081/3/9          29                      Sunday                             
2081/3/10         2nd Lunar Month         Monday                             
2081/3/11         2                       Tuesday                            
2081/3/12         3                       Wednesday                          
2081/3/13         4                       Thursday                           
2081/3/14         5                       Friday                             
2081/3/15         6                       Saturday                           
2081/3/16         7                       Sunday                             
2081/3/17         8                       Monday                             
2081/3/18         9                       Tuesday                            
2081/3/19         10                      Wednesday                          
2081/3/20         11                      Thursday       Vernal Equinox      
2081/3/21         12                      Friday                             
2081/3/22         13                      Saturday                           
2081/3/23         14                      Sunday                             
2081/3/24         15                      Monday                             
2081/3/25         16                      Tuesday                            
2081/3/26         17                      Wednesday                          
2081/3/27         18                      Thursday                           
2081/3/28         19                      Friday                             
2081/3/29         20                      Saturday                           
2081/3/30         21                      Sunday                             
2081/3/31         22                      Monday                             
2081/4/1          23                      Tuesday                            
2081/4/2          24                      Wednesday                          
2081/4/3          25                      Thursday                           
2081/4/4          26                      Friday         Bright & Clear      
2081/4/5          27                      Saturday                           
2081/4/6          28                      Sunday                             
2081/4/7          29                      Monday                             
2081/4/8          30                      Tuesday                            
2081/4/9          3rd Lunar Month         Wednesday                          
2081/4/10         2                       Thursday                           
2081/4/11         3                       Friday                             
2081/4/12         4                       Saturday                           
2081/4/13         5                       Sunday                             
2081/4/14         6                       Monday                             
2081/4/15         7                       Tuesday                            
2081/4/16         8                       Wednesday                          
2081/4/17         9                       Thursday                           
2081/4/18         10                      Friday                             
2081/4/19         11                      Saturday       Corn Rain           
2081/4/20         12                      Sunday                             
2081/4/21         13                      Monday                             
2081/4/22         14                      Tuesday                            
2081/4/23         15                      Wednesday                          
2081/4/24         16                      Thursday                           
2081/4/25         17                      Friday                             
2081/4/26         18                      Saturday                           
2081/4/27         19                      Sunday                             
2081/4/28         20                      Monday                             
2081/4/29         21                      Tuesday                            
2081/4/30         22                      Wednesday                          
2081/5/1          23                      Thursday                           
2081/5/2          24                      Friday                             
2081/5/3          25                      Saturday                           
2081/5/4          26                      Sunday                             
2081/5/5          27                      Monday         Summer Commences    
2081/5/6          28                      Tuesday                            
2081/5/7          29                      Wednesday                          
2081/5/8          30                      Thursday                           
2081/5/9          4th Lunar Month         Friday                             
2081/5/10         2                       Saturday                           
2081/5/11         3                       Sunday                             
2081/5/12         4                       Monday                             
2081/5/13         5                       Tuesday                            
2081/5/14         6                       Wednesday                          
2081/5/15         7                       Thursday                           
2081/5/16         8                       Friday                             
2081/5/17         9                       Saturday                           
2081/5/18         10                      Sunday                             
2081/5/19         11                      Monday                             
2081/5/20         12                      Tuesday        Corn Forms          
2081/5/21         13                      Wednesday                          
2081/5/22         14                      Thursday                           
2081/5/23         15                      Friday                             
2081/5/24         16                      Saturday                           
2081/5/25         17                      Sunday                             
2081/5/26         18                      Monday                             
2081/5/27         19                      Tuesday                            
