Gregorian-Lunar Calendar Conversion Table of 2085 (Yi-si  -  year of the Snake)
Gregorian date    Lunar date              Day-of-week    Solar terms
2085/1/1          6                       Monday                             
2085/1/2          7                       Tuesday                            
2085/1/3          8                       Wednesday                          
2085/1/4          9                       Thursday       Moderate Cold       
2085/1/5          10                      Friday                             
2085/1/6          11                      Saturday                           
2085/1/7          12                      Sunday                             
2085/1/8          13                      Monday                             
2085/1/9          14                      Tuesday                            
2085/1/10         15                      Wednesday                          
2085/1/11         16                      Thursday                           
2085/1/12         17                      Friday                             
2085/1/13         18                      Saturday                           
2085/1/14         19                      Sunday                             
2085/1/15         20                      Monday                             
2085/1/16         21                      Tuesday                            
2085/1/17         22                      Wednesday                          
2085/1/18         23                      Thursday                           
2085/1/19         24                      Friday         Severe Cold         
2085/1/20         25                      Saturday                           
2085/1/21         26                      Sunday                             
2085/1/22         27                      Monday                             
2085/1/23         28                      Tuesday                            
2085/1/24         29                      Wednesday                          
2085/1/25         30                      Thursday                           
2085/1/26         1st Lunar Month         Friday                             
2085/1/27         2                       Saturday                           
2085/1/28         3                       Sunday                             
2085/1/29         4                       Monday                             
2085/1/30         5                       Tuesday                            
2085/1/31         6                       Wednesday                          
2085/2/1          7                       Thursday                           
2085/2/2          8                       Friday                             
2085/2/3          9                       Saturday       Spring Commences    
2085/2/4          10                      Sunday                             
2085/2/5          11                      Monday                             
2085/2/6          12                      Tuesday                            
2085/2/7          13                      Wednesday                          
2085/2/8          14                      Thursday                           
2085/2/9          15                      Friday                             
2085/2/10         16                      Saturday                           
2085/2/11         17                      Sunday                             
2085/2/12         18                      Monday                             
2085/2/13         19                      Tuesday                            
2085/2/14         20                      Wednesday                          
2085/2/15         21                      Thursday                           
2085/2/16         22                      Friday                             
2085/2/17         23                      Saturday                           
2085/2/18         24                      Sunday         Spring Showers      
2085/2/19         25                      Monday                             
2085/2/20         26                      Tuesday                            
2085/2/21         27                      Wednesday                          
2085/2/22         28                      Thursday                           
2085/2/23         29                      Friday                             
2085/2/24         2nd Lunar Month         Saturday                           
2085/2/25         2                       Sunday                             
2085/2/26         3                       Monday                             
2085/2/27         4                       Tuesday                            
2085/2/28         5                       Wednesday                          
2085/3/1          6                       Thursday                           
2085/3/2          7                       Friday                             
2085/3/3          8                       Saturday                           
2085/3/4          9                       Sunday                             
2085/3/5          10                      Monday         Insects Waken       
2085/3/6          11                      Tuesday                            
2085/3/7          12                      Wednesday                          
2085/3/8          13                      Thursday                           
2085/3/9          14                      Friday                             
2085/3/10         15                      Saturday                           
2085/3/11         16                      Sunday                             
2085/3/12         17                      Monday                             
2085/3/13         18                      Tuesday                            
2085/3/14         19                      Wednesday                          
2085/3/15         20                      Thursday                           
2085/3/16         21                      Friday                             
2085/3/17         22                      Saturday                           
2085/3/18         23                      Sunday                             
2085/3/19         24                      Monday                             
2085/3/20         25                      Tuesday        Vernal Equinox      
2085/3/21         26                      Wednesday                          
2085/3/22         27                      Thursday                           
2085/3/23         28                      Friday                             
2085/3/24         29                      Saturday                           
2085/3/25         30                      Sunday                             
2085/3/26         3rd Lunar Month         Monday                             
2085/3/27         2                       Tuesday                            
2085/3/28         3                       Wednesday                          
2085/3/29         4                       Thursday                           
2085/3/30         5                       Friday                             
2085/3/31         6                       Saturday                           
2085/4/1          7                       Sunday                             
2085/4/2          8                       Monday                             
2085/4/3          9                       Tuesday                            
2085/4/4          10                      Wednesday      Bright & Clear      
2085/4/5          11                      Thursday                           
2085/4/6          12                      Friday                             
2085/4/7          13                      Saturday                           
2085/4/8          14                      Sunday                             
2085/4/9          15                      Monday                             
2085/4/10         16                      Tuesday                            
2085/4/11         17                      Wednesday                          
2085/4/12         18                      Thursday                           
2085/4/13         19                      Friday                             
2085/4/14         20                      Saturday                           
2085/4/15         21                      Sunday                             
2085/4/16         22                      Monday                             
2085/4/17         23                      Tuesday                            
2085/4/18         24                      Wednesday                          
2085/4/19         25                      Thursday       Corn Rain           
2085/4/20         26                      Friday                             
2085/4/21         27                      Saturday                           
