Gregorian-Lunar Calendar Conversion Table of 2093 (Gui-chou  -  year of the Ox)
Gregorian date    Lunar date              Day-of-week    Solar terms
2093/1/1          4                       Thursday                           
2093/1/2          5                       Friday                             
2093/1/3          6                       Saturday                           
2093/1/4          7                       Sunday         Moderate Cold       
2093/1/5          8                       Monday                             
2093/1/6          9                       Tuesday                            
2093/1/7          10                      Wednesday                          
2093/1/8          11                      Thursday                           
2093/1/9          12                      Friday                             
2093/1/10         13                      Saturday                           
2093/1/11         14                      Sunday                             
2093/1/12         15                      Monday                             
2093/1/13         16                      Tuesday                            
2093/1/14         17                      Wednesday                          
2093/1/15         18                      Thursday                           
2093/1/16         19                      Friday                             
2093/1/17         20                      Saturday                           
2093/1/18         21                      Sunday                             
2093/1/19         22                      Monday         Severe Cold         
2093/1/20         23                      Tuesday                            
2093/1/21         24                      Wednesday                          
2093/1/22         25                      Thursday                           
2093/1/23         26                      Friday                             
2093/1/24         27                      Saturday                           
2093/1/25         28                      Sunday                             
2093/1/26         29                      Monday                             
2093/1/27         1st Lunar Month         Tuesday                            
2093/1/28         2                       Wednesday                          
2093/1/29         3                       Thursday                           
2093/1/30         4                       Friday                             
2093/1/31         5                       Saturday                           
2093/2/1          6                       Sunday                             
2093/2/2          7                       Monday                             
2093/2/3          8                       Tuesday        Spring Commences    
2093/2/4          9                       Wednesday                          
2093/2/5          10                      Thursday                           
2093/2/6          11                      Friday                             
2093/2/7          12                      Saturday                           
2093/2/8          13                      Sunday                             
2093/2/9          14                      Monday                             
2093/2/10         15                      Tuesday                            
2093/2/11         16                      Wednesday                          
2093/2/12         17                      Thursday                           
2093/2/13         18                      Friday                             
2093/2/14         19                      Saturday                           
2093/2/15         20                      Sunday                             
2093/2/16         21                      Monday                             
2093/2/17         22                      Tuesday                            
2093/2/18         23                      Wednesday      Spring Showers      
2093/2/19         24                      Thursday                           
2093/2/20         25                      Friday                             
2093/2/21         26                      Saturday                           
2093/2/22         27                      Sunday                             
2093/2/23         28                      Monday                             
2093/2/24         29                      Tuesday                            
2093/2/25         2nd Lunar Month         Wednesday                          
2093/2/26         2                       Thursday                           
2093/2/27         3                       Friday                             
2093/2/28         4                       Saturday                           
2093/3/1          5                       Sunday                             
2093/3/2          6                       Monday                             
2093/3/3          7                       Tuesday                            
2093/3/4          8                       Wednesday                          
2093/3/5          9                       Thursday       Insects Waken       
2093/3/6          10                      Friday                             
2093/3/7          11                      Saturday                           
2093/3/8          12                      Sunday                             
2093/3/9          13                      Monday                             
2093/3/10         14                      Tuesday                            
2093/3/11         15                      Wednesday                          
2093/3/12         16                      Thursday                           
